year,moments_NOUN heureux_ADJ
1800,1.8864987794131594e-08
1801,1.1905912700171939e-08
1802,2.4616241489638924e-08
1803,4.290746247193056e-08
1804,1.9774807569206132e-08
1805,2.842877755426798e-08
1806,8.645007376628655e-09
1807,4.27043254092041e-08
1808,2.7192887941396293e-08
1809,5.6475762733043666e-08
1810,1.4040760731859336e-07
1811,2.2563691359778204e-08
1812,1.8670457180292033e-08
1813,2.8757416004054903e-08
1814,5.97868634599763e-08
1815,5.933891955578474e-08
1816,4.4034472068688046e-08
1817,1.5568733857662664e-08
1818,3.814776761146277e-08
1819,3.519356894798875e-08
1820,7.001224133773576e-08
1821,1.0749022294476163e-07
1822,1.012587205195814e-07
1823,6.522573026135348e-08
1824,5.221089871554341e-08
1825,9.333769668273817e-08
1826,6.165588928297439e-08
1827,2.488663675137559e-08
1828,3.393751413227619e-08
1829,4.3723197173939354e-08
1830,5.322786389427847e-08
1831,2.9623292263636358e-08
1832,1.0147476992017346e-07
1833,1.0772774317047151e-07
1834,6.72086244435377e-08
1835,8.470658485748572e-08
1836,8.333729900611431e-08
1837,6.122944007369568e-08
1838,9.278878110308142e-08
1839,5.173691741688913e-08
1840,5.477932346620307e-08
1841,7.447836614105086e-08
1842,6.507017413781568e-08
1843,8.44688284873385e-08
1844,6.860701706745687e-08
1845,7.533307666562905e-08
1846,9.133022249585565e-08
1847,5.3932236454556914e-08
1848,5.3098462737821706e-08
1849,7.709061833338637e-08
1850,5.906426547852561e-08
1851,5.997978136385029e-08
1852,7.682443325940369e-08
1853,1.1167512781184996e-07
1854,1.4547860804903223e-07
1855,1.2948925842692915e-07
1856,1.1596904031518918e-07
1857,9.27486728530269e-08
1858,1.0815023709920268e-07
1859,8.300242626546606e-08
1860,1.1809134581319825e-07
1861,9.431927594505396e-08
1862,6.912519270874107e-08
1863,9.739510398176776e-08
1864,1.04525068378436e-07
1865,9.696099456668605e-08
1866,1.055838017016697e-07
1867,5.338092634588065e-08
1868,6.224241166918887e-08
1869,9.571697479060504e-08
1870,6.708837085867003e-08
1871,1.0621176960157186e-07
1872,5.563552085696699e-08
1873,3.352162636360845e-08
1874,5.5563863898822063e-08
1875,8.868366785375059e-08
1876,8.162119957688674e-08
1877,8.040260790487253e-08
1878,4.5293166550663955e-08
1879,6.41479134255718e-08
1880,8.856627786713034e-08
1881,5.787181323047008e-08
1882,6.322615786480412e-08
1883,7.899173937175874e-08
1884,6.337628999375511e-08
1885,4.447488466396976e-08
1886,5.3563748492191365e-08
1887,4.8966935395355904e-08
1888,3.5507442097681974e-08
1889,5.07476087818759e-08
1890,3.9981758626073116e-08
1891,2.6134301833735663e-08
1892,3.823792482648969e-08
1893,4.3108915770417866e-08
1894,3.402831283416674e-08
1895,6.199173063770047e-08
1896,6.368791360955584e-08
1897,4.253501018069983e-08
1898,5.149102833001962e-08
1899,5.1959238689391896e-08
1900,5.191053087383324e-08
1901,5.085752269318178e-08
1902,3.535404502486017e-08
1903,4.8061961299694644e-08
1904,4.407192477628996e-08
1905,5.3155819301764495e-08
1906,6.275905106711832e-08
1907,4.577130452432243e-08
1908,4.8622751824822785e-08
1909,5.335954200713644e-08
1910,5.290709204075483e-08
1911,5.6395966008260245e-08
1912,5.521986484735564e-08
1913,4.454511426388308e-08
1914,4.620753202289052e-08
1915,4.005459075528961e-08
1916,2.6369908923129515e-08
1917,3.3995916304263574e-08
1918,5.16886933255023e-08
1919,7.09004295273985e-08
1920,5.3005621669655056e-08
1921,5.831015631452274e-08
1922,6.492583426442877e-08
1923,6.263409346729532e-08
1924,7.219309550166031e-08
1925,6.598907020816114e-08
1926,5.015762383209221e-08
1927,1.1595193982749663e-07
1928,8.912311955100449e-08
1929,1.247725447406367e-07
1930,5.041729578270093e-08
1931,7.755642172924126e-08
1932,4.822195975862087e-08
1933,1.089712924340347e-07
1934,5.511526879331541e-08
1935,7.061287732312849e-08
1936,4.849885826274658e-08
1937,5.5400921183945684e-08
1938,8.816346175333223e-08
1939,5.964679417047591e-08
1940,5.0715659227762444e-08
1941,1.8004165447393916e-07
1942,7.282108072104165e-08
1943,1.0741970202232665e-07
1944,1.0603513977969214e-07
1945,5.2284097051824574e-08
1946,6.542919273044845e-08
1947,9.179070792342259e-08
1948,7.066726936955092e-08
1949,9.522498345404529e-08
1950,8.614642732496236e-08
1951,1.364659389935241e-07
1952,8.435843201759496e-08
1953,5.0636988380148296e-08
1954,8.89300753037503e-08
1955,7.414630465163441e-08
1956,6.889701720247388e-08
1957,7.863183526524153e-08
1958,7.858631301260743e-08
1959,8.138285423342495e-08
1960,1.654079184731927e-07
1961,9.171570236610194e-08
1962,1.255707324787636e-07
1963,1.0345685552692885e-07
1964,1.0768624209012145e-07
1965,1.1053527337878677e-07
1966,9.859552818625161e-08
1967,1.0057884303193987e-07
1968,9.611629703254465e-08
1969,8.53850443682802e-08
1970,1.0623054658154274e-07
1971,8.375587867703871e-08
1972,8.92645557470928e-08
1973,7.387692907423471e-08
1974,4.894247496167736e-08
1975,1.0452009036043819e-07
1976,7.141908386909535e-08
1977,6.46445979524124e-08
1978,7.544550983951126e-08
1979,1.1469867899904784e-07
1980,9.209944029642259e-08
1981,1.05004122730179e-07
1982,1.1297654245456812e-07
1983,1.3135857912516258e-07
1984,1.1598016974589953e-07
1985,1.0888160317801265e-07
1986,1.3187867375918927e-07
1987,1.0999470279049461e-07
1988,1.0673866046584379e-07
1989,1.1579937941874618e-07
1990,1.1823572321212339e-07
1991,1.3012453037308802e-07
1992,1.212187714649815e-07
1993,1.3294098177851765e-07
1994,1.2554325179436887e-07
1995,1.3718799907191936e-07
1996,1.4145943705301534e-07
1997,1.2562623041834087e-07
1998,1.4209024612465981e-07
1999,1.2887967093533348e-07
2000,1.7627945414488977e-07
2001,1.4457998953609774e-07
2002,1.5903833927577438e-07
2003,1.620933069990116e-07
2004,1.413938055527808e-07
2005,1.855544820017485e-07
2006,1.9601155964998895e-07
2007,2.2568808688561148e-07
2008,2.0520859811412606e-07
2009,2.3173415564237132e-07
2010,2.8673425056524593e-07
2011,2.4282223337612763e-07
2012,2.427232245194588e-07
2013,2.3400758752956108e-07
2014,2.7977551664282174e-07
2015,2.7951015968419313e-07
2016,2.848092628404686e-07
2017,3.280357301349568e-07
