year,fus_VERB à_ADP,fus_VERB a_ADP,fus_VERB pas_ADV
1800,5.407962930803478e-07,0.0,1.6223888223976246e-06
1801,8.119832841657626e-07,7.143547975374531e-09,1.2525019883469213e-06
1802,4.7665994884482643e-07,0.0,1.0115037412106176e-06
1803,2.9645156018887064e-07,1.950339223455444e-09,8.581492352277564e-07
1804,5.487509042723104e-07,0.0,1.2136788427596912e-06
1805,3.5251684948889306e-07,0.0,1.2650805274461163e-06
1806,9.077257914213988e-07,2.881669125542885e-09,1.6367880562029313e-06
1807,1.6256113894996815e-06,2.8469551160981155e-09,1.0761490329969092e-06
1808,2.8325925427452603e-07,2.2660739951163578e-09,6.639596676905057e-07
1809,3.569268187675334e-07,2.259030518203531e-09,1.0798165703818086e-06
1810,7.93302945112373e-07,0.0,2.237161197626847e-06
1811,3.7606150726787746e-07,0.0,9.025476401802734e-07
1812,3.707419580223359e-07,0.0,1.0028702490672003e-06
1813,3.4221326927763585e-07,2.8757416448144113e-09,9.403674994246103e-07
1814,5.695485469914274e-07,0.0,1.0541368737904122e-06
1815,3.1018069535093673e-07,0.0,9.548170964990277e-07
1816,2.9665329748240765e-07,0.0,1.2816349226341117e-06
1817,3.643083914539602e-07,1.556873407970727e-09,1.0804701560118701e-06
1818,3.5644319495986565e-07,0.0,1.1801965911217849e-06
1819,2.5567092620804033e-07,0.0,9.59542376222089e-07
1820,5.173785666556796e-07,0.0,1.0881562957365531e-06
1821,3.806534607520007e-07,9.86148829262845e-10,1.597561094968114e-06
1822,1.2110943998777657e-06,2.0051231786055723e-09,1.1078305988121429e-06
1823,1.0841307584996684e-06,9.882686891060644e-10,1.6563383269385668e-06
1824,7.39373717806302e-07,3.3684450784221553e-09,1.5722217767688562e-06
1825,1.0654586048985948e-06,1.7610886082763955e-09,2.0243712697265437e-06
1826,4.359952185950533e-07,8.807984341885344e-10,1.3115088677295716e-06
1827,3.3827393508545356e-07,0.0,1.0581429705780465e-06
1828,3.219477662241843e-07,1.8344602503717056e-09,1.6234972690654104e-06
1829,6.447028226830298e-07,8.57317605795771e-10,2.086710992443841e-06
1830,6.27253825769003e-07,9.39315203396518e-09,1.4194097275321838e-06
1831,3.1806061429051624e-07,1.5591206103948707e-09,1.1085347750849905e-06
1832,3.801921479862358e-07,1.3529969367098715e-09,1.2785820899807732e-06
1833,6.174074087539339e-07,2.3167257001688313e-09,1.5371474546554964e-06
1834,3.7058086377328436e-07,1.8669061851994684e-09,9.035825883074722e-07
1835,5.210967515267839e-07,1.0588323107185715e-08,1.0830342489498435e-06
1836,5.752962124461192e-07,2.688300027031687e-09,1.1512645414768485e-06
1837,5.454986649056082e-07,1.3915781860163179e-09,1.0262889418299892e-06
1838,7.442038736371615e-07,1.2624323808552163e-09,1.2321339681875543e-06
1839,3.558660921498813e-07,3.4957374772659477e-09,8.851207553561835e-07
1840,4.0065341977424396e-07,6.369688665408546e-10,9.904865692078602e-07
1841,2.9919755206719856e-07,6.420548537278137e-10,9.008029451251787e-07
1842,3.709670579610247e-07,4.024959032733477e-09,7.117469067452475e-07
1843,3.071593823733565e-07,1.1813822142769936e-09,5.753331606683787e-07
1844,2.425944103379152e-07,1.097712254427563e-09,5.071430564385082e-07
1845,1.975400749643086e-07,3.9061593959388574e-09,5.976424404252612e-07
1846,2.1954379292310477e-07,4.6836010625384006e-09,6.082826757847215e-07
1847,2.0278520196370664e-07,2.1572894581822766e-09,4.870080942964705e-07
1848,2.6307876055398083e-07,4.02261068899179e-09,6.202865847626526e-07
1849,1.8518507260978367e-07,2.513824481908955e-09,6.376734518198646e-07
1850,4.0326636963072815e-07,3.394498016007219e-09,8.370832347281976e-07
1851,2.431438304029143e-07,2.579775504329973e-09,6.591326382476836e-07
1852,2.565154773037648e-07,3.906327261660181e-09,6.777477778996399e-07
1853,2.657509696746274e-07,3.5831591027601917e-09,7.184233936641249e-07
1854,4.1513359860800847e-07,4.676098175337984e-09,6.65045035930234e-07
1855,2.6057060154016654e-07,6.368324534378189e-09,6.341790026453964e-07
1856,2.4177472823794233e-07,3.1063134287023786e-09,6.191918373588123e-07
1857,5.247622425486043e-07,3.905207268672939e-09,1.0363444289396284e-06
1858,5.030698844166182e-07,2.4468380654951716e-09,8.984789019450545e-07
