year,soyez_VERB à_ADP,soyez_VERB a_ADP,soyez_VERB pas_ADV
1800,2.0122653054954753e-07,0.0,9.998443601944018e-07
1801,2.8812309693648785e-07,2.3811825844433088e-09,1.304888087361178e-06
1802,1.432217686669901e-07,0.0,8.772333330853144e-07
1803,3.0620325475183563e-07,1.950339223455444e-09,1.14484907953738e-06
1804,2.966221011035941e-07,2.4718509461507665e-09,1.6289498034893768e-06
1805,2.5585899443569815e-07,0.0,1.2110658644814976e-06
1806,3.1986526494165446e-07,0.0,1.241999370904523e-06
1807,1.309599344523349e-07,0.0,9.96434323496942e-07
1808,2.062127357760346e-07,0.0,7.591347639390733e-07
1809,1.8749953767382976e-07,0.0,8.064739063229354e-07
1810,2.8315533029399376e-07,2.3401267590372754e-09,1.717653049126966e-06
1811,1.0279014972525147e-07,2.5070767684098882e-09,9.025476401802734e-07
1812,2.8805848995006045e-07,0.0,1.0188734904659213e-06
1813,1.7542023478256397e-07,0.0,8.080834277279791e-07
1814,2.0453401461395515e-07,0.0,7.142957088035473e-07
1815,1.321639544471509e-07,2.697223555614414e-09,8.604143317825219e-07
1816,2.0626674057666605e-07,0.0,8.992303150989756e-07
1817,2.724528407327398e-07,1.556873407970727e-09,1.2439418242138345e-06
1818,1.6808860348049848e-07,1.1921177378582115e-09,1.3256349120638333e-06
1819,1.6147637360575118e-07,1.035105001712111e-09,1.075474074241356e-06
1820,2.1241001491034694e-07,1.1866481131050932e-09,1.2364873782644281e-06
1821,3.2247066350521436e-07,0.0,2.0304803456383524e-06
1822,3.398683787736445e-07,1.0025615893027862e-09,1.5078526303113904e-06
1823,2.6880908521320634e-07,3.4589405117912975e-08,1.4576962712453678e-06
1824,2.7789672074618466e-07,8.421112696055388e-10,1.07537607618724e-06
1825,2.0252519661312363e-07,0.0,1.2081068234692793e-06
1826,2.3076919219988667e-07,8.807984341885344e-10,1.0208453886662028e-06
1827,2.1568418517858845e-07,0.0,1.150315711129224e-06
1828,2.283903057787029e-07,0.0,1.0850832268261001e-06
1829,1.9804036632820043e-07,0.0,1.0682177844500984e-06
1830,2.2021723822263084e-07,1.0436835840010872e-09,1.1720566135409172e-06
1831,1.1069756311599122e-07,1.5591206103948707e-09,1.2940701026309398e-06
1832,2.1242052383740884e-07,0.0,1.451765683668782e-06
1833,2.3167256557599103e-07,1.1583628500844156e-09,9.93875346466666e-07
1834,1.6802155755613057e-07,2.8003592777992026e-09,1.192019567497482e-06
1835,2.631954671983294e-07,2.2689263801112247e-09,1.3197588941693539e-06
1836,2.0095043140599955e-07,0.0,1.3522148947231472e-06
1837,2.073451561557249e-07,6.957890930081589e-10,1.2238930366947898e-06
1838,1.8620877106911848e-07,2.5248647617104325e-09,1.1633314898062963e-06
1839,2.272229409072679e-07,6.9914751765765e-10,1.177364424620464e-06
1840,2.025561016694155e-07,1.9109065441114126e-09,1.071381689143891e-06
1841,1.7207070435176774e-07,1.2841097074556274e-09,1.1004819953086553e-06
1842,1.616691847061702e-07,6.708265054555795e-10,1.1746171821869211e-06
1843,2.3155091000148786e-07,1.7720733214154905e-09,1.1601173355302308e-06
1844,2.1954244466826367e-07,1.6465684371524958e-09,1.2552339967442094e-06
1845,1.891697323230801e-07,5.580227946389016e-10,1.2176056998214335e-06
1846,1.9378399862546303e-07,5.854501328173001e-10,1.0836681667569792e-06
1847,1.9631333536551665e-07,5.393223645455691e-10,8.310957468893321e-07
1848,1.4642303547418578e-07,0.0,9.075010325432231e-07
1849,1.215015217326254e-07,0.0,8.530244599569414e-07
1850,1.6089919974149325e-07,2.0366988096043315e-09,8.907162509785849e-07
1851,1.5543147213747943e-07,6.449438760824933e-10,9.822495030675782e-07
1852,1.5495098537599006e-07,2.6042181744401205e-09,9.505396292297519e-07
1853,1.5706181066832414e-07,1.1943863675867306e-09,1.0868916433537379e-06
1854,2.23933135146126e-07,5.195664454227256e-10,1.253713776350196e-06
1855,2.6110130590950575e-07,5.306937111981824e-10,1.1431142183937482e-06
1856,2.3607982058138077e-07,2.0708756931497874e-09,1.2927441730425926e-06
1857,2.1966790697547367e-07,9.763018171682347e-10,1.1774200174841098e-06
1858,2.16300485078591e-07,9.787352039936081e-10,1.2728451110888273e-06
1859,1.904472810565494e-07,0.0,1.2104095503673307e-06
1860,1.6477861741748256e-07,4.577183909670879e-10,1.2541484011308057e-06
1861,2.1646273040687447e-07,9.431927461278633e-10,1.26057705074345e-06
1862,2.647540018330119e-07,1.3553959066214816e-09,1.3183483815737418e-06
1863,2.2276008593280494e-07,4.994620828036034e-10,1.29960028516507e-06
1864,2.1288591689483383e-07,0.0,1.2183403441667906e-06
1865,2.3298879803235195e-07,9.41368871743009e-10,1.4680647382192547e-06
1866,2.1408696326830068e-07,4.865612912574591e-10,1.243164092556981e-06
1867,2.1643538516968874e-07,2.91168689159349e-09,1.2311583077462274e-06
1868,1.363405255361272e-07,4.93987406535723e-10,1.1030738278350327e-06
1869,1.982708752734652e-07,3.4184632902167778e-09,1.2589712241606321e-06
1870,2.2362790730312554e-07,1.7202146374017957e-09,1.3205514051151113e-06
1871,1.6356612420054262e-07,1.0621177271019633e-09,1.174702219941537e-06
1872,1.6085923082442832e-07,6.047339295989218e-10,1.1072678489654209e-06
