year,autres_ADJ airs_NOUN,autres_ADJ paires_NOUN
1800,6.60274537267469e-08,1.9493819536364754e-07
1801,6.429193177837078e-08,1.619204113012529e-07
1802,3.5805442166747525e-08,1.4545960880241182e-07
1803,4.6808139586573816e-08,2.145373088069391e-07
1804,8.651478111687538e-08,1.408955085935304e-07
1805,3.980028751016107e-08,3.6388834701028827e-07
1806,1.2103009794373065e-07,1.0662175498055149e-07
1807,2.8469550272802735e-08,2.8469550272802735e-08
1808,3.172503681980743e-08,7.251436784372345e-08
1809,9.036122294858728e-09,5.6475762733043666e-08
1810,9.594519356781461e-08,2.8081521108447305e-08
1811,4.763445815569867e-08,2.5070768572277302e-08
1812,8.801787032552966e-08,9.601949813031752e-08
1813,3.163315653864629e-08,1.1502966579257645e-08
1814,1.5733386149463513e-08,5.034683425719777e-08
1815,1.8880564667256294e-08,5.1247248222807684e-08
1816,5.7940098940889584e-08,1.0660977523002657e-07
1817,8.56280379935015e-08,1.930523012561025e-07
1818,6.079800130009971e-08,9.06009489654025e-08
1819,7.866798057420965e-08,3.1053151161586356e-08
1820,4.390598107306687e-08,4.153268307049984e-08
1821,5.719663320746804e-08,1.7750679148775816e-08
1822,6.015369535816717e-08,1.1028177482330648e-07
1823,4.249555374258307e-08,1.6899394950087299e-07
1824,5.3053010873327366e-08,7.579001248814166e-08
1825,6.251864448358901e-08,1.1975402003372437e-07
1826,5.5490302908189904e-08,5.549030035467695e-08
1827,3.041700225026034e-08,5.1616730445402936e-08
1828,2.7516904310687096e-08,1.2107437896702322e-07
1829,2.4862210068476998e-08,6.258418494553553e-08
1830,5.218418053232199e-08,7.201416707403041e-08
1831,4.5214498811674275e-08,1.4811645598911127e-07
1832,3.788391467196561e-08,1.1500473817704915e-07
1833,7.52935847003755e-08,9.382738852536932e-08
1834,3.733812548034621e-08,1.5775357553593494e-07
1835,3.6302822081779595e-08,1.2479094380069e-07
1836,1.0753200108126748e-08,7.05678786516728e-08
1837,2.99189295560609e-08,1.7255570128327236e-07
1838,4.86036455527028e-08,1.2119350856210076e-07
1839,5.2436064379435265e-08,7.550793412747225e-08
1840,5.159447979963261e-08,1.0000411521104979e-07
1841,2.6966304744746594e-08,9.566617364953345e-08
1842,3.287049921141261e-08,9.257405508833472e-08
1843,2.4809025944705354e-08,5.729703644874462e-08
1844,3.622450606144412e-08,8.287727837341663e-08
1845,4.0177642546268544e-08,9.263178668561522e-08
1846,1.5807152919933287e-08,8.606117063436614e-08
1847,2.9123407685460734e-08,9.438141290729618e-08
1848,2.654923214606697e-08,5.953464210506354e-08
1849,2.8490010350878947e-08,8.714591359648693e-08
