year,citoyens_NOUN heureux_ADJ,citoyens_NOUN peureux_ADJ
1800,4.087413785214267e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,8.191424427650418e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,4.264316544322355e-08,0.0
1806,0.0,0.0
1807,7.971474502710407e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.1337665412346496e-08,0.0
1813,0.0,0.0
1814,3.4613449884091096e-08,0.0
1815,6.203614333344376e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,2.1796227489545572e-08,0.0
1818,2.8610826152686286e-08,0.0
1819,5.589567120267702e-08,0.0
1820,2.610625848831205e-08,0.0
1821,3.2542912142830005e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,2.9648061450338048e-08,0.0
1824,2.3579116437133507e-08,0.0
1825,2.113306396545056e-08,0.0
1826,1.5854371593349015e-08,0.0
1827,2.673009252829317e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,1.5431716904323878e-08,0.0
1830,1.878630495610878e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,2.3000947924067816e-08,0.0
1833,3.243415847009601e-08,0.0
1834,8.401078055442213e-09,0.0
1835,1.739510224751939e-08,7.563087933704082e-10
1836,6.72075017860152e-09,0.0
1837,1.1132625932219753e-08,0.0
1838,1.5780404760690203e-08,0.0
1839,9.788065469251706e-09,0.0
1840,5.732719632334238e-09,1.2739377330817092e-09
1841,1.0272877659645019e-08,0.0
1842,9.391571076378114e-09,0.0
1843,8.269675610961258e-09,0.0
1844,9.879410178825765e-09,0.0
1845,6.138250796539069e-09,0.0
1846,1.4050803631704412e-08,0.0
1847,3.235934187273415e-09,0.0
1848,3.218088684420195e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,1.0862393651223101e-08,0.0
1851,9.029214709244116e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,7.1663179834757784e-09,0.0
1854,1.558699391779328e-09,0.0
