year,deux_DET arts_NOUN,deux_DET parts_NOUN
1800,1.3834323731032327e-07,4.2131803468237194e-07
1801,3.333655484993869e-08,4.881424420233316e-07
1802,1.096541666356643e-07,5.012761903344654e-07
1803,1.3847407842604298e-07,5.285419497624844e-07
1804,1.3347995775347954e-07,6.253783162435411e-07
1805,7.675770063997334e-08,5.401467451093822e-07
1806,9.797675204481493e-08,4.725937259308921e-07
1807,2.1921555060089304e-07,5.380744951821725e-07
1808,1.0423940155490641e-07,7.500704652940726e-07
1809,6.551188591608081e-08,3.998484072731401e-07
1810,1.2168659324629516e-07,4.6802535891288244e-07
1811,1.2535384108502967e-07,4.4124551124014033e-07
1812,1.0135391326215881e-07,4.961007133985618e-07
1813,7.189353823378042e-08,6.039057656170854e-07
1814,2.8320094713762956e-08,5.066150183807849e-07
1815,1.8880564667256294e-08,5.016835937787789e-07
1816,4.4034472068688046e-08,3.10558915472825e-07
1817,7.161617721074265e-08,2.942490846535861e-07
1818,1.2517236314124602e-07,6.473199238854477e-07
1819,7.866798057420965e-08,4.844291674466206e-07
1820,1.1273156985680544e-07,4.544862353128565e-07
1821,1.065040748926549e-07,5.650632681764023e-07
1822,9.323822780515911e-08,5.213320406483035e-07
1823,1.1365089847004128e-07,4.298968896421229e-07
1824,1.271587990459011e-07,4.463189728909356e-07
1825,6.42797326477762e-08,3.812756914634008e-07
1826,6.253669226907732e-08,6.068700937333915e-07
1827,6.54426368096317e-08,6.083400290179952e-07
1828,5.503380623439469e-08,5.374968594651364e-07
1829,8.401712392469562e-08,5.881198810175903e-07
1830,4.383470941782264e-08,4.592207689668726e-07
1831,5.3010101197514814e-08,5.753155054577519e-07
1832,8.38858085216998e-08,7.468542966293512e-07
1833,6.370995575544214e-08,7.228184024654638e-07
1834,7.187588568768888e-08,7.122247165369799e-07
1835,8.470658485748572e-08,6.776526930707405e-07
1836,6.183090306421946e-08,8.857948516904912e-07
1837,8.34946876082654e-08,7.632806529045411e-07
1838,6.185918977053007e-08,7.157991621653537e-07
1839,6.292327392465324e-08,9.172815147451274e-07
1840,5.4142353878017246e-08,7.09583320990248e-07
1841,5.3290552415319326e-08,8.661320176628351e-07
1842,1.0599058697380315e-07,8.432289284598937e-07
1843,8.033399012674636e-08,9.835006373748456e-07
1844,8.342613450063041e-08,9.978204293936699e-07
1845,9.98860830714321e-08,9.084610841370022e-07
1846,7.610852037487348e-08,8.863714784368426e-07
1847,5.3932236454556914e-08,9.017470015137974e-07
1848,6.194820856286753e-08,1.0941501216166216e-06
1849,3.351765842651844e-08,1.0080436574355645e-06
1850,6.85688590351674e-08,9.748997982228502e-07
1851,5.224045551699419e-08,1.0596427664211205e-06
1852,1.3346618432663604e-07,9.303569505902942e-07
1853,6.987159983928848e-08,1.0773365337612972e-06
1854,6.910233790735631e-08,8.998890761446887e-07
1855,7.164365101175463e-08,1.0422823919498114e-06
1856,1.1545132083679022e-07,1.1348399198141124e-06
1857,7.712784366731285e-08,1.0446429943300473e-06
1858,9.493731573106956e-08,1.1544181344191884e-06
1859,9.827894476011068e-08,9.481626594975978e-07
1860,7.872756668803049e-08,1.053667772588085e-06
1861,1.0563758534587464e-07,9.040502639834358e-07
1862,7.861296347222435e-08,1.0947080859580183e-06
1863,1.243660608385433e-07,1.0293913632608565e-06
1864,1.0404559547261272e-07,1.0524427800362446e-06
1865,7.719224726088214e-08,1.0232679414912127e-06
1866,8.174229337853944e-08,1.0504858778404014e-06
1867,7.667442503134225e-08,1.0108406609532494e-06
1868,7.26161495379074e-08,9.583355762288193e-07
1869,7.47178409143956e-08,1.1398133299422852e-06
1870,6.422134646300037e-08,1.1233001515620344e-06
1871,3.186353225714811e-08,1.222497463260197e-06
1872,7.982487915114689e-08,1.0988015297641596e-06
1873,7.721946104766175e-08,1.1846303085150112e-06
