year,vingt - six pages
1800,2.4113379737400464e-08
1801,4.445470835889864e-08
1802,1.7244529360027627e-08
1803,0.0
1804,2.17472440056099e-08
1805,0.0
1806,3.1599316496766505e-09
1807,3.114948521343308e-09
1808,2.4901481765482458e-08
1809,6.177398148565771e-08
1810,1.5385742457851848e-08
1811,2.7593034523931692e-09
1812,2.0738509931561566e-07
1813,2.5176523976710996e-08
1814,1.3757515127110764e-08
1815,0.0
1816,1.519884484935119e-08
1817,8.530617989777056e-09
1818,1.4336551501514805e-08
1819,3.8440706617848264e-08
1820,1.2948726535455535e-08
1821,1.5120450669314778e-08
1822,1.3157714917610974e-08
1823,2.8069267798969122e-08
1824,2.3887599454042174e-08
1825,1.2493916123901272e-08
1826,2.114330044378221e-08
1827,2.1127373628360147e-08
1828,7.016175640472966e-09
1829,2.1540635941619257e-08
1830,5.022125293407953e-08
1831,2.5671722525544283e-08
1832,2.96525453080676e-08
1833,0.0
1834,3.068623044555352e-08
1835,2.8218658076895053e-08
1836,4.406093712105985e-09
1837,9.109185405975495e-09
1838,2.4087851713261443e-08
1839,7.642579014088824e-09
1840,1.8788055555774008e-08
1841,2.5973223571895687e-08
1842,2.4939707188309512e-08
1843,5.163342642333646e-09
1844,3.590384434204452e-09
1845,1.586105113915437e-08
1846,2.114179548096118e-08
1847,1.4726499131256787e-08
1848,1.5856230106692237e-08
1849,1.5596159030906165e-08
1850,1.263111304439235e-08
1851,1.411713745902432e-09
1852,7.133531987335573e-09
1853,2.61481671870456e-08
1854,1.8754506836415885e-08
1855,6.9813452796552156e-09
1856,2.4385903074630733e-08
1857,7.489576070440762e-09
1858,1.1258074472664248e-08
1859,1.6722780937783455e-09
1860,2.157732303942339e-08
1861,2.1688143836406937e-08
1862,2.1289665141921432e-08
1863,1.8092624287646686e-08
1864,3.25471454232229e-08
1865,2.7861869256184946e-08
1866,1.9221502611799224e-08
1867,2.0760994701163327e-08
1868,1.0278832007770689e-08
1869,1.1250356202197054e-08
1870,2.513315422447704e-08
1871,1.8663881107272573e-08
1872,1.7910480210048263e-08
1873,5.2483395407421085e-09
1874,1.3110328822563133e-08
1875,3.269224535529247e-08
1876,1.261757942572217e-08
1877,1.633814505908049e-08
1878,3.389887126559188e-08
1879,6.72052925532185e-08
1880,8.480379953823558e-09
1881,9.989710392233064e-09
1882,2.271566434952632e-08
1883,1.3933219022987942e-08
1884,1.8187105155220706e-08
1885,8.522500538621358e-09
1886,1.8489803466081867e-08
1887,6.482361758486377e-09
1888,9.085725061197536e-09
1889,6.914062211649252e-09
1890,1.1566359425785322e-08
1891,1.1243531439220078e-08
1892,1.590953324637212e-08
1893,1.9020236941003077e-08
1894,9.742333162421346e-09
1895,1.4612306920014362e-08
1896,2.341567473251871e-08
1897,1.223949919193501e-08
1898,1.4982221685500008e-08
1899,2.6231763428086197e-08
1900,1.6060811958151788e-08
1901,1.665183368970702e-08
1902,1.0814304562956067e-08
1903,1.549858019700423e-08
1904,2.0179771187400775e-08
1905,2.5640531586823556e-08
1906,2.837828505519724e-08
1907,1.1935748389646506e-08
1908,1.6274593117593383e-08
1909,1.9411409368785826e-08
1910,1.4745896059764618e-08
1911,2.0551336632479433e-08
1912,8.621582558987484e-09
1913,9.361760255899298e-09
1914,2.142112087710757e-08
1915,5.195238905741917e-09
1916,1.0884024348456478e-08
1917,1.5679329834483724e-08
1918,2.7802931512610485e-08
1919,1.4188925145930398e-08
1920,2.1692779739179713e-08
1921,7.521263611920403e-09
1922,1.303021868181986e-08
1923,2.8155395792595073e-08
1924,1.8523772737921718e-08
1925,1.4622223432070314e-08
