year,étiez_VERB heureux_ADJ
1800,2.829747991484055e-08
1801,7.143547975374531e-09
1802,3.1329761895904085e-08
1803,2.145373123596528e-08
1804,1.730295728918918e-08
1805,2.842877711017877e-09
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,1.5862518409903714e-08
1809,2.25903047379461e-08
1810,6.786367379163494e-08
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,1.7254450312975678e-08
1814,2.2026739543434815e-08
1815,2.6972236000233352e-08
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,1.5497530370112145e-08
1819,2.3807414706311647e-08
1820,7.119888678630559e-09
1821,2.2681422962023134e-08
1822,1.2030739071633434e-08
1823,1.1859224713361982e-08
1824,2.6105450245950124e-08
1825,7.044354433105582e-09
1826,7.927186018719112e-09
1827,3.6869092223668076e-09
1828,1.0089530988466322e-08
1829,1.457439946506156e-08
1830,1.3567886369969528e-08
1831,6.236482441579483e-09
1832,6.764984572527055e-09
1833,1.50587169400751e-08
1834,7.467624740797874e-09
1835,1.5126175867408165e-08
1836,6.048674894287842e-09
1837,6.262101948095733e-09
1838,8.837027110075724e-09
1839,6.9914749545318955e-09
1840,2.8663599493938818e-08
1841,8.346713542550788e-09
1842,1.2745703159566801e-08
1843,1.1813821920725331e-08
1844,9.330554107123135e-09
1845,6.138250796539069e-09
1846,7.025401593807601e-09
1847,2.2112217834546755e-08
1848,1.448139919091318e-08
1849,7.54147322368226e-09
1850,6.1100964288129944e-09
1851,9.029214709244116e-09
1852,1.5625309046640723e-08
1853,1.791579506971175e-08
1854,2.0263090760863633e-08
1855,1.6451505047143655e-08
1856,2.2779632402603056e-08
1857,1.513267733344037e-08
1858,2.5447114637699997e-08
1859,8.656694916453489e-09
1860,1.2358396972445007e-08
1861,2.2165028923382124e-08
1862,1.1294965851504912e-08
1863,1.748117206545885e-08
1864,1.6302074357099627e-08
1865,7.530950973944073e-09
1866,1.751620715140234e-08
1867,1.358787216076962e-08
1868,1.6301584082611953e-08
1869,2.9789466893248573e-08
1870,1.8922360567330543e-08
1871,2.7615060460561835e-08
1872,9.071008832961525e-09
1873,8.979006871356887e-09
1874,2.5690820137924675e-08
1875,7.437985338754061e-09
1876,9.673623679873344e-09
1877,7.421779191219002e-09
1878,1.69094480639842e-08
1879,1.0385853066452455e-08
1880,1.4761046607247863e-08
1881,1.743126887276958e-08
1882,1.3310770263785798e-08
1883,1.8958017378167824e-08
1884,1.8484751507230612e-08
1885,8.379326565943757e-09
1886,1.677900662855336e-08
1887,3.9173548849191775e-09
1888,1.7119660356001987e-08
1889,2.255449160770695e-08
1890,1.5730527991308918e-08
1891,1.529812720946211e-08
1892,8.775916882086676e-09
1893,1.4780200174868696e-08
1894,1.1972924873759894e-08
1895,9.027921521465032e-09
1896,1.47425724961181e-08
1897,1.3401440845939305e-08
1898,7.921697076085366e-09
1899,1.0502398950507086e-08
1900,1.349673794948103e-08
1901,6.147612641171918e-09
1902,8.347482705062248e-09
1903,4.320176216765503e-09
1904,1.0211787859759625e-08
1905,6.192911072844254e-09
1906,1.800464666246171e-08
1907,4.6285588695127444e-09
1908,6.384805573134145e-09
1909,2.2554033307642385e-08
1910,1.6566866989364826e-08
1911,5.3203743632934675e-09
1912,1.719108944087111e-08
1913,1.484837142129436e-08
1914,1.6741859454327823e-08
1915,8.246533234057551e-09
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,5.743188147278033e-09
1919,1.8415696745321952e-09
1920,1.2115570768855832e-08
1921,1.2873671018098776e-08
1922,1.3280283539529592e-08
1923,2.1231896241147297e-08
1924,7.734974438733389e-09
1925,4.399271169575059e-09
1926,1.7833821530643945e-08
1927,1.6723836537835268e-08
1928,2.742249805010033e-08
1929,3.119313873867213e-08
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,6.575722188983946e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,1.2591118370153254e-08
1938,9.075650453382877e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.7709016475464523e-08
1942,2.1239483061208375e-08
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,6.535512131478072e-09
1946,1.2528993842408909e-08
1947,8.344609447874518e-09
1948,4.348755133776194e-09
1949,6.8719057111366055e-09
1950,2.0207187034770868e-08
1951,4.264560704569931e-09
1952,7.381362632230548e-09
1953,9.69644453618912e-09
1954,1.172704333640695e-08
1955,1.5016972554349195e-08
1956,7.849027205963921e-09
1957,7.068030161150318e-09
1958,1.5717262158432277e-08
1959,6.975672928177801e-09
1960,1.2457499920515147e-08
1961,9.03260666262895e-09
1962,1.2683912586908264e-08
1963,1.0992290633282664e-08
1964,1.3993127545575135e-08
1965,4.924839203113152e-09
1966,1.0524241922382771e-08
1967,5.916402479044791e-09
1968,1.1677681044375277e-08
1969,1.0446043141598693e-08
1970,1.3796174869185052e-08
1971,8.735275613958038e-09
1972,5.643161493651405e-09
1973,1.3783009400469837e-08
1974,7.313243344242437e-09
1975,2.8557400888473694e-09
1976,8.570290255249802e-09
1977,9.990529292736028e-09
1978,6.534650598410963e-09
1979,6.437170796402825e-09
1980,9.096241093686785e-09
1981,1.0120879245789638e-08
1982,1.1794254461960918e-08
1983,8.841442245000053e-09
1984,1.739702604197646e-08
1985,2.4062232206745193e-09
1986,6.593933843390687e-09
1987,8.555143260480236e-09
1988,7.195864348830128e-09
1989,5.488121956886971e-09
1990,7.083246433836621e-09
1991,7.033758464558559e-09
1992,4.4079553340736766e-09
1993,6.093128224193833e-09
1994,5.802419433820205e-09
1995,3.795715741716776e-09
1996,5.871901187504136e-09
1997,4.794894259418925e-09
1998,6.675381136744818e-09
1999,2.7421207526856506e-09
2000,4.859834756842929e-09
2001,3.943090742808408e-09
2002,6.571832411594869e-09
2003,2.9168460979889232e-09
2004,6.166707589017051e-09
2005,9.908249332113428e-09
2006,5.7650457740976435e-09
2007,6.391167151065247e-09
2008,1.1495087548496485e-08
