year,mes_DET artisans_NOUN,mes_DET partisans_NOUN
1800,6.288328968651058e-09,9.432493897065797e-09
1801,0.0,2.1430643926123594e-08
1802,0.0,4.923248297927785e-08
1803,0.0,2.9255087241608635e-08
1804,0.0,8.157108055684148e-08
1805,0.0,2.842877711017877e-09
1806,0.0,1.152667650217154e-08
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,1.1330369975581789e-08
1809,4.518061036407062e-09,2.9367396070512086e-08
1810,0.0,6.786367778843783e-08
1811,2.5070767684098882e-09,4.512738271955641e-08
1812,0.0,2.400487453257938e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,9.44003133440674e-08
1815,0.0,4.045835311217161e-08
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,0.0,1.8682481339737933e-08
1818,1.1921177378582115e-09,2.6226590676969863e-08
1819,0.0,1.9666995143552413e-08
1820,0.0,5.814575843032799e-08
1821,2.9584463767662328e-09,3.944595405869222e-08
1822,1.0025615893027862e-09,4.712039469723095e-08
1823,0.0,4.842516432290722e-08
1824,0.0,3.452656205382709e-08
1825,8.805443041381977e-10,2.289415235168235e-08
1826,0.0,3.2589542509064984e-08
1827,0.0,5.438191053031005e-08
1828,1.8344602503717056e-09,4.953042775923677e-08
1829,1.714635211591542e-09,1.1316592463117559e-07
1830,1.0436835840010872e-09,3.757260991221756e-08
1831,0.0,5.612834086399232e-08
1832,1.3529969367098715e-09,5.27668808647519e-08
1833,0.0,1.0772774139411467e-07
1834,0.0,1.9602514722549813e-08
1835,0.0,3.403389570166837e-08
1836,1.3441500135158435e-09,3.763620171071125e-08
1837,2.0873671680021744e-09,4.174734513640033e-08
1838,0.0,5.23909449157145e-08
1839,1.3982950353153e-09,2.7965900040172187e-08
1840,0.0,2.993753511759678e-08
1841,0.0,3.4028907691663335e-08
1842,1.341653010911159e-09,4.49453745332562e-08
1843,2.953455480181333e-09,5.139012604349347e-08
1844,5.488561272137815e-10,3.1284800083852815e-08
1845,0.0,2.2320911008399946e-08
1846,5.854501328173001e-10,3.7468809388485624e-08
1847,0.0,3.128069803182143e-08
1848,8.045221711050488e-10,4.183515445177477e-08
1849,8.379414939696517e-10,2.4300302658986084e-08
1850,6.1100964288129944e-09,1.968808760466345e-08
1851,1.9348316282474798e-09,2.1283148132766883e-08
1852,0.0,2.408901877970493e-08
1853,4.180352064508952e-09,2.8068079416243563e-08
1854,1.0391328908454511e-09,1.5586992863081406e-08
1855,1.0613874223963649e-09,1.539011762474729e-08
1856,5.177189232874468e-10,4.245295315286057e-08
1857,9.763018171682347e-10,1.6597130780837688e-08
1858,0.0,2.446838087699632e-08
1859,5.092173349652285e-09,2.0877910511529763e-08
1860,4.577183909670879e-10,2.6089947535723468e-08
1861,0.0,2.1693433105429705e-08
1862,4.517986262886353e-10,1.490935552794781e-08
1863,6.99246927027275e-09,6.243276118311769e-08
1864,0.0,1.5822602561499366e-08
1865,0.0,1.2237795665726026e-08
1866,0.0,2.8707116073167782e-08
1867,1.455843445796745e-09,2.7661025470138156e-08
