year,plus_ADV uni_VERB,plus_ADV puni_VERB
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,1.5602713787643552e-08
1804,0.0,1.2359254952798437e-08
1805,2.842877711017877e-09,3.4114531644036106e-08
1806,0.0,0.0
1807,0.0,2.8469550272802735e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,9.360507036149102e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,8.091670444798638e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,2.384235475716423e-09
1819,0.0,0.0
1820,7.119888678630559e-09,0.0
1821,1.97229765852569e-09,0.0
1822,0.0,0.0
1823,0.0,6.917880934764753e-09
1824,0.0,0.0
1825,7.924898959288385e-09,6.163809906922779e-09
1826,2.025836387531399e-08,8.807984341885344e-10
1827,0.0,7.373818444733615e-09
1828,5.503380862137419e-09,1.0089530988466322e-08
1829,1.457439946506156e-08,8.57317605795771e-10
1830,0.0,0.0
1831,0.0,4.677361609140007e-09
1832,0.0,5.411987746839486e-09
1833,0.0,0.0
1834,1.8669061851994684e-09,1.3068342852307069e-08
1835,0.0,4.5378527602224494e-09
1836,6.720750067579218e-10,1.2769425516978572e-08
1837,7.653680356156656e-09,2.0873671680021744e-09
1838,3.1560809521380406e-09,4.418513555037862e-09
1839,0.0,4.194885327990505e-09
1840,6.369688665408546e-10,8.917564464638872e-09
1841,6.420548537278137e-10,6.420548537278137e-10
1842,7.379091560011375e-09,2.0124795163667386e-09
1843,1.7720733769266417e-09,3.5441467538532834e-09
1844,5.488561161115513e-09,5.488561161115513e-09
1845,0.0,8.37034175305007e-09
1846,7.025401593807601e-09,2.9272506640865004e-09
1847,5.9325460100012606e-09,2.1572894581822766e-09
1848,0.0,0.0
1849,8.379414939696517e-10,3.3517659758786067e-09
1850,1.3577992064028876e-09,1.3577992064028876e-08
1851,6.449438760824933e-10,4.514607354622058e-09
1852,1.3021090872200602e-09,0.0
1853,2.9859659189668264e-09,1.7915795513800958e-09
1854,3.63696517347023e-09,1.0391328908454511e-09
1855,5.306937111981824e-10,2.1227748447927297e-09
1856,0.0,0.0
1857,2.9289055625270066e-09,4.393358121745905e-09
1858,9.787352039936081e-10,6.361778659424999e-09
1859,0.0,2.5460866748261424e-09
1860,0.0,0.0
1861,4.715963730639317e-10,9.431927461278633e-10
1862,1.8071945051545413e-09,9.035972525772706e-10
1863,2.9967726078439227e-09,1.4983863039219614e-09
1864,4.794727948009836e-10,1.4384183844029508e-09
1865,2.3534221238463715e-09,5.6482134525026595e-09
1866,4.865612912574591e-10,4.865612801552288e-09
1867,0.0,1.455843445796745e-09
1868,2.4699371437009177e-09,5.9278488784286765e-09
1869,9.767038289254515e-10,2.441759683335931e-09
1870,2.2936195165357276e-09,2.8670243956696595e-09
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,5.442605477412599e-09,1.8142017887967654e-09
1873,5.986004469882289e-10,0.0
