year,quelques_DET autos_NOUN,quelques_DET poteaux_NOUN
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,4.290746247193056e-08
1804,0.0,0.0
1805,0.0,1.7057265822018053e-08
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,1.1330369531492579e-08
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,1.622322720606917e-08
1817,0.0,7.784366928831332e-09
1818,0.0,5.960588467246453e-09
1819,0.0,4.140420006848444e-09
1820,0.0,4.746592452420373e-09
1821,0.0,9.86148829262845e-10
1822,0.0,6.015369535816717e-09
1823,6.917880934764753e-09,9.882686891060644e-10
1824,0.0,2.5263338088166165e-09
1825,0.0,4.4027217427355936e-09
1826,8.807984341885344e-10,1.2331177856594877e-08
1827,9.217273055917019e-10,0.0
1828,1.1006761724274838e-08,3.668920500743411e-09
1829,0.0,9.430493719264632e-09
1830,0.0,8.349468449964093e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,4.058990810129615e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,9.334530925997342e-10
1835,0.0,1.8151411040889798e-08
1836,0.0,7.392825018825988e-09
1837,2.0873671680021744e-09,9.74104708006962e-09
1838,0.0,4.418513555037862e-09
1839,0.0,1.0487212875887053e-08
1840,6.369688665408546e-10,5.095750932326837e-09
1841,3.2102742686390684e-09,7.704658244733764e-09
1842,0.0,8.049918065466954e-09
1843,1.7720733769266417e-09,7.678984559333912e-09
1844,0.0,4.939705144924034e-09
1845,2.7901139176833567e-09,3.9061593959388574e-09
1846,0.0,4.0981509297211005e-09
1847,0.0,5.9325460100012606e-09
1848,0.0,7.24069959545659e-09
1849,0.0,1.2569122853633985e-08
1850,0.0,8.82569484161877e-09
1851,0.0,2.579775504329973e-09
1852,0.0,1.4323199959420663e-08
1853,0.0,1.1943864119956515e-08
1854,0.0,1.6106559475037585e-08
1855,0.0,7.429711956774554e-09
1856,5.177189232874468e-10,6.73034605824796e-09
1857,0.0,1.0739319766805977e-08
1858,0.0,3.4255731584664773e-09
1859,0.0,1.9859475397510096e-08
1860,0.0,1.1900678442700041e-08
1861,4.715963730639317e-10,1.131831295353436e-08
1862,3.6143890103090826e-09,6.77697964412971e-09
1863,0.0,7.491931297565202e-09
1864,0.0,1.3425238476472146e-08
1865,1.4120533631256649e-09,1.3179164426446732e-08
1866,4.865612912574591e-10,1.897589108068587e-08
1867,0.0,9.220341823379385e-09
1868,0.0,2.0253484223076157e-08
1869,4.395167341186834e-09,2.0022428159904848e-08
1870,0.0,9.17447806614291e-09
1871,0.0,1.0621177271019633e-09
1872,6.047339295989218e-10,1.3908880269752899e-08
1873,1.1972008939764578e-09,1.3767810336240416e-08
1874,0.0,2.6885741966076182e-08
1875,0.0,6.86583251363615e-09
1876,0.0,5.441413319928756e-09
1877,0.0,1.9172930132427268e-08
1878,0.0,7.850815331167382e-09
1879,0.0,9.774920206595539e-09
1880,6.417846254436199e-10,1.6044615858135103e-08
1881,0.0,9.064259565150223e-09
1882,0.0,8.652000893505374e-09
1883,1.2638677882037541e-09,6.951272668587194e-09
1884,0.0,1.5183903023796574e-08
1885,6.445635691854079e-10,1.4824962146775533e-08
1886,2.5813854942491332e-09,6.453463763378409e-09
1887,0.0,1.0446279508080636e-08
1888,6.340614699951175e-10,1.3949351895803375e-08
1889,0.0,1.1277246247942685e-08
1890,0.0,1.9663160266691904e-08
1891,0.0,7.649063604731055e-09
1892,1.8805537127519756e-09,6.268512375839919e-09
1893,0.0,3.017624039536315e-08
1894,0.0,1.260307835870833e-08
1895,0.0,1.3842813118003505e-08
1896,0.0,5.897029087265082e-09
1897,0.0,1.3984112534615178e-08
1898,1.13167097914868e-09,1.1316709347397591e-08
1899,0.0,9.39688327150634e-09
1900,5.191053142894475e-10,1.1939422450701898e-08
1901,0.0,1.5089595406525547e-08
1902,4.910283846193408e-10,1.0311596021495006e-08
1903,0.0,7.560307935250421e-09
1904,0.0,8.061937784020756e-09
1905,0.0,1.0837593933388234e-08
1906,1.0288369045596824e-09,3.600929110447737e-09
1907,2.057137349353866e-09,4.6285588695127444e-09
1908,2.4556945366072114e-09,2.6521501661491698e-08
1909,1.6502950117569526e-09,1.1552065082298668e-08
1910,1.068830135508847e-09,1.0688301466110772e-08
1911,3.1922244847493175e-09,1.383297265622474e-08
1912,7.2931897743266916e-09,1.093978452271216e-08
1913,5.302989602995467e-09,1.2727175535687252e-08
1914,1.3393487430235496e-09,9.375441145653696e-09
1915,1.2958838002674611e-08,2.591767644943843e-08
1916,2.307367008569372e-08,1.4283700222605944e-08
1917,1.5352994098272177e-08,2.3029490536785602e-08
1918,1.033773866510046e-08,2.986457836584577e-08
