year,étions_VERB heureux_ADJ
1800,6.288328791015374e-08
1801,5.9529565277216534e-08
1802,2.2378401354217203e-08
1803,3.90067853572873e-08
1804,2.7190360185613827e-08
1805,1.1371510844071508e-08
1806,5.187004603612877e-08
1807,5.693910054560547e-08
1808,6.345007363961486e-08
1809,1.581321384946932e-08
1810,5.616304221689461e-08
1811,2.2563691359778204e-08
1812,2.1337665856435706e-08
1813,1.7254450312975678e-08
1814,3.4613449884091096e-08
1815,2.966945977789237e-08
1816,3.476405652236281e-08
1817,7.161617787687646e-08
1818,7.510341504257667e-08
1819,3.622867339458935e-08
1820,2.3732962262101864e-08
1821,6.114122896860863e-08
1822,3.60922172149003e-08
1823,6.621399961659336e-08
1824,6.400046004273463e-08
1825,6.339919167430708e-08
1826,3.787433300317389e-08
1827,2.7651818612639545e-08
1828,4.953042775923677e-08
1829,2.3147574523818548e-08
1830,4.905312778191728e-08
1831,1.2472965238430334e-07
1832,4.464889968858188e-08
1833,6.834341093053808e-08
1834,4.947301235347368e-08
1835,8.470658485748572e-08
1836,5.107770206791429e-08
1837,3.826840000442644e-08
1838,5.807189040751837e-08
1839,7.061390050466798e-08
1840,6.369688776430849e-08
1841,5.1364388298225094e-08
1842,4.427455024824667e-08
1843,4.430183153658618e-08
1844,8.452384037127558e-08
1845,5.30121653241622e-08
1846,8.723206690319785e-08
1847,5.608952591273919e-08
1848,5.792559676365272e-08
1849,5.111443002192573e-08
1850,6.381656447729256e-08
1851,9.287191460316535e-08
1852,4.557381672043448e-08
1853,6.210809289086683e-08
1854,4.8839247313026135e-08
1855,8.384960636931282e-08
1856,7.921099864915959e-08
1857,7.859229356199648e-08
1858,9.004364187603642e-08
1859,9.21683351862157e-08
1860,7.643897248499343e-08
1861,1.009216248348821e-07
1862,8.629353942524176e-08
1863,8.890425107210831e-08
1864,9.54150891629979e-08
1865,9.931441269372954e-08
1866,8.222885838904403e-08
1867,8.152723296461772e-08
1868,1.2695475959390023e-07
1869,1.0694906649177938e-07
1870,1.1066714478147333e-07
1871,1.9542966356311808e-07
1872,1.0220003332506167e-07
1873,8.679706553493816e-08
1874,6.512323835750067e-08
