year,premières_ADJ eaux_NOUN,premières_ADJ peaux_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09
1801,7.143547975374531e-08,2.3811825844433088e-09
1802,3.8043282302169246e-08,6.713520406265161e-09
1803,9.55666195068261e-08,1.950339223455444e-09
1804,1.1617699158250616e-07,9.887403784603066e-09
1805,3.695740957709859e-08,2.842877711017877e-09
1806,1.123850950079941e-07,0.0
1807,9.679647661187119e-08,0.0
1808,1.8128591960930862e-08,1.5862518409903714e-08
1809,1.1295152546608733e-07,1.129515236897305e-08
1810,1.4040760554223652e-08,0.0
1811,1.1031137603367824e-07,0.0
1812,1.1468995353425271e-07,0.0
1813,4.3136125782439194e-08,0.0
1814,5.664018942752591e-08,0.0
1815,1.6183340889597275e-08,8.091670444798638e-09
1816,6.025770460382773e-08,0.0
1817,3.269434145636296e-08,0.0
1818,6.318224166079744e-08,1.1921177378582115e-09
1819,3.726378139390363e-08,0.0
1820,5.102586797534059e-08,0.0
1821,3.254291058851777e-08,4.930744257336528e-09
1822,1.223125138949399e-07,2.2056354964661296e-08
1823,9.882686669016039e-08,0.0
1824,7.663212642228245e-08,0.0
1825,6.339919167430708e-08,8.805443041381977e-10
1826,8.984144272972117e-08,0.0
1827,7.92685455053288e-08,0.0
1828,1.1006761724274838e-07,0.0
1829,1.0116347937128012e-07,2.571952872898464e-09
1830,9.497520636614354e-08,0.0
1831,7.795603096383275e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,1.2973663388038403e-07,0.0
1834,8.121041616959701e-08,9.334530925997342e-10
1835,4.61348363955949e-08,5.294161553592858e-09
1836,3.763620171071125e-08,4.704525213838906e-09
1837,3.409366655660051e-08,6.957890930081589e-10
1838,1.830527018853445e-08,6.312161904276081e-10
1839,8.110111338055503e-08,2.7965900706306e-09
1840,8.535382534091696e-08,6.369688665408546e-10
1841,5.714288064950779e-08,3.852329122366882e-09
1842,3.219967226186782e-08,0.0
1843,5.9069112268161916e-08,0.0
1844,6.147188713612195e-08,1.6465684371524958e-09
1845,4.631589334280761e-08,0.0
1846,5.678866443759034e-08,0.0
1847,5.3392913201832926e-08,5.393223645455691e-10
1848,5.953464210506354e-08,1.6090443422100975e-09
1849,5.53041381579078e-08,0.0
1850,3.2587180953669304e-08,0.0
1851,4.127640806927957e-08,1.2898877521649865e-09
1852,4.948014620254071e-08,6.510545436100301e-10
1853,6.091370607919089e-08,2.388772735173461e-09
1854,2.8576154775805662e-08,6.234797567117312e-09
1855,3.8209947206269135e-08,9.552486801567284e-09
1856,5.9537676122545236e-08,3.1063134287023786e-09
1857,6.150701636897793e-08,2.4407544874094356e-09
1858,2.5447114637699997e-08,0.0
1859,5.703234151610559e-08,1.018434669930457e-09
1860,5.767251565202969e-08,4.577183909670879e-10
1861,6.413710451624866e-08,1.8863854922557266e-09
1862,3.3884898442693157e-08,4.517986262886353e-10
1863,2.6970951694238465e-08,0.0
1864,8.630509995555258e-08,0.0
1865,6.118897744045171e-08,0.0
1866,5.352174170525359e-08,4.865612912574591e-10
1867,4.513114504334226e-08,4.85281148598915e-10
1868,6.619431047738544e-08,4.44588676984381e-09
1869,7.42294901101559e-08,4.883519144627257e-10
1870,6.938198993111655e-08,0.0
1871,7.009977309735405e-08,0.0
1872,5.07976487540418e-08,6.047339295989218e-10
1873,9.577607329447346e-08,5.986004469882289e-10
1874,8.424198938428162e-08,0.0
1875,2.574687130163511e-08,1.1443054281912168e-09
1876,1.1003746891447008e-07,7.255217759905008e-09
1877,1.292626592430679e-07,3.0924081073635534e-09
1878,6.944951991272319e-08,1.2078177347163432e-09
1879,6.414791187125957e-08,4.887460214320072e-09
1880,7.31634486328403e-08,0.0
1881,1.1225737495124122e-07,2.7890030285249168e-09
1882,1.0582062515140933e-07,6.655385131892899e-09
1883,7.64639978001469e-08,1.8958017378167824e-09
1884,1.0496697910866715e-07,6.601696966868076e-09
1885,1.1731057014685575e-07,0.0
1886,6.905206362262106e-08,1.2906927748801422e-09
1887,9.793387079071181e-08,1.3057849246322917e-09
1888,9.954764834674279e-08,5.07249175996094e-09
1889,6.766347837583453e-08,6.891650361495749e-09
1890,5.702316130395957e-08,2.621754646714436e-09
1891,5.991766727220238e-08,1.9122659011827636e-09
1892,6.26851246465776e-08,6.268512375839919e-10
1893,7.698020709767661e-08,3.695050043717174e-09
1894,6.175508815431385e-08,5.671385139294216e-09
1895,4.513960760732516e-08,4.814891596538473e-09
1896,5.071444775239797e-08,0.0
1897,7.458193351794762e-08,2.330685422435863e-09
1898,8.034864151795773e-08,5.6583548957434e-10
1899,5.140648084989152e-08,0.0
1900,4.6200373304827735e-08,5.191053142894475e-10
