year,dix_DET airs_NOUN,dix_DET pairs_NOUN
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,9.751696339321825e-09
1804,4.943701892301533e-09,9.887403784603066e-09
1805,0.0,0.0
1806,1.4408345627714425e-08,8.645007376628655e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,4.6352077731626196e-09,0.0
1817,1.401186100480345e-08,0.0
1818,1.1921177378582115e-09,9.536941902865692e-09
1819,1.3456364911235141e-08,0.0
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,9.86148829262845e-10,0.0
1822,4.010246357211145e-09,7.017931125119503e-09
1823,6.917880934764753e-09,0.0
1824,5.052667617633233e-09,1.6842226280289196e-08
1825,7.044354433105582e-09,3.522177216552791e-09
1826,1.5854372037438225e-08,2.3781557167978917e-08
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,1.559291185060374e-08
1829,0.0,2.7434163218931218e-08
1830,2.0873671680021744e-09,5.218417920005436e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,1.7375443306377747e-08,1.1583628500844156e-09
1834,1.8669061851994684e-09,0.0
1835,0.0,0.0
1836,3.36037508930076e-09,6.720750067579218e-10
1837,2.7831563720326358e-09,6.957891152126194e-09
1838,1.8936485712828244e-09,3.787297142565649e-09
1839,6.9914749545318955e-09,1.3982950353153e-09
1840,1.2739377330817092e-09,3.1848443882154243e-09
1841,6.420548537278137e-10,0.0
1842,6.708265054555795e-10,9.391571076378114e-09
1843,3.5441467538532834e-09,2.3627644285539873e-09
1844,2.7442805805577564e-09,4.390849017710252e-09
1845,0.0,6.696273757711424e-09
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,1.6179670936367074e-09,8.629157832729106e-09
1848,2.413566457803995e-09,2.413566457803995e-09
1849,0.0,0.0
1850,3.394498016007219e-09,0.0
1851,0.0,6.449438760824933e-10
