year,auras_VERB eu_VERB,auras_VERB pu_VERB
1800,3.144164395507687e-08,3.144164484325529e-09
1801,2.6193008650921e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,5.851017448321727e-09,5.851017448321727e-09
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,8.00162425207418e-09,0.0
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,9.440030979135372e-09,0.0
1815,8.091670444798638e-09,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,6.227493631882908e-09
1818,0.0,0.0
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,9.493184904840746e-09,1.1866481131050932e-09
1821,9.86148829262845e-10,1.4792232327920374e-08
1822,7.017931125119503e-09,1.2030739071633434e-08
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,1.0105335235266466e-08,2.5263338088166165e-09
1825,1.7610886082763955e-09,1.0566531649658373e-08
1826,3.5231937367541377e-09,4.403992281964975e-09
1827,3.6869092223668076e-09,1.8434546111834038e-09
1828,1.8344602503717056e-09,0.0
1829,5.143905745796928e-09,5.143905745796928e-09
1830,4.174734336004349e-09,3.1310507520032616e-09
1831,3.1182412207897414e-09,9.354723218280014e-09
1832,1.3529969367098715e-09,6.764984572527055e-09
1833,1.1583628500844156e-09,2.548398292390175e-08
1834,2.0535967593104942e-08,0.0
1835,6.050470346963266e-09,6.050470346963266e-09
1836,6.720750067579218e-10,0.0
1837,4.87052354003481e-09,8.349468672008697e-09
1838,2.209256599883247e-08,1.8936485712828244e-09
1839,1.2584655095793096e-08,6.9914749545318955e-09
1840,1.9109065441114126e-09,0.0
1841,3.852329122366882e-09,0.0
1842,9.391571076378114e-09,4.695785538189057e-09
1843,9.451057714215949e-09,5.906911071384968e-10
1844,5.488561161115513e-09,5.488561272137815e-10
1845,9.48638767539478e-09,5.580227946389016e-10
1846,7.025401593807601e-09,1.7563503984519002e-09
1847,8.629157832729106e-09,0.0
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,4.752297222410107e-09
1851,6.449438760824933e-09,0.0
1852,3.906327261660181e-09,0.0
1853,1.4332636411040767e-08,1.1943863675867306e-09
1854,9.352196350675968e-09,1.0391328908454511e-09
1855,5.837630823180007e-09,2.653468555990912e-09
1856,5.177189343896771e-09,3.1063134287023786e-09
1857,4.881508974818871e-09,4.393358121745905e-09
1858,7.829881631948865e-09,9.787352261980686e-09
1859,9.675129142294736e-09,7.638259802433822e-09
1860,7.323494255473406e-09,5.492620580582752e-09
1861,5.234719679947375e-08,1.8863854922557266e-09
1862,1.8071945051545413e-09,1.3553959066214816e-09
1863,3.995696662428827e-09,4.994620717013731e-09
1864,9.109982990196386e-09,9.589455896019672e-10
1865,9.413688495385486e-09,7.530950973944073e-09
1866,4.379051787850585e-09,1.556996132023869e-08
1867,1.261730986357179e-08,4.85281148598915e-09
1868,9.87974857480367e-09,0.0
1869,2.539429999615095e-08,3.906815315701806e-09
1870,6.880858549607183e-09,4.013834153937523e-09
1871,7.434824311758348e-09,3.18635318130589e-09
1872,4.8378714367913744e-09,6.047339295989218e-10
1873,3.591602570907071e-09,4.190203295451056e-09
1874,5.974609251779839e-09,1.7923826867161097e-09
1875,2.8607636259891933e-09,1.6592428764283795e-08
1876,5.441413541973361e-09,2.418405919968336e-09
1877,5.566334504436554e-09,0.0
1878,3.6234530931267273e-09,1.8117265465633636e-09
1879,9.774920428640144e-09,4.887460214320072e-09
1880,1.1552122813895949e-08,6.417846254436199e-09
1881,9.064259565150223e-09,1.3945015142624584e-09
1882,1.4641846846075168e-08,3.3276925659464496e-09
1883,9.479008689083912e-09,2.5277355764075082e-09
1884,7.922036360241691e-09,4.621187876807653e-09
1885,7.7347630522695e-09,6.445635691854079e-10
1886,1.097088819790315e-08,1.936039106809062e-09
1887,7.1818169189441505e-09,3.264462256069578e-09
1888,1.268122939990235e-08,1.268122939990235e-08
1889,1.1277245803853475e-08,3.132568426877924e-09
1890,5.243509182406569e-09,1.9663159989136147e-09
1891,8.92390783491237e-09,3.824531802365527e-09
1892,1.002961980134387e-08,6.268512375839919e-09
1893,9.23762488724833e-09,1.847525021858587e-09
1894,2.520615716150587e-09,9.452309157609307e-09
1895,3.0093072478365457e-09,5.416753268150387e-09
1896,5.897029087265082e-09,5.89702897624278e-10
1897,3.4960281336537946e-09,1.7480140668268973e-09
1898,7.355861253444118e-09,5.6583548957434e-10
1899,5.527578395003729e-09,0.0
1900,2.07642125715779e-09,3.114631885736685e-09
1901,5.029864968975062e-09,5.029864968975062e-09
1902,8.347482705062248e-09,2.455141867585553e-09
1903,6.480264325148255e-09,6.480264325148255e-09
1904,3.2247751136083025e-09,9.13686282189019e-09
1905,7.2250627702885595e-09,4.64468330463319e-09
1906,5.658602919567102e-09,4.115347618238729e-09
1907,6.1714118260169926e-09,0.0
1908,3.437972351250096e-09,7.367083831866239e-09
1909,4.400786846048277e-09,8.251475058784763e-09
1910,3.206490406526541e-09,4.275320542035388e-09
1911,5.852411444351446e-09,7.448523575703803e-09
1912,2.6047106693738442e-09,2.0837684910901544e-09
1913,1.0075680734189518e-08,1.060597942803554e-09
1914,1.0045115850232378e-08,2.0090231700464756e-09
1915,5.890381071793627e-09,0.0
1916,5.493730803607377e-09,1.0987462051303964e-09
1917,4.386569774084137e-09,2.1932848870420685e-09
1918,9.189101035644853e-09,0.0
1919,4.603924352863942e-09,7.366278698128781e-09
1920,7.572231730534895e-09,2.2716695191604686e-09
1921,5.300923255902035e-09,1.060184651180407e-08
1922,1.696925089333945e-08,1.1804696775641332e-08
1923,4.246379248229459e-09,0.0
1924,2.578324886925998e-09,6.445812328337297e-09
1925,4.399271169575059e-09,1.0998177923937646e-09
1926,3.343841648018042e-09,4.458455382660986e-09
1927,7.804457524684949e-09,1.0034302277972529e-08
1928,7.998228745975666e-09,6.8556245125250825e-09
1929,7.798284684668033e-09,1.3368487650211591e-08
1930,7.352522590764465e-09,6.302162347537887e-09
1931,2.2810713318222042e-09,6.843213995466613e-09
1932,6.575722188983946e-09,3.287861094491973e-09
1933,3.4411986593596566e-09,8.02946331646126e-09
1934,5.990790086229936e-09,9.585264137967897e-09
1935,1.196828414151696e-08,1.6755597798123745e-08
1936,1.2124714565686645e-09,8.487299751891442e-09
1937,1.2591118148108649e-09,8.813782592653752e-09
1938,3.8895642262559704e-09,1.2965214457594243e-09
1939,1.5294050470515685e-09,4.588215141154706e-09
1940,2.7893612752905028e-08,5.0715658339584024e-09
1941,5.9030051957620344e-09,8.854508237732261e-09
1942,1.517105907566929e-08,6.068423541449874e-09
1943,8.709705845433291e-09,5.806470415592457e-09
1944,6.4263723231761105e-09,1.2852744646352221e-08
1945,6.535512131478072e-09,6.535512131478072e-09
1946,5.568441707737293e-09,6.960552134671616e-09
1947,1.3112957830685446e-08,3.5762612871081956e-09
1948,9.784699273041042e-09,5.435944139264848e-09
