year,rapports_NOUN heureux_ADJ
1800,1.2576657937302116e-08
1801,2.8574191901498125e-08
1802,0.0
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,4.3225035994964855e-08
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,3.163315653864629e-08
1814,1.2586708564299443e-08
1815,2.966945977789237e-08
1816,2.7811246638975717e-08
1817,3.113746815941454e-09
1818,1.3113295338484932e-08
1819,3.1053151161586356e-09
1820,3.5599443393152796e-09
1821,7.88919063410276e-09
1822,8.02049271442229e-09
1823,0.0
1824,7.57900142644985e-09
1825,5.283265824829186e-09
1826,7.0463874735082754e-09
1827,0.0
1828,0.0
1829,0.0
1830,1.2524203008013046e-08
1831,2.6505050598757407e-08
1832,0.0
1833,2.3167257001688313e-09
1834,8.401077833397608e-09
1835,7.563087933704082e-10
1836,0.0
1837,7.653680356156656e-09
1838,7.574594285131298e-09
1839,0.0
1840,1.0828470564661075e-08
1841,3.852329122366882e-09
1842,2.683306021822318e-09
1843,1.4176587015413133e-08
1844,6.586273748609983e-09
1845,1.1160455892778032e-09
1846,7.610851504580296e-09
1847,2.6966118227278457e-09
1848,8.045221711050488e-10
1849,2.513824481908955e-09
1850,2.7155984128057753e-09
1851,1.2898877521649865e-09
1852,0.0
1853,6.569124799682413e-09
1854,2.5978321716024766e-09
1855,0.0
1856,1.0354378465748937e-09
1857,4.881509085841174e-10
1858,0.0
1859,5.092173349652285e-09
1860,1.144296013499968e-08
1861,4.715963619617014e-09
1862,9.035972858839614e-09
1863,6.99246927027275e-09
1864,4.794728170054441e-09
1865,4.706844358715045e-10
1866,9.731225825149181e-10
1867,3.88224918879132e-09
1868,4.939874287401835e-09
1869,1.4650557433881772e-09
1870,0.0
1871,0.0
1872,1.2094678591978436e-09
1873,1.1972008939764578e-09
1874,5.974609251779839e-09
1875,4.005069165202713e-09
1876,0.0
1877,6.184815992682502e-10
1878,0.0
1879,7.331190321480108e-09
1880,0.0
1881,7.669758161910067e-09
1882,6.655385131892899e-10
1883,6.319338941018771e-10
1884,1.9805090900604227e-09
1885,0.0
1886,0.0
1887,5.223139698529167e-09
1888,1.268122939990235e-09
1889,7.51816386923565e-09
1890,1.3108772956016423e-09
1891,0.0
1892,6.268512375839919e-10
1893,0.0
1894,1.2603078580752936e-09
1895,6.018614495673091e-10
1896,1.7691086373616827e-09
1897,0.0
1898,0.0
1899,0.0
1900,5.191053142894475e-10
1901,0.0
1902,2.9461704187383475e-09
1903,5.400220270956879e-10
1904,1.6123875568041512e-09
1905,1.0321518084666081e-09
1906,0.0
1907,4.6285588695127444e-09
1908,0.0
1909,5.500983557560346e-10
1910,2.137660271017694e-09
1911,4.25629931299909e-09
1912,5.2094213387476884e-09
1913,4.772690687104841e-09
1914,4.68772043404897e-09
1915,0.0
1916,0.0
1917,3.289927441585405e-09
1918,0.0
1919,1.8415696745321952e-09
1920,3.028892692213958e-09
1921,3.0290989716519334e-09
1922,0.0
1923,0.0
1924,7.734974438733389e-09
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,1.1149224876660924e-09
1928,1.1426041224282812e-09
1929,2.2280812750352652e-09
1930,5.2518016602221e-09
1931,4.5621426636444085e-09
1932,2.1919073223131136e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,5.98414207075848e-09
1936,4.849885826274658e-09
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,0.0
1946,1.3921104269343232e-08
1947,3.5762612871081956e-09
1948,1.0871888278529696e-08
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,5.330700769690111e-09
1952,8.435843135146115e-09
1953,3.232148326759443e-09
1954,1.9545072227344917e-09
1955,8.447047505910632e-09
1956,6.976913269340912e-09
1957,8.835037590415595e-09
1958,5.790570356545288e-09
1959,3.8753737996444215e-09
1960,2.7683333403416555e-09
1961,4.86371165564492e-09
1962,3.805173953708163e-09
1963,2.5864212993553792e-09
1964,4.258777774879263e-09
1965,4.377634699181954e-09
1966,5.539074976468328e-09
1967,1.4791006197611978e-09
1968,8.98283178396575e-09
1969,4.995933444718048e-09
1970,4.1388523719376735e-09
1971,5.652237344833111e-09
1972,3.5911027485013847e-09
1973,9.372446430067072e-09
1974,3.937900228123681e-09
1975,2.2845920710778955e-09
1976,3.9994687561772935e-09
1977,2.3507127355770763e-09
1978,5.346532105932056e-09
1979,2.925986564150662e-09
1980,5.116635559687666e-09
1981,3.795329828193417e-09
1982,6.2075020679230875e-09
1983,2.526126308133314e-09
1984,2.8995041922996734e-09
1985,3.609334831011779e-09
1986,5.395036861699509e-09
1987,1.8332451112712533e-09
1988,1.798966087207532e-09
1989,3.2928733073589456e-09
1990,2.179460389939436e-09
1991,5.2753188484189195e-09
1992,3.856960972825618e-09
1993,3.877445031719162e-09
1994,1.5824779264761446e-09
1995,2.7112254663563817e-09
1996,1.6014276571496566e-09
1997,5.274384040632185e-09
1998,9.536258449571733e-10
1999,3.6561608462992723e-09
2000,1.3254094488601709e-09
2001,3.943090742808408e-09
2002,1.3143663935011318e-09
2003,2.5001538617175356e-09
2004,2.2023955992267474e-09
2005,2.251874686720612e-09
2006,2.0589450144825605e-09
2007,4.393927444112933e-09
2008,1.7029758714315335e-09
2009,3.337734755248789e-09
2010,2.3618964561933353e-09
2011,1.1471915639660324e-09
2012,4.085103366691101e-09
2013,2.2313000336282585e-09
2014,1.2992671383216248e-09
2015,2.881548111233201e-09
2016,2.485607997204653e-09
2017,1.2578056374223934e-09
2018,1.8070267504555204e-09
2019,1.53059265262101e-09
