year,quelques_DET anneaux_NOUN,quelques_DET panneaux_NOUN
1800,5.973912209356058e-08,2.5153315874604232e-08
1801,1.4048977448055666e-07,0.0
1802,1.1412984690650774e-07,2.4616241489638924e-08
1803,2.4964342060229683e-07,1.950339223455444e-09
1804,1.6067031149979982e-07,3.460591457837836e-08
1805,5.685755510853596e-08,0.0
1806,7.780506905419315e-08,0.0
1807,1.0249038240317532e-07,0.0
1808,5.4385776326881796e-08,4.5321479902327155e-09
1809,5.6475762733043666e-08,3.162642769893864e-08
1810,1.146662111928265e-07,0.0
1811,5.264861258069686e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,9.125363931161701e-08,0.0
1815,8.90083740046066e-08,0.0
1816,3.4995818509742094e-07,4.6352077731626196e-09
1817,1.5724421909002473e-07,0.0
1818,1.5974377731708955e-07,1.1921177378582115e-09
1819,8.69488232524418e-08,0.0
1820,1.293446416639199e-07,0.0
1821,1.311577904061778e-07,2.9584463767662328e-09
1822,1.1128433641260926e-07,0.0
1823,1.0673301498176357e-07,2.2730180404550993e-08
1824,5.052667706451075e-08,1.2631669044083083e-08
1825,6.339919167430708e-08,1.8491430608946757e-08
1826,9.512622767271495e-08,0.0
1827,7.650336897313537e-08,2.7651818612639545e-09
1828,1.3024667566696735e-07,1.8344602503717056e-09
1829,7.287199821348622e-08,2.571952872898464e-09
1830,1.2002361415852647e-07,7.305785310052215e-09
1831,9.978371906527173e-08,4.677361609140007e-09
1832,4.058990654698391e-08,2.3000947813045514e-08
1833,9.730247763073407e-08,3.4750886612755494e-09
1834,1.0267984040801537e-07,3.733812370398937e-09
1835,9.302598158456021e-08,6.806779140333674e-09
1836,1.2030142637620145e-07,1.0753200108126748e-08
1837,9.671468070848732e-08,9.74104708006962e-09
1838,7.953324221432467e-08,1.1361891871786156e-08
1839,6.991475354212184e-08,4.963947308755934e-08
1840,6.624476184269312e-08,7.64362662053486e-09
1841,8.73194574424474e-08,5.778493683550323e-09
1842,6.909513272645995e-08,1.475818312002275e-08
1843,3.5441465817687146e-08,2.008349753168659e-08
1844,7.13512991468157e-08,2.360081374774836e-08
1845,8.872562579087528e-08,6.696273757711424e-09
1846,6.732676327558806e-08,1.2879902921980602e-08
1847,5.716817153000875e-08,1.240441438454809e-08
1848,1.0297883434873256e-07,8.84974404868899e-09
1849,6.033178823194874e-08,2.9327952510982414e-08
1850,7.875235219501064e-08,2.9192683825840504e-08
1851,8.190787248452125e-08,2.579775593147815e-08
1852,6.185018408544352e-08,2.5391126312612755e-08
1853,8.300985476772382e-08,2.0304568471019024e-08
1854,6.598493706988506e-08,1.9223958869218905e-08
1855,5.413075854221461e-08,2.865746040470185e-08
1856,4.297067207614802e-08,2.847454094734303e-08
1857,5.0767694936837415e-08,2.391939540880017e-08
1858,8.857553268626361e-08,3.131952558410589e-08
1859,7.179964445214182e-08,1.985947695182233e-08
1860,8.513561944312187e-08,3.066713105681629e-08
1861,6.225072013421595e-08,1.886385503357957e-08
1862,4.563166206006386e-08,2.846331392802881e-08
1863,7.042415139935088e-08,2.5472566833606436e-08
1864,6.137251484794604e-08,2.9247839927748487e-08
1865,5.695281718454126e-08,6.1188974997961054e-09
1866,8.855415245534459e-08,2.238181906477621e-08
1867,6.842464372880386e-08,1.8925964795357686e-08
1868,8.891773273234094e-08,3.902500500529982e-08
1869,1.0499566194255294e-07,1.953407613441982e-08
1870,9.461180283665271e-08,8.027668307875047e-09
1871,3.6112004275778986e-08,7.434824311758348e-09
1872,7.982487915114689e-08,2.7817760539505798e-08
1873,6.225444709739847e-08,1.5563610844537834e-08
1874,7.946229940714034e-08,1.0156835539287812e-08
1875,6.064818869333521e-08,2.460256709468922e-08
1876,5.3204929351124974e-08,1.874264565771e-08
1877,8.473197832259416e-08,2.4739264414819218e-08
1878,7.911206401089999e-08,3.623453181944569e-08
1879,9.652733878873221e-08,4.7652736867576095e-08
1880,7.958129266683045e-08,1.4119261981804243e-08
1881,7.948658442558099e-08,4.462404845639867e-08
1882,6.988154721554451e-08,3.3276925659464496e-08
1883,6.066565411133595e-08,2.7805090674348776e-08
1884,6.007544062214265e-08,1.386356363042296e-08
1885,6.252266460116118e-08,3.0294486974558055e-08
1886,3.9366128135043255e-08,3.4203358811879525e-08
1887,4.3090901069575693e-08,1.2404956672984468e-08
1888,5.833365390728318e-08,2.6630582183884144e-08
1889,9.39770474772672e-08,1.754238243556472e-08
1890,6.947649322519567e-08,3.8670881885582986e-08
1891,6.756673442964711e-08,3.1233678754460925e-08
1892,5.0774950466347946e-08,5.453605900207492e-08
1893,7.390099932003125e-08,1.8475249885518963e-08
1894,3.591877373310126e-08,2.646646524162577e-08
1895,5.296380867214623e-08,3.791727198887429e-08
1896,5.897028865220477e-08,2.830573897494304e-08
1897,5.477110631701976e-08,3.554295346930303e-08
1898,5.714938433598604e-08,2.8291774256672397e-08
1899,3.703477347016815e-08,3.427098604902312e-08
1900,7.838490301281809e-08,2.1283318663023465e-08
1901,6.874148983371242e-08,3.7444550571308355e-08
1902,3.879124088612684e-08,3.0443758625153805e-08
1903,4.1581697196590994e-08,4.6981917467547873e-08
1904,3.815983973254333e-08,3.009790017216574e-08
1905,5.160758931310738e-08,3.9221767167418875e-08
1906,4.526882513289365e-08,2.623534012258233e-08
1907,5.862841412351827e-08,2.262851062084792e-08
1908,4.518477858539427e-08,2.259238951474174e-08
1909,4.1257376182102234e-08,3.52062942132747e-08
1910,4.756294114116599e-08,3.58058107607917e-08
1911,4.149891918991955e-08,4.043484358451366e-08
1912,4.48010215592376e-08,2.9172759041795615e-08
1913,5.6211690413476845e-08,4.348451643210183e-08
1914,4.085013527443948e-08,3.549274207870212e-08
1915,3.180805663305364e-08,1.2958838224719216e-08
1916,3.845611873387611e-08,1.0987462051303964e-08
1917,3.180263163926611e-08,3.070598930676738e-08
1918,5.16886933255023e-08,3.331049214239101e-08
1919,2.578197488833922e-08,3.406903803515604e-08
1920,3.256059732947847e-08,3.9375604554692245e-08
1921,4.316466079012926e-08,2.3475517973992055e-08
1922,3.8365264742878935e-08,3.7627469584577966e-08
1923,3.715581797791856e-08,3.290944050604594e-08
1924,3.738571052736006e-08,2.5783249091304583e-08
1925,3.2994532217500705e-08,4.3992712583929006e-08
1926,7.133528479030815e-08,4.458455471478828e-08
1927,4.0137209111890115e-08,4.1252132820801535e-08
1928,3.085031063942978e-08,3.770593770546782e-08
1929,3.787738167559951e-08,3.34212200137074e-08
1930,3.781297108762516e-08,3.3611531891075686e-08
1931,5.930785462737731e-08,3.193499953368928e-08
1932,2.849479585620429e-08,4.931791597329038e-08
1933,3.900024991843054e-08,2.6382522388956886e-08
1934,4.912447693072863e-08,2.7557634396657704e-08
1935,8.018750730087731e-08,3.2314367182095793e-08
1936,4.9711330163404455e-08,3.273672888326473e-08
1937,2.89595720737168e-08,3.3996019999094074e-08
1938,3.241303525580719e-08,2.9819993585533666e-08
