year,leurs_DET oies_NOUN,leurs_DET pois_NOUN
1800,6.288328968651058e-09,1.2262241000371432e-07
1801,0.0,3.095537337571841e-08
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,2.3404069793286908e-08,1.1702035562777269e-08
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,5.685755422035754e-09,3.980028751016107e-08
1806,0.0,2.0171682990621775e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,3.6144488291256494e-08,1.8072244145628247e-08
1810,1.1700633351097167e-08,0.0
1811,0.0,1.2535384286138651e-08
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,1.556873407970727e-09,1.4011860671736542e-08
1818,2.384235386898581e-08,2.384235475716423e-09
1819,0.0,1.3456364911235141e-08
1820,3.322614716694261e-08,1.1866481131050932e-09
1821,1.2819934447350079e-08,1.97229765852569e-09
1822,2.0051231786055723e-09,2.0051231786055723e-09
1823,8.894418535021487e-09,0.0
1824,1.431589158329416e-08,1.1789557774477544e-08
1825,7.924898959288385e-09,7.924898959288385e-09
1826,3.5231937367541377e-09,2.642395191543301e-09
1827,1.3825909306319772e-08,1.1982455028203276e-08
1828,1.4675682002973645e-08,9.172301251858528e-10
1829,3.3435387791769244e-08,8.57317605795771e-10
1830,2.0873671680021744e-09,6.262101504006523e-09
1831,1.5591206103948707e-09,9.354723218280014e-09
1832,5.411987746839486e-09,1.352996914505411e-08
1833,3.4750886612755494e-09,2.3167256557599103e-08
1834,5.600718555598405e-09,4.667265685043276e-09
1835,0.0,6.050470346963266e-09
1836,3.36037508930076e-09,4.704525213838906e-09
1837,5.5663127440652715e-09,8.349468672008697e-09
1838,1.3886756633496589e-08,8.837027110075724e-09
1839,9.788065469251706e-09,1.4682098203877558e-08
1840,0.0,2.5478754661634184e-09
1841,3.852329122366882e-09,3.852329122366882e-09
1842,0.0,5.366612043644636e-09
1843,1.7720733769266417e-09,1.7720733214154905e-09
1844,5.488561272137815e-10,6.037417288329294e-09
1845,6.138250796539069e-09,6.138250796539069e-09
1846,5.269050973311096e-09,1.9319854160926297e-08
1847,8.089835468183537e-09,7.550513103637968e-09
1848,2.172209789819135e-08,4.827132860096839e-09
1849,0.0,9.217356655710773e-09
1850,6.788996032014438e-10,2.1724787302446202e-08
1851,7.739326512989919e-09,1.2898877521649865e-09
1852,2.278690836021724e-08,2.6042181744401205e-09
1853,1.0749477752369785e-08,6.569124799682413e-09
1854,6.754363734984281e-09,6.234797400583858e-09
1855,4.2455496895854594e-09,1.2736649068756378e-08
1856,3.6240324075009767e-09,4.6594703095870216e-09
1857,3.905207268672939e-09,1.2203773103180993e-08
1858,7.34051397444091e-09,3.4255731584664773e-09
1859,2.036869339860914e-09,1.018434669930457e-08
1860,1.373155145145688e-09,3.204028820036342e-09
1861,1.8863854922557266e-09,4.2443675241088386e-09
1862,1.0391368654438793e-08,3.6143890103090826e-09
1863,2.9967726078439227e-09,2.4973103585068657e-09
1864,9.589456340108882e-09,4.794728059032138e-09
1865,1.2237795665726026e-08,1.1767110841276462e-08
1866,5.838735717134114e-09,7.298419202328432e-09
1867,9.7056229719783e-10,2.426405742994575e-09
1868,2.9639244392143382e-09,8.89177353968762e-09
1869,4.883519366671862e-09,4.883519366671862e-09
1870,4.587239033071455e-09,9.17447806614291e-09
1871,4.248470908407853e-09,0.0
1872,7.256807155187062e-09,3.628403577593531e-09
1873,3.591602570907071e-09,4.788803575905831e-09
1874,5.974609140757536e-10,6.572069999322139e-09
1875,1.0298748520654044e-08,5.149374260327022e-09
1876,1.209202959984168e-09,3.02300739996042e-09
1877,3.0924081073635534e-09,8.658742167710898e-09
1878,7.2469061862534545e-09,1.8117265465633636e-09
1879,3.665595160740054e-09,4.27652757650776e-09
1880,6.417846254436199e-10,7.059631101924424e-09
1881,1.6036766581351003e-08,2.091752326904839e-09
