year,serais_VERB heureux_ADJ
1800,1.3834323908668011e-07
1801,1.0000967165524344e-07
1802,6.042168365638645e-08
1803,5.655983770225248e-08
1804,5.6852570651244605e-08
1805,1.194008660831969e-07
1806,6.051504897186533e-08
1807,8.825561081948763e-08
1808,5.891792298484688e-08
1809,8.358412628695078e-08
1810,8.658469141664682e-08
1811,1.0780430415024966e-07
1812,9.868670503010435e-08
1813,8.91479885467561e-08
1814,1.195737269199526e-07
1815,1.2676950689183286e-07
1816,1.367386346373678e-07
1817,1.9616605584360514e-07
1818,1.7524131123991538e-07
1819,1.0972112818308233e-07
1820,1.091716228529549e-07
1821,2.06105099209708e-07
1822,2.0652768739637395e-07
1823,1.9666546791086148e-07
1824,1.5410635967327835e-07
1825,1.637812374610803e-07
1826,1.699940952448742e-07
1827,1.2904182256079366e-07
1828,2.1738354405442806e-07
1829,2.0918550092119403e-07
1830,3.204108622867352e-07
1831,3.196197155830305e-07
1832,2.8954133313163766e-07
1833,2.7800709290204395e-07
1834,1.9229133840781287e-07
1835,2.3521204184362432e-07
1836,2.2514512920679408e-07
1837,4.2999766947104945e-07
1838,2.5627377908676863e-07
1839,3.0622661029156006e-07
1840,3.6753104382114543e-07
1841,3.646871675755392e-07
1842,2.6363480287727725e-07
1843,2.9180139904383395e-07
1844,3.342533716477192e-07
1845,3.5043831303482875e-07
1846,3.869825491165102e-07
1847,3.4516631330916425e-07
1848,4.642092790163588e-07
1849,5.161719514035212e-07
1850,4.7115631218730414e-07
1851,4.2179328829661245e-07
1852,4.1862807620418607e-07
1853,4.807405389328778e-07
1854,5.11772952904721e-07
1855,5.561670377574046e-07
1856,5.337682296158164e-07
1857,5.130465865477163e-07
1858,5.211765028434456e-07
1859,5.025975156058848e-07
1860,5.579587423198973e-07
1861,5.880806952518469e-07
1862,5.331223746907199e-07
1863,6.468034143836121e-07
1864,6.985918616919662e-07
1865,6.222448405424075e-07
1866,5.69276721762435e-07
1867,6.565853709616931e-07
1868,5.740133701692685e-07
1869,6.226487130334135e-07
1870,6.181304570418433e-07
1871,8.624396059531136e-07
1872,7.069339744703029e-07
1873,5.950088279860211e-07
1874,6.554146239068359e-07
1875,8.593733582529239e-07
1876,6.33017748441489e-07
1877,5.807542038382962e-07
1878,5.725055984839855e-07
1879,5.907717763875553e-07
1880,6.950527335902734e-07
1881,6.693607019769843e-07
1882,6.535587999678683e-07
1883,7.121894896044978e-07
1884,6.49606988645246e-07
1885,6.355396635626676e-07
1886,7.324681519094156e-07
1887,6.744378993062128e-07
1888,5.744597046941635e-07
1889,6.315257792266493e-07
1890,6.901768756506499e-07
1891,6.552698437189974e-07
1892,6.437762181121798e-07
1893,5.745802695855673e-07
1894,5.948652983533975e-07
1895,6.867239221719501e-07
1896,5.926514177190256e-07
1897,6.421038278858759e-07
1898,7.406786721730896e-07
1899,6.72706278237456e-07
1900,6.275982968872995e-07
1901,7.131230859158677e-07
1902,6.010187689753366e-07
1903,6.960884206819173e-07
1904,6.847272402410454e-07
1905,7.271509616657568e-07
1906,6.342779670376331e-07
1907,7.251409215314197e-07
1908,7.740349019513815e-07
1909,7.096268745954148e-07
1910,6.52520782296051e-07
1911,6.724952754666447e-07
1912,6.147117233012978e-07
1913,5.732532031288429e-07
1914,6.094036848480755e-07
1915,5.619423291136627e-07
1916,6.27384110885032e-07
1917,5.954768198535021e-07
1918,6.524261948470667e-07
1919,5.239265874479315e-07
1920,6.413680466721416e-07
1921,6.118779651842488e-07
1922,5.644120619763271e-07
1923,5.913083214181825e-07
1924,6.806777719248203e-07
1925,7.137817306102079e-07
1926,6.977482485126529e-07
1927,7.592622068841592e-07
1928,7.072719654388493e-07
1929,8.722938105165667e-07
1930,5.871514190403104e-07
1931,7.881101282691816e-07
1932,7.682635327910248e-07
1933,6.641513436989044e-07
1934,7.428579920087941e-07
1935,5.996110417072487e-07
1936,6.789840085730248e-07
1937,7.265074941642524e-07
1938,6.236268177417514e-07
1939,6.056444021851348e-07
1940,4.1840416997729335e-07
1941,4.3682237560460635e-07
1942,4.7333702468677075e-07
1943,4.1806586636994325e-07
1944,4.819779064746399e-07
1945,5.293765070746304e-07
1946,5.638047468892182e-07
1947,9.036020287567226e-07
1948,7.632065148754918e-07
1949,5.860753731212753e-07
1950,6.211051299942483e-07
1951,6.610069362977811e-07
1952,6.485054200311424e-07
1953,6.227272137948603e-07
1954,5.521482648873643e-07
1955,5.969246785753057e-07
1956,5.45943464658194e-07
1957,5.274517320685845e-07
1958,5.285963311507658e-07
1959,7.324456419155467e-07
1960,5.979600246064365e-07
1961,5.725283358515298e-07
1962,4.902332193523762e-07
1963,4.9529967327544e-07
1964,4.885426392320369e-07
1965,4.3831067841892946e-07
1966,4.486650482249388e-07
1967,5.009221126783814e-07
1968,5.335801915862248e-07
1969,5.10039399159723e-07
1970,6.180686682455416e-07
1971,5.169227961232536e-07
1972,4.432446871760476e-07
1973,5.099713575873466e-07
1974,4.860493731939641e-07
1975,3.575386529064417e-07
1976,4.2737181615848385e-07
1977,4.2665436694733216e-07
1978,3.5346519666745735e-07
1979,3.5111838769807946e-07
1980,4.3263997895337525e-07
1981,3.7510508832383493e-07
1982,3.5382763030611386e-07
1983,4.1554778817953775e-07
1984,3.763556435387727e-07
1985,2.9716855465267145e-07
1986,3.6326582630863413e-07
1987,2.829308130003483e-07
1988,2.9742906804131053e-07
1989,4.0557222291681683e-07
1990,3.024001387075259e-07
1991,3.639970032054407e-07
1992,2.865170927179861e-07
1993,3.1462698757422913e-07
1994,4.130267541313515e-07
1995,3.3944542110475595e-07
1996,3.12812204583679e-07
1997,3.140656019695598e-07
1998,2.708297301978746e-07
1999,3.450501822044316e-07
2000,2.730343453549722e-07
2001,3.110660315996938e-07
2002,3.180766725563444e-07
2003,2.58349217574505e-07
2004,2.8190663670102367e-07
2005,2.693242322493461e-07
2006,2.99782385582148e-07
2007,3.0997159683465725e-07
2008,2.980207796099421e-07
2009,3.29958908196204e-07
2010,3.3019313150361995e-07
2011,3.2847918873812887e-07
2012,4.285954275928816e-07
2013,4.825186579182628e-07
2014,4.772641091221885e-07
2015,5.000594001103309e-07
2016,5.675471470567572e-07
2017,3.793541907270992e-07
2018,4.7240840217455116e-07
2019,4.6606547243754903e-07
