year,vos_DET heures_NOUN,vos_DET peurs_NOUN
1800,5.973912431400663e-08,0.0
1801,7.143547975374531e-08,2.3811825844433088e-09
1802,7.832440473976021e-08,0.0
1803,2.925508790774245e-08,1.950339223455444e-09
1804,1.211206934748077e-07,0.0
1805,1.0802935435094696e-07,2.842877711017877e-09
1806,4.610670600868616e-08,0.0
1807,6.26330107778017e-08,0.0
1808,4.7587552121086674e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,0.0
1810,1.8018975822542416e-07,2.3401267590372754e-09
1811,8.774768422981083e-08,0.0
1812,1.0402111882967802e-07,0.0
1813,6.326631307729258e-08,0.0
1814,6.608021863030444e-08,0.0
1815,3.776113022269101e-08,0.0
1816,3.476405652236281e-08,0.0
1817,5.137682246303399e-08,1.556873407970727e-09
1818,3.45714128435759e-08,0.0
1819,3.312336027683216e-08,4.140420006848444e-09
1820,4.9839222526770754e-08,1.1866481131050932e-09
1821,1.0255947635595675e-07,1.97229765852569e-09
1822,1.012587205195814e-07,7.017931125119503e-09
1823,4.941343334508019e-08,9.882686891060644e-10
1824,6.06320114115988e-08,8.421112696055388e-10
1825,5.195211216779683e-08,8.805443041381977e-10
1826,3.7874332003973166e-08,3.5231937367541377e-09
1827,9.40161830054187e-08,5.530363722527909e-09
1828,4.310981671640235e-08,1.834460228167245e-08
1829,3.943660908944935e-08,5.143905634774626e-09
1830,5.948996473215118e-08,0.0
1831,1.0757932500382594e-07,0.0
1832,8.929779782285152e-08,0.0
1833,6.486832138108412e-08,8.108539617524002e-09
1834,8.12104157255078e-08,9.334530925997342e-10
1835,1.0437061348511634e-07,7.563087933704082e-10
1836,8.53535250255888e-08,6.720750067579218e-10
1837,8.140732354888769e-08,0.0
1838,5.8703107042035185e-08,3.1560809521380406e-09
1839,4.754203164480941e-08,2.7965900706306e-09
1840,4.840963518937258e-08,1.9109065441114126e-09
1841,4.879616843922463e-08,0.0
1842,1.2007794669699479e-07,4.024959032733477e-09
1843,9.27385014337645e-08,1.7720733769266417e-09
1844,6.696044613230256e-08,5.488561272137815e-10
1845,8.537749018877605e-08,3.348136878855712e-09
1846,5.737411346018462e-08,5.854501328173001e-10
1847,4.476375803363908e-08,2.1572894581822766e-09
1848,5.47075091339444e-08,0.0
1849,8.211826951765033e-08,2.513824481908955e-09
1850,6.72110589405861e-08,7.467895635215882e-09
1851,6.642922234512127e-08,7.094382858952031e-09
1852,5.9245963246468136e-08,1.3021090872200602e-09
1853,7.226037301855115e-08,0.0
1854,7.585670180887405e-08,5.195664454227256e-10
1855,1.050773583699538e-07,1.0613874223963649e-09
1856,9.991975402634523e-08,5.177189232874468e-10
1857,6.248331591018896e-08,4.881509085841174e-10
