year,travaux_NOUN heureux_ADJ
1800,4.087413785214267e-08
1801,5.476719877606229e-08
1802,2.0140561218795483e-08
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,3.980028751016107e-08
1806,2.881669125542885e-08
1807,4.555128185756985e-08
1808,3.3991110370834576e-08
1809,3.6144488291256494e-08
1810,9.360506680877734e-08
1811,8.774768645025688e-08
1812,2.1337665856435706e-08
1813,3.163315653864629e-08
1814,1.2586708564299443e-08
1815,2.697223555614414e-09
1816,2.0858434979231788e-08
1817,1.5568733857662664e-08
1818,2.98029441125891e-08
1819,4.243930362690662e-08
1820,1.898636980968149e-08
1821,5.423818549843418e-08
1822,3.8097340393505874e-08
1823,1.9765373338032077e-08
1824,1.0947446504872005e-08
1825,2.4655239627691117e-08
1826,1.9377566218281572e-08
1827,1.566936447261469e-08
1828,1.1006761724274838e-08
1829,5.829759786024624e-08
1830,3.339787468803479e-08
1831,1.2472964883158966e-08
1832,9.470978667991403e-09
1833,5.791814139399776e-09
1834,9.334531370086552e-09
1835,6.806779140333674e-09
1836,9.409050427677812e-09
1837,5.5663127440652715e-09
1838,1.3255539776935166e-08
1839,1.11863602825224e-08
1840,1.46502836528839e-08
1841,2.5682194149112547e-09
1842,2.683306021822318e-09
1843,5.906910960362666e-09
1844,1.811225303072206e-08
1845,6.696273757711424e-09
1846,6.439951683034906e-09
1847,2.6966118227278457e-09
1848,8.04522137798358e-09
1849,0.0
1850,8.146795238417326e-09
1851,3.8696632564949596e-09
1852,1.2370036550635177e-08
1853,6.569124799682413e-09
1854,9.871762074453727e-09
1855,2.1227748447927297e-09
1856,4.141751386299575e-09
1857,3.4170564155999728e-09
1858,5.3830437884982985e-09
1859,7.638259802433822e-09
1860,1.4189270203246451e-08
1861,1.3676294763342867e-08
1862,9.487771457372673e-09
1863,1.048870412745373e-08
1864,6.233146443435089e-09
1865,3.294791106611683e-09
1866,1.0704348518686402e-08
1867,7.279217228983725e-09
1868,3.951899252285784e-09
1869,3.906815315701806e-09
1870,1.548193218070537e-08
1871,7.434824311758348e-09
1872,7.256807155187062e-09
1873,5.986004469882289e-10
1874,2.9873046258899194e-09
1875,3.432916173551348e-09
1876,1.209202959984168e-08
1877,1.5462040536817767e-08
1878,5.435179861734696e-09
1879,6.720257683667796e-09
1880,1.2193908105473383e-08
1881,8.367009307619355e-09
1882,1.1314154946262533e-08
1883,6.319338941018771e-10
1884,1.9805090900604227e-09
1885,5.80107206715752e-09
1886,5.808117542471791e-09
1887,6.528924623161458e-10
1888,8.876860135842435e-09
1889,9.397704836544563e-09
1890,1.9663159989136147e-09
1891,3.824531802365527e-09
1892,5.641661360300532e-09
1893,6.774258043407144e-09
1894,4.411077725308132e-09
1895,4.213029924926559e-09
1896,1.179405795248556e-09
1897,4.661370844871726e-09
1898,3.960848538042683e-09
1899,0.0
1900,3.114631885736685e-09
1901,5.588738916095792e-10
1902,1.9641135384773634e-09
1903,0.0
1904,5.374625189347171e-10
1905,3.096455536422127e-09
1906,1.5432553013283723e-09
1907,1.028568674676933e-09
1908,2.4556945366072114e-09
1909,1.6502950117569526e-09
1910,4.275320542035388e-09
1911,2.6601871816467337e-09
1912,6.251305251225858e-09
1913,2.6514948014977335e-09
1914,0.0
1915,0.0
1916,0.0
1917,1.0966424435210342e-09
1918,3.44591288836682e-09
1919,6.4454939163738345e-09
1920,5.300562211374427e-09
1921,2.2718242842501013e-09
1922,0.0
1923,2.1231896241147297e-09
1924,1.289162443462999e-09
1925,0.0
1926,1.1146138456652466e-09
1927,3.3447675740205796e-09
