year,auras_VERB assez_ADV,auras_VERB passé_VERB
1800,0.0,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,7.801356893821776e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469550272802735e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,4.518061036407062e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,2.070210003424222e-09
1820,0.0,5.933240565525466e-09
1821,0.0,1.4792232327920374e-08
1822,0.0,1.0025615893027862e-08
1823,9.882686891060644e-10,5.929612356680991e-09
1824,0.0,6.736890156844311e-09
1825,8.805443041381977e-10,1.0566531649658373e-08
1826,1.145037931138404e-08,2.642395191543301e-09
1827,0.0,0.0
1828,0.0,6.420610709767516e-09
1829,0.0,0.0
1830,1.0436835840010872e-09,7.305785310052215e-09
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,0.0,0.0
1834,0.0,8.401078055442213e-09
1835,0.0,9.832014313815307e-09
1836,0.0,4.704525213838906e-09
1837,4.174734336004349e-09,0.0
1838,0.0,8.837027110075724e-09
1839,6.9914751765765e-10,2.0974426639952526e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,1.341653010911159e-09
1843,1.1813822142769936e-09,6.497602011990011e-09
1844,1.097712254427563e-09,7.683985892015244e-09
1845,5.580227946389016e-10,6.696273757711424e-09
1846,0.0,1.1709002656346001e-09
1847,0.0,7.011190739092399e-09
1848,0.0,0.0
1849,0.0,3.3517659758786067e-09
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,1.9348316282474798e-09,5.8044946626978344e-09
1852,6.510545436100301e-10,4.557382027314816e-09
1853,0.0,4.777545470346922e-09
1854,0.0,3.117398783558656e-09
1855,7.429711956774554e-09,5.306937111981824e-09
1856,1.0354378465748937e-09,3.6240324075009767e-09
1857,4.881509085841174e-10,5.857811125054013e-09
1858,9.787352039936081e-10,9.297984604472731e-09
1859,2.036869339860914e-09,9.165912473463322e-09
1860,5.950338888283113e-09,9.15436793036406e-09
1861,9.431927461278633e-10,1.2733101684148096e-08
1862,0.0,1.8071945051545413e-09
1863,0.0,4.495158911765884e-09
1864,3.3563094525845827e-09,5.753673537611803e-09
1865,0.0,1.6473954644879996e-08
1866,2.919367858567057e-09,8.75810357570117e-09
1867,4.367530337390235e-09,6.79393608038481e-09
1868,2.9639244392143382e-09,9.385760613156435e-09
1869,9.767038289254515e-10,1.0255390314739543e-08
1870,1.7202146374017957e-09,5.734048791339319e-09
