year,effets_NOUN heureux_ADJ
1800,1.477757365364596e-07
1801,1.0715321474563666e-07
1802,1.5664880947952042e-07
1803,9.55666195068261e-08
1804,1.1123329102247226e-07
1805,1.0802935435094696e-07
1806,2.2477019623323713e-07
1807,6.263301344233696e-08
1808,1.246340701754889e-07
1809,1.5135503872443223e-07
1810,2.457133234656794e-07
1811,1.1031137603367824e-07
1812,1.0135391192989118e-07
1813,1.121539270343419e-07
1814,1.6362720600682223e-07
1815,9.710004511553905e-08
1816,1.5296186006708012e-07
1817,7.317304806520042e-08
1818,2.0862060035042873e-07
1819,9.108924103884419e-08
1820,9.374520004712394e-08
1821,9.861488492468595e-08
1822,1.1729970594842598e-07
1823,3.9530746676064155e-08
1824,1.288430269141827e-07
1825,1.3472328230790254e-07
1826,9.160303449107232e-08
1827,8.664236617050847e-08
1828,4.861319524707142e-08
1829,3.2578069852906566e-08
1830,7.723258477199124e-08
1831,6.548306430431694e-08
1832,8.659180394943178e-08
1833,7.645194699534841e-08
1834,7.841006066655609e-08
1835,4.159698363537245e-08
1836,5.77984518024266e-08
1837,5.079260545493014e-08
1838,4.481634974240478e-08
1839,5.942753844578874e-08
1840,6.178597677930497e-08
1841,8.025685893642276e-08
1842,6.50701701410128e-08
1843,5.965980198752163e-08
1844,7.025358428336403e-08
1845,8.258737338451283e-08
1846,7.31812663801179e-08
1847,6.633665350364026e-08
1848,4.666228597960398e-08
1849,2.6814127807028854e-08
1850,4.480737203493845e-08
1851,4.901573547044791e-08
1852,4.687592536356533e-08
1853,5.01642283268211e-08
1854,5.819144188734526e-08
1855,5.1477289986223695e-08
1856,4.2970672353703776e-08
1857,3.417056504417815e-08
1858,6.068158597827278e-08
1859,7.281808223069675e-08
1860,5.309533274155953e-08
1861,4.2443673464731546e-08
1862,6.234821059436513e-08
1863,4.4452125536054155e-08
1864,8.390774008937285e-08
1865,6.636650301539149e-08
1866,5.5954547661940524e-08
1867,6.59982344330956e-08
1868,3.507310708528166e-08
1869,4.932354258357918e-08
1870,4.9886223152384446e-08
1871,2.7615061348740255e-08
1872,4.1726641586414814e-08
1873,5.566984029314881e-08
1874,4.719941060216115e-08
1875,6.636971505713518e-08
1876,3.3857681103199866e-08
1877,5.4426380180494505e-08
1878,4.9520526346213956e-08
1879,3.29903571127943e-08
1880,6.353667680869535e-08
1881,4.741305303923582e-08
1882,7.387477296560974e-08
1883,4.865891156669022e-08
1884,5.809493330843907e-08
1885,5.4787903991382336e-08
1886,4.969167122226281e-08
1887,4.570247114088488e-08
1888,3.4873380627686856e-08
1889,7.267558288504006e-08
1890,7.078737651600164e-08
1891,6.182993672609882e-08
1892,5.32823549725947e-08
1893,6.8358424809567e-08
1894,4.537108155844294e-08
1895,8.305688226073471e-08
1896,8.550692320863362e-08
1897,8.390467842733784e-08
1898,7.412445057752848e-08
1899,9.949641111006713e-08
1900,6.904100458005047e-08
1901,5.979950401524547e-08
1902,6.13785502423525e-08
1903,6.804277319361063e-08
1904,7.309490257512152e-08
1905,6.967025001358707e-08
1906,9.413857782192281e-08
1907,1.2239966906690825e-07
1908,1.0363030589211064e-07
1909,1.3092341077935998e-07
1910,1.1169275093703135e-07
1911,1.1066378546864541e-07
1912,1.0054182614238627e-07
1913,1.1401427602031333e-07
1914,1.2054138665007486e-07
1915,6.125996021566493e-08
1916,1.2525706227783928e-07
1917,1.0089110491495745e-07
1918,7.121553302624761e-08
1919,1.1693967355563828e-07
1920,9.995346061941746e-08
1921,9.541661682987979e-08
1922,1.0919344362037009e-07
1923,1.0722107912641832e-07
1924,7.86389122708897e-08
1925,1.110815999183501e-07
1926,9.808601897365321e-08
1927,1.036877917970358e-07
1928,1.0740478728621383e-07
1929,1.2922870951115328e-07
1930,1.3234540685580498e-07
1931,1.1177249348293117e-07
1932,1.1836299762535418e-07
1933,1.1011836020813348e-07
1934,1.2460843379358266e-07
1935,8.617164581892212e-08
1936,1.1639725672196732e-07
1937,1.5361163718807802e-07
1938,1.0761127811065307e-07
1939,1.0858775745248295e-07
1940,9.889553354014424e-08
1941,3.836953510472085e-08
1942,8.49579275818968e-08
1943,8.419382169222445e-08
1944,8.675602458652065e-08
1945,7.62476446425353e-08
1946,1.2946627325760574e-07
1947,1.251691470471883e-07
1948,1.3481140270776848e-07
1949,1.5412703724404508e-07
1950,1.201795782890258e-07
1951,9.275419188270462e-08
1952,9.912115872534599e-08
1953,1.49756204881335e-07
1954,1.1433867541654763e-07
1955,1.3421418998404988e-07
1956,1.491315171353591e-07
1957,1.0336994266113564e-07
1958,1.04230267083949e-07
1959,1.2013659045351233e-07
1960,9.343124829364058e-08
1961,5.83645380913822e-08
1962,9.25925661698912e-08
1963,7.62994289971175e-08
1964,9.30847130486967e-08
1965,9.19303317914455e-08
1966,6.42532679284713e-08
1967,9.564851172205735e-08
1968,6.73712409193783e-08
1969,8.720175201371028e-08
1970,8.507641027777346e-08
1971,5.5494691508783944e-08
1972,6.310080635785198e-08
1973,6.615844228008427e-08
1974,7.707033150561315e-08
1975,4.968987710185502e-08
1976,5.88493271891366e-08
1977,6.111853423362845e-08
1978,4.514849294423584e-08
1979,4.915657503268278e-08
1980,4.8323780754699897e-08
1981,5.313461737266323e-08
1982,5.028076677238147e-08
1983,4.16810870262907e-08
1984,4.929157171318366e-08
1985,4.752291005161169e-08
1986,5.3350920126149504e-08
1987,4.5831125561335284e-08
1988,4.9171742178000244e-08
1989,4.994191304952267e-08
1990,4.5768668077705854e-08
1991,4.747786724879077e-08
1992,3.8569610227856543e-08
1993,3.655877023334142e-08
1994,5.327675722810454e-08
1995,2.982347879765257e-08
1996,3.84342655479486e-08
1997,3.212579358091716e-08
1998,4.005228504411207e-08
1999,3.107736645802106e-08
2000,3.755326716259333e-08
2001,2.9792239786274877e-08
2002,3.023042793870445e-08
2003,3.500215228768866e-08
2004,2.2464435645019876e-08
2005,2.8373621674404603e-08
2006,2.3471972809829822e-08
2007,2.6363563776499177e-08
2008,1.575252639440805e-08
2009,1.6211854969583328e-08
2010,1.9367551118421034e-08
2011,2.370862617340208e-08
2012,1.6680838044180746e-08
2013,1.6455837581474952e-08
2014,2.2087540685333806e-08
2015,1.219116452233493e-08
2016,2.195620396605591e-08
2017,1.3332739939864169e-08
2018,1.1874746519424662e-08
2019,1.1479444950168727e-08
