year,premiers_ADJ airs_NOUN,premiers_ADJ pères_NOUN
1800,9.432493897065797e-09,2.3895650258509704e-07
1801,0.0,2.4764298700574727e-07
1802,2.9091921760482364e-08,4.7665994884482643e-07
1803,3.510610468993036e-08,4.0567054426787763e-07
1804,5.19088700912107e-08,6.179627476399219e-07
1805,2.842877755426798e-08,2.0440290882106638e-06
1806,7.492339904047185e-08,5.849788209388862e-07
1807,5.693910232196231e-09,4.128084896137807e-07
1808,9.064295980465431e-09,9.721457487898988e-07
1809,1.3554183553310395e-08,6.234924114778551e-07
1810,2.106114038724627e-08,4.142024252473675e-07
1811,2.2563691359778204e-08,4.2620304796514574e-07
1812,5.3344164641089264e-09,3.8941239921541637e-07
1813,3.163315653864629e-08,3.68094937641672e-07
1814,2.5173417128598885e-08,4.562681823472303e-07
1815,2.697223555614414e-09,2.939973740012647e-07
1816,3.0128852301913867e-08,6.721051306612935e-07
1817,6.227493631882908e-09,4.888582481044068e-07
1818,2.1458118837358597e-08,5.328766334855572e-07
1819,1.5526575580793178e-08,6.842044086852184e-07
1820,9.493184904840746e-09,4.0227371300716186e-07
1821,1.2819934447350079e-08,4.980051642178296e-07
1822,1.2030739071633434e-08,4.70201371172152e-07
1823,2.075364236020505e-08,3.9135439067194966e-07
1824,2.6105450245950124e-08,5.684251007664898e-07
1825,1.1447076175841175e-08,4.182585513490267e-07
1826,2.6423952803611428e-08,3.4879617061278623e-07
1827,1.2904182611350734e-08,6.977475663916266e-07
1828,8.255071293206129e-09,3.8798833656983334e-07
1829,2.2290258527846163e-08,5.289649607220781e-07
1830,2.0873670791843324e-08,5.437591426016297e-07
1831,9.354723218280014e-09,6.875721965116099e-07
1832,6.764984572527055e-09,4.275470217862676e-07
1833,1.2741991461950875e-08,4.702953191326742e-07
1834,8.401078055442213e-09,5.031312255709963e-07
1835,1.8907719834260206e-08,6.33030445840177e-07
1836,9.409050427677812e-09,5.47741137779667e-07
1837,4.174734336004349e-09,3.7363875549090153e-07
1838,2.5248647617104325e-08,5.245406669018848e-07
1839,1.2584655095793096e-08,4.16691911198086e-07
1840,1.0191501864653674e-08,5.643544298550296e-07
1841,1.2841097074556274e-08,5.765652559830414e-07
1842,8.049918065466954e-09,5.051323626048543e-07
1843,8.860366662588604e-09,7.614008552536689e-07
1844,9.330554107123135e-09,6.564319363633331e-07
1845,1.1160455892778032e-09,6.121510125467466e-07
1846,1.1709002656346001e-09,5.760829253631528e-07
1847,7.011190739092399e-09,3.931660046418983e-07
1848,1.6090443422100975e-09,4.979992382914133e-07
1849,2.011059585527164e-08,3.5863895675447566e-07
1850,3.394498016007219e-09,3.822204632797366e-07
1851,6.449438760824933e-10,4.2695283752891555e-07
1852,1.2370036550635177e-08,5.579537400990375e-07
1853,7.763511611358354e-09,5.715138939876852e-07
1854,1.2469595134234623e-08,6.084123072014336e-07
1855,1.4328730202350926e-08,5.954383368589333e-07
1856,6.212626857404757e-09,5.068468169611151e-07
1857,1.9526036343364694e-09,4.993783733198143e-07
1858,8.808616946964776e-09,5.153040945060638e-07
