year,serions_VERB heureux_ADJ
1800,1.2262241000371432e-07
1801,1.1191558257905854e-07
1802,7.384872446891677e-08
1803,9.166594594489652e-08
1804,8.898663139689234e-08
1805,8.812921237222326e-08
1806,6.051504897186533e-08
1807,6.263301344233696e-08
1808,7.251436784372345e-08
1809,9.713831161661801e-08
1810,1.263668423234776e-07
1811,1.0780430415024966e-07
1812,2.6672083208723052e-08
1813,9.489947672136623e-08
1814,5.349351184236184e-08
1815,9.440282155992463e-08
1816,9.502176112619054e-08
1817,1.1365175822675155e-07
1818,9.775365583664097e-08
1819,1.2421260464634543e-07
1820,8.781196214613374e-08
1821,1.3214393845828454e-07
1822,9.323822780515911e-08
1823,1.1661570198384652e-07
1824,1.0863235644364977e-07
1825,8.189061873054015e-08
1826,7.48678701256722e-08
1827,1.1613764172579977e-07
1828,9.814362300630819e-08
1829,9.087566610332942e-08
1830,1.315041373572967e-07
1831,1.6214853815199604e-07
1832,1.4071167697693454e-07
1833,1.9923841421132238e-07
1834,1.698884659617761e-07
1835,1.686568680270284e-07
1836,1.8616478314470442e-07
1837,1.5307360001770576e-07
1838,1.1551256307029689e-07
1839,2.0345193263437977e-07
1840,1.3440043744594732e-07
1841,2.4462289616167254e-07
1842,2.0929786614942714e-07
1843,2.3745782584683184e-07
1844,2.5412037985006464e-07
1845,2.4162386580428574e-07
1846,2.5818351900852576e-07
1847,2.2543675015640474e-07
1848,3.2422244089502783e-07
1849,2.8825186859648966e-07
1850,2.6409193765175587e-07
1851,2.1928092053258297e-07
1852,2.75396075721801e-07
1853,3.069573040193063e-07
1854,2.8783981065316766e-07
1855,3.1682415624345595e-07
1856,3.551551799318986e-07
1857,2.9289054737091647e-07
1858,3.440254374709184e-07
1859,3.966802921695489e-07
1860,3.4191563713648065e-07
1861,3.8529424273292534e-07
1862,3.858360173580877e-07
1863,4.445212482551142e-07
1864,4.38717620454554e-07
1865,3.690165897296538e-07
1866,4.5639450263479375e-07
1867,3.7124007690181315e-07
1868,4.1890132251865e-07
1869,3.9849516042522737e-07
1870,3.3200143434442e-07
1871,4.089153264885681e-07
1872,4.402463105179777e-07
1873,3.813084958892432e-07
1874,3.2083650580716494e-07
1875,4.102334969502408e-07
1876,3.8331734231178416e-07
1877,3.574823779217695e-07
1878,3.8831339566058887e-07
1879,4.2154343304900976e-07
1880,4.0817502622303437e-07
1881,3.8627692333648156e-07
1882,3.5739418535740697e-07
1883,4.4740920657204697e-07
1884,3.848789447147283e-07
1885,3.893163977863878e-07
1886,3.8204507291084155e-07
1887,3.577850691272033e-07
1888,3.690237804221397e-07
1889,3.715226171152608e-07
1890,3.55903182480688e-07
1891,3.3910851016116794e-07
1892,3.905283278982097e-07
1893,3.54108948386056e-07
1894,3.736812743682094e-07
1895,3.4968149975611595e-07
1896,3.514629156597948e-07
1897,3.851457677228609e-07
1898,4.5945841975481017e-07
1899,4.383369685001526e-07
1900,4.126887347410957e-07
1901,4.5548222260549664e-07
1902,3.442108891249518e-07
1903,3.969161923578213e-07
1904,4.224455381063308e-07
1905,3.7363895444286754e-07
1906,3.8632825294371287e-07
1907,4.109131737095595e-07
1908,3.9389340145135066e-07
1909,3.6251481105864514e-07
1910,4.120340122426569e-07
1911,3.5646507967612706e-07
1912,3.474683865078987e-07
1913,3.8022434978302044e-07
1914,3.82384058639218e-07
1915,3.769843885947921e-07
1916,3.6698122585221427e-07
1917,3.2679943728908256e-07
1918,3.549290283899609e-07
1919,3.4069037724293594e-07
1920,3.331782068016764e-07
1921,3.521327585076506e-07
1922,3.297937212209945e-07
1923,3.4607990073709516e-07
1924,3.0553150054402067e-07
1925,2.9035189186288335e-07
1926,3.143211131373391e-07
1927,3.378215183147404e-07
1928,2.8336583568489004e-07
1929,3.609491727729619e-07
