year,aux_ADP hommes_NOUN,aux_ADP pommes_NOUN
1800,1.977050669665914e-05,5.40796318837522e-07
1801,1.9242335838498548e-05,4.857612456721228e-07
1802,2.065973967546597e-05,2.1483265300048515e-07
1803,1.7359969206154346e-05,1.3067273130218382e-07
1804,2.1552068574237637e-05,3.8313689421087815e-07
1805,1.889376471808646e-05,4.6623193084016634e-07
1806,1.6180572856683284e-05,3.1986528359340127e-07
1807,1.7648275388637558e-05,1.6797034518845066e-07
1808,1.5697094568167813e-05,3.965629389313108e-07
1809,1.5223607078951318e-05,5.670166842719482e-07
1810,1.9738969058380462e-05,4.656852152784552e-07
1811,1.3375254638958722e-05,3.8107566524558933e-07
1812,1.3448064237309154e-05,3.5740590220711965e-07
1813,1.463464923290303e-05,3.0770434489291176e-07
1814,1.6944855815381743e-05,2.1082736267885593e-07
1815,1.7453734471928328e-05,2.5353901889069164e-07
1816,2.10276193683967e-05,3.661814034217059e-07
1817,2.146305632777512e-05,2.8646470706661376e-07
1818,2.3359547412837856e-05,1.4066989706407185e-07
1819,2.2739186533726752e-05,1.2938812599117e-07
1820,2.327847687411122e-05,2.2071655259026102e-07
1821,2.4629067411297e-05,2.100496954149378e-07
1822,2.0738989405799657e-05,1.8447133243171265e-07
1823,1.8546837964095175e-05,1.5812298759243504e-07
1824,1.8209813788416795e-05,2.3747538158147563e-07
1825,1.947235614352394e-05,1.558563464953977e-07
1826,1.8491482478566468e-05,1.9113326032993427e-07
1827,1.7875057892524637e-05,1.742064563714507e-07
1828,1.7230167941306718e-05,1.6418419035435505e-07
1829,1.7946229490917176e-05,2.263318457096375e-07
1830,1.814026472857222e-05,1.9516882732162344e-07
1831,2.104033228533808e-05,3.866619182613107e-07
1832,1.7139765986939892e-05,2.2189150383766787e-07
1833,1.8765478671411984e-05,2.0618858176391086e-07
1834,2.068158755719196e-05,2.9217081198851247e-07
1835,1.9442430129856803e-05,1.7621994174987776e-07
1836,2.1712727175327018e-05,1.3374291962797713e-07
1837,1.8519122022553347e-05,2.0038726311621957e-07
1838,1.8282546079717577e-05,1.4644215085013457e-07
1839,1.720951695460826e-05,2.2302806557128463e-07
1840,1.927276753121987e-05,1.898167236724646e-07
1841,1.8356347936787643e-05,2.0096316211137832e-07
1842,1.9408353182370774e-05,1.945396879143857e-07
1843,2.4443388610961847e-05,2.5635994138628604e-07
1844,2.0980574845452793e-05,2.590600836072099e-07
1845,2.036448313447181e-05,2.9463604500623575e-07
1846,2.0007757484563626e-05,3.290229779739917e-07
1847,1.8733362594502978e-05,1.7204383340185814e-07
1848,2.0034211047459394e-05,2.848008472944308e-07
1849,1.761688145052176e-05,2.06133602631553e-07
1850,1.7728105376590975e-05,1.6768820021439979e-07
1851,1.8753033145912923e-05,2.5088316135679634e-07
1852,1.9163790057064034e-05,1.979205743740664e-07
1853,1.8827709936886095e-05,2.1379515802166793e-07
1854,1.9094066374236718e-05,2.0003308476290727e-07
1855,1.9237117157899775e-05,1.9476459200973295e-07
1856,1.8587144950288348e-05,2.13300200391231e-07
1857,1.803912891773507e-05,1.6450685014213207e-07
1858,1.790987516869791e-05,1.7421487186197737e-07
1859,1.766882269294001e-05,2.0063162797789857e-07
1860,1.7092577763833106e-05,2.1192361732147447e-07
1861,1.8242290025227703e-05,2.18349125002959e-07
1862,1.6761277947807685e-05,1.9517700988735953e-07
1863,1.8614951841300353e-05,2.3324879894204287e-07
1864,1.7946187654160894e-05,2.3685955508057077e-07
1865,1.806392720027361e-05,1.7838940014058835e-07
1866,1.7353695511701517e-05,2.1360041380091843e-07
1867,1.5055848052725196e-05,2.0236223718939073e-07
1868,1.6238354874076322e-05,2.4501775564012007e-07
1869,1.6566362319281325e-05,2.138981436416998e-07
1870,1.677610634942539e-05,2.293619489890375e-07
1871,1.6650819816277362e-05,2.719021461317084e-07
1872,1.6211706679314375e-05,2.019811374820435e-07
1873,1.427003644494107e-05,2.7475761077422334e-07
