year,des_DET hommes_NOUN,des_DET pommes_NOUN
1800,5.787778013655043e-05,2.807738818333405e-06
1801,5.5233912462426815e-05,5.026676591413093e-06
1802,5.159116767572414e-05,1.8663587013634242e-06
1803,5.082974121251027e-05,2.4359737267332093e-06
1804,5.977182672722847e-05,2.716564109217501e-06
1805,4.697002486864221e-05,1.9217853468589396e-06
1806,4.101479726159596e-05,2.190068635776754e-06
1807,4.452637813301408e-05,1.4633349678661034e-06
1808,4.216030743009469e-05,2.3748454509586736e-06
1809,4.033950904158701e-05,3.28463040943916e-06
1810,4.281261976757378e-05,2.071012133342265e-06
1811,3.4186497259725e-05,1.8527297100945361e-06
1812,3.83011117719434e-05,1.7496886499657194e-06
1813,3.91963596939604e-05,2.0331492454062072e-06
1814,5.54507460037712e-05,1.3688045821247385e-06
1815,5.571115434577223e-05,1.7289202975945273e-06
1816,5.168720031178964e-05,1.728932446098952e-06
1817,5.772886493105034e-05,1.5039396906724178e-06
1818,6.590503539882775e-05,1.4734574964592184e-06
1819,6.060436408006353e-05,9.823146411847006e-07
1820,6.283182960942213e-05,1.0656100384309752e-06
1821,6.16707882272749e-05,1.1212512678326902e-06
1822,5.406914920058625e-05,1.0677280926074673e-06
1823,4.9683233328323695e-05,1.4497901364984855e-06
1824,5.342522354112589e-05,1.2505351891789473e-06
1825,5.322361948856269e-05,1.194018082628645e-06
1826,5.067321603746677e-05,1.150322811227511e-06
1827,5.238821586317499e-05,1.0065262063818636e-06
1828,5.289482851367211e-05,1.2767843777794496e-06
1829,5.2353813089212053e-05,1.5080217234952897e-06
1830,5.210277345213399e-05,1.4121039342285258e-06
1831,5.8937877611242584e-05,2.1094902642460056e-06
1832,5.2247329676902154e-05,2.240562956501435e-06
1833,5.450560615827271e-05,2.392019258223854e-06
1834,5.6491645864298334e-05,2.0433288128174354e-06
1835,5.26784201611008e-05,1.4861468216054163e-06
1836,5.049433877957199e-05,1.3690167524060826e-06
1837,5.004393347007863e-05,1.2969508595972457e-06
1838,4.644930413633119e-05,1.1324018336367203e-06
1839,4.51376635055567e-05,1.2934229438599232e-06
1840,5.661060845341126e-05,1.2631092864978655e-06
1841,4.814576846001728e-05,1.2725527156476346e-06
1842,5.0424685468897223e-05,1.0813723569924605e-06
1843,5.411025836110639e-05,1.3698126331007643e-06
1844,5.3051334361953195e-05,1.260722494400568e-06
1845,5.1499367373253335e-05,1.6433771250490281e-06
1846,4.8889770596360904e-05,1.7809393089152081e-06
1847,5.3135659072722774e-05,1.2981488826113718e-06
1848,5.1414600193311344e-05,1.5173288083758507e-06
1849,5.0211130883326405e-05,1.2300980749557766e-06
1850,4.664379537189234e-05,1.583193885323908e-06
1851,4.726729332560353e-05,1.567858614492934e-06
1852,4.415712260197324e-05,1.442736909496034e-06
1853,4.404001094826526e-05,1.4368467908809635e-06
1854,4.420471259436454e-05,1.2012376444658912e-06
1855,4.170987267571036e-05,1.5384810581053898e-06
1856,4.333359333941189e-05,1.3890398591343e-06
1857,4.216159322822932e-05,1.345343868308646e-06
1858,4.261070648681198e-05,1.2302701826172324e-06
1859,4.385583213206701e-05,1.0668103413991048e-06
1860,4.447695346243563e-05,1.1278180682694483e-06
1861,4.7894385033941944e-05,1.3162254255405514e-06
1862,4.459478282115015e-05,1.1828088073428944e-06
1863,4.5037495056021726e-05,1.2756261273949576e-06
1864,4.575033699438791e-05,1.147857895844595e-06
