year,deux_DET heureux_ADJ
1800,4.7162465932615305e-08
1801,6.429193177837078e-08
1802,2.9091921760482364e-08
1803,4.6808139586573816e-08
1804,4.69651695311768e-08
1805,3.695740957709859e-08
1806,4.034336686942197e-08
1807,8.540865792383556e-09
1808,2.4926814390369145e-08
1809,1.581321384946932e-08
1810,3.2761775514700275e-08
1811,2.2563691359778204e-08
1812,6.668020446909395e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,2.966945977789237e-08
1816,1.1588019432906549e-08
1817,4.0478710161551135e-08
1818,6.795070817133819e-08
1819,3.415846450138815e-08
1820,2.7292905713238724e-08
1821,5.029358973729359e-08
1822,3.308453244699194e-08
1823,1.7788837070042973e-08
1824,2.7789671008804362e-08
1825,2.201360693732113e-08
1826,4.580151724553616e-08
1827,2.1199728195142598e-08
1828,1.834460228167245e-08
1829,1.800366966620004e-08
1830,1.0436835395921662e-08
1831,3.4300654760954785e-08
1832,3.788391467196561e-08
1833,2.20088942626262e-08
1834,2.987049962932531e-08
1835,2.2689263801112247e-08
1836,7.392825018825988e-09
1837,1.1132625488130543e-08
1838,2.019891809368346e-08
1839,5.8029243632518046e-08
1840,9.554533164646273e-09
1841,2.5682194149112547e-08
1842,6.037438549100216e-09
1843,1.4176586182745865e-08
1844,1.0977122322231025e-08
1845,1.6182660544927785e-08
1846,2.1661654026061683e-08
1847,2.6426795862732888e-08
1848,3.218088684420195e-09
1849,7.54147322368226e-09
1850,8.146795238417326e-09
1851,9.674158363282004e-09
1852,1.5625309046640723e-08
1853,7.166318205520383e-09
1854,1.1430461910322265e-08
1855,3.343370380548549e-08
1856,1.7602443946884705e-08
1857,1.8549734193129552e-08
1858,3.670256892851498e-08
1859,1.7313389610862373e-08
1860,1.785101666484934e-08
1861,3.348334082220461e-08
1862,3.11741069625171e-08
1863,1.897955925755923e-08
1864,1.5343129433631475e-08
1865,2.447559133145205e-08
1866,3.503241430280468e-08
1867,1.358787216076962e-08
1868,1.0867722721741302e-08
1869,2.8812763730456936e-08
1870,2.0069171213776826e-08
1871,1.274541272522356e-08
1872,2.6003558417642125e-08
1873,2.21482157058972e-08
1874,5.436894312538243e-08
1875,3.718992758194872e-08
1876,2.9625471853478302e-08
1877,4.886004489890183e-08
1878,4.589707458535486e-08
1879,2.871382953628654e-08
1880,2.1178893305773272e-08
1881,3.2770785196589713e-08
1882,4.3260003357303844e-08
1883,1.8958017378167824e-08
1884,2.8387296957532726e-08
1885,3.287274097374393e-08
1886,9.034849701716752e-09
1887,2.6115698048556624e-08
1888,2.282621380800265e-08
1889,2.1301465480405568e-08
1890,3.0150179242127706e-08
1891,1.7210394887001712e-08
1892,2.1312942521944933e-08
1893,1.6627724974682678e-08
1894,9.452309379653911e-09
1895,5.416753268150387e-09
1896,2.181900704556483e-08
1897,9.905413378419325e-09
1898,1.3580052082851068e-08
1899,2.3215829259015663e-08
1900,1.4534948911126833e-08
1901,1.397184767881754e-08
1902,1.2766737722547106e-08
1903,1.0260418292773466e-08
1904,4.299700151477737e-09
1905,1.8062657147766004e-08
1906,1.9547900798055906e-08
