year,seriez_VERB à_ADP,seriez_VERB a_ADP,seriez_VERB pas_ADV
1800,4.4018303668735825e-08,0.0,3.961647223604814e-07
1801,1.4048977448055666e-07,0.0,6.572063853127474e-07
1802,2.9091921760482364e-08,0.0,4.744221087094047e-07
1803,4.8758479920252285e-08,0.0,4.5052834707348666e-07
1804,4.449331569844617e-08,0.0,7.563863846371532e-07
1805,1.9900143755080535e-08,0.0,7.220909310490242e-07
1806,9.509508203109363e-08,0.0,9.42305803164345e-07
1807,4.27043254092041e-08,0.0,6.120953344179725e-07
1808,6.798222074166915e-08,0.0,3.671039792152442e-07
1809,6.09938268780752e-08,0.0,4.4502900209408836e-07
1810,5.148278958699848e-08,2.3401267590372754e-09,8.798876365290198e-07
1811,3.008491944456182e-08,0.0,4.5879505705670454e-07
1812,6.934741492159446e-08,0.0,4.40089365838503e-07
1813,2.300593315851529e-08,0.0,4.4286420575190277e-07
1814,4.090680150170556e-08,0.0,3.492811515570793e-07
1815,3.506390555685357e-08,0.0,5.879947480025294e-07
1816,2.3176038865813098e-08,0.0,4.449799462236115e-07
1817,6.538868291272593e-08,0.0,5.573606927100627e-07
1818,8.464036227451288e-08,0.0,6.520883744087769e-07
1819,4.7614829412623294e-08,0.0,5.227280439612514e-07
1820,9.137190204455692e-08,0.0,7.167354851844721e-07
1821,7.987805616949117e-08,0.0,9.289522040489828e-07
1822,8.72228582693424e-08,0.0,5.644421889883233e-07
1823,8.696764552951208e-08,0.0,7.33295394184097e-07
1824,6.989523626543814e-08,8.421112696055388e-10,6.063200999051332e-07
1825,8.893497494000258e-08,0.0,5.890841521249968e-07
1826,6.429828403042848e-08,8.807984341885344e-10,5.813269581267377e-07
1827,4.7929820112813104e-08,0.0,4.940458211422083e-07
1828,5.6868266540277546e-08,9.172301251858528e-10,5.989512601445313e-07
1829,2.5719527840806222e-08,0.0,4.5266369852470234e-07
1830,5.218418053232199e-08,0.0,4.853128530157846e-07
1831,3.4300654760954785e-08,0.0,5.831111025145219e-07
1832,5.141388470519814e-08,2.705993873419743e-09,5.100798716739519e-07
1833,6.255159235024621e-08,3.4750886612755494e-09,5.004127388019697e-07
1834,8.961149688957448e-08,0.0,5.414028123595926e-07
1835,1.1722786297241328e-07,0.0,5.982402626614203e-07
1836,7.19120265557649e-08,6.720750067579218e-10,5.578222612712125e-07
1837,7.862416850912268e-08,6.957890930081589e-10,5.086218379801721e-07
1838,6.059675428105038e-08,0.0,4.784618568010046e-07
1839,5.942753844578874e-08,0.0,5.173691874915676e-07
1840,8.981260890550402e-08,1.9109065441114126e-09,4.1657764882074844e-07
1841,9.823439484080154e-08,2.5682194149112547e-09,3.948637470330141e-07
1842,5.836190553054621e-08,0.0,5.500777433553594e-07
1843,5.1390127708828004e-08,5.906911071384968e-10,4.7255289814529533e-07
1844,6.256959750317037e-08,0.0,5.81238623453828e-07
1845,7.14269177137794e-08,1.1160455892778032e-09,4.581367250011681e-07
1846,5.1519613464279246e-08,5.854501328173001e-10,4.2913495690299897e-07
1847,7.820174374728595e-08,5.393223645455691e-10,3.489415689728048e-07
1848,5.470750608083108e-08,8.045221711050488e-10,4.2559221924420854e-07
1849,1.5920887719289567e-08,8.379414939696517e-10,3.67856301863867e-07
1850,4.2091777174846357e-08,6.788996032014438e-10,3.8561498172384745e-07
1851,2.7087642351375507e-08,0.0,3.431101447404217e-07
1852,4.427170807730363e-08,0.0,4.147217396166525e-07
1853,4.837264810930719e-08,0.0,4.514780584941036e-07
1854,9.50806580135577e-08,3.63696517347023e-09,4.821576453650778e-07
1855,6.792879503336735e-08,5.306937111981824e-10,4.367609278688178e-07
1856,4.40061072026765e-08,0.0,4.5507493950935896e-07
1857,8.200935042168567e-08,0.0,4.564211053548206e-07
1858,5.725600971118183e-08,4.893676019968041e-10,5.999646646159817e-07
1859,5.448625373105642e-08,0.0,4.272333455901389e-07
1860,5.40107691904268e-08,4.577183909670879e-10,5.007439085602527e-07
1861,5.046081241744105e-08,4.715963730639317e-10,4.980057610737276e-07
1862,7.816116465164669e-08,0.0,5.710734853892063e-07
1863,4.345320192555846e-08,1.4983862484108101e-09,5.144459578332317e-07
1864,8.390773587052536e-08,0.0,4.804317654816259e-07
1865,7.295609094626343e-08,9.41368871743009e-10,4.857463409280172e-07
1866,6.227984528095476e-08,0.0,4.958059776072332e-07
1867,6.114542827617697e-08,6.308654931785895e-09,4.0812145130075805e-07
1868,6.965222354438083e-08,6.9158239135447275e-09,4.297690452403913e-07
1869,4.5905078849273195e-08,1.953407657850903e-09,4.658877230667713e-07
1870,5.447346396181274e-08,0.0,4.7133880798355676e-07
1871,7.541035529357032e-08,0.0,4.630833245755639e-07
1872,5.624025689598966e-08,1.2094678591978436e-09,4.468983831884543e-07
1873,2.6338419445437466e-08,0.0,3.944776949538209e-07
1874,5.616132625618775e-08,5.974609140757536e-10,4.1404041439818684e-07
1875,3.1468399441791917e-08,0.0,4.170993292973435e-07
1876,5.441413364337677e-08,1.209202959984168e-09,5.181434516998706e-07
1877,5.3807898581226254e-08,0.0,4.527285284439131e-07
1878,4.589707458535486e-08,6.039088673581716e-10,3.5268277542854776e-07
1879,6.353698012162567e-08,1.221865053580018e-09,4.2276531075913226e-07
1880,5.390990764908565e-08,1.2835692508872398e-09,4.101003696632688e-07
1881,3.69542902944886e-08,0.0,3.43744630981746e-07
1882,5.1912003584675404e-08,6.655385131892899e-10,3.4474894050617877e-07
1883,4.2339571848515334e-08,0.0,4.057015701164346e-07
1884,2.2445769687351458e-08,7.922036360241691e-09,3.657340243989893e-07
1885,2.1915161241281567e-08,0.0,2.707166970594699e-07
1886,3.484870347847391e-08,0.0,2.9556863978541514e-07
1887,3.1991731930247624e-08,0.0,3.421156407057424e-07
1888,4.2482117379449846e-08,0.0,3.2146917305908573e-07
1889,3.884384724983647e-08,1.2530273485467092e-09,2.694008855996799e-07
