year,aviez_VERB été_VERB,aviez_VERB eté_VERB
1800,3.8673223912155663e-07,3.144164484325529e-09
1801,6.048203999853285e-07,0.0
1802,2.7077865638602816e-07,0.0
1803,3.237563248603692e-07,1.950339223455444e-09
1804,5.116731358612014e-07,0.0
1805,5.884757001695107e-07,0.0
1806,6.051504897186533e-07,0.0
1807,2.875424627291068e-07,2.8469551160981155e-09
1808,3.036539055756293e-07,0.0
1809,4.585832016346103e-07,0.0
1810,5.335489277058514e-07,2.3401267590372754e-09
1811,2.3817229077849333e-07,0.0
1812,2.4805035536701325e-07,0.0
1813,3.6521919355436694e-07,2.8757416448144113e-09
1814,3.2410775929747615e-07,0.0
1815,3.991890764609707e-07,0.0
1816,3.6618141052713327e-07,0.0
1817,4.670620228353073e-07,0.0
1818,4.45852037955774e-07,0.0
1819,3.9126967976699234e-07,0.0
1820,4.082069438027247e-07,4.746592452420373e-09
1821,6.932626206435089e-07,9.86148829262845e-10
1822,5.684524353455345e-07,0.0
1823,5.860433134330378e-07,0.0
1824,4.2526619381533237e-07,0.0
1825,3.8655895195915946e-07,0.0
1826,3.778625341510633e-07,0.0
1827,3.2444802400277695e-07,2.7651818612639545e-09
1828,3.723954193901591e-07,0.0
1829,4.4066123905395216e-07,0.0
1830,4.080802682437934e-07,0.0
1831,3.1338325356955465e-07,0.0
1832,4.1131107764158514e-07,1.3529969367098715e-09
1833,4.841956524614943e-07,0.0
1834,3.593794417611207e-07,9.334530925997342e-10
1835,4.938696633871587e-07,0.0
1836,4.4625781470131187e-07,0.0
1837,3.3537034482833405e-07,6.957890930081589e-10
1838,3.377006692062423e-07,0.0
1839,3.1811211442800413e-07,6.9914751765765e-10
1840,2.821772113748011e-07,0.0
1841,2.7865181095876324e-07,0.0
1842,2.703430936890072e-07,0.0
1843,3.3196840831806185e-07,0.0
1844,3.298625301795255e-07,5.488561272137815e-10
1845,2.8514963901216106e-07,1.1160455892778032e-09
1846,3.149721692352614e-07,1.7563503984519002e-09
1847,2.8638018534365983e-07,1.0786447290911383e-09
1848,2.928460673956579e-07,0.0
1849,3.167418753946549e-07,0.0
1850,2.6341305670030124e-07,6.788996032014438e-10
1851,2.7087642706646875e-07,6.449438760824933e-10
1852,3.0469351486317464e-07,0.0
1853,2.9979096893839596e-07,0.0
1854,2.81085448250451e-07,0.0
1855,3.428281445394532e-07,0.0
1856,3.0700732622790383e-07,5.177189232874468e-10
1857,3.041180036689184e-07,5.369659827891837e-09
1858,3.9638774751438177e-07,4.893676019968041e-10
1859,3.299728348338249e-07,0.0
1860,3.725827752987243e-07,0.0
1861,4.02743296490371e-07,0.0
1862,5.132432647769747e-07,0.0
1863,3.456277681834763e-07,0.0
1864,3.2220572165897465e-07,0.0
1865,4.1137820971925976e-07,4.706844358715045e-10
1866,3.9022216924422537e-07,0.0
1867,3.3290285728071467e-07,0.0
1868,2.761389623628929e-07,0.0
1869,3.638221812707343e-07,4.883519144627257e-10
1870,3.302812103811448e-07,0.0
1871,3.250080169436842e-07,1.0621177271019633e-09
1872,3.8219184261834016e-07,6.047339295989218e-10
1873,3.5796307429336593e-07,0.0
1874,3.7640037930941617e-07,0.0
1875,3.1239537179317267e-07,5.721527140956084e-10
1876,3.0350994961736433e-07,6.04601479992084e-10
1877,2.653285946507822e-07,0.0
1878,2.6571990474622e-07,0.0
1879,3.3601290283513663e-07,0.0
1880,3.0869841793901287e-07,0.0
1881,2.8657007078436436e-07,0.0
1882,3.307726501589059e-07,0.0
1883,2.982727949074615e-07,0.0
1884,2.812323032230779e-07,0.0
1885,2.139951078561353e-07,0.0
1886,2.3361539547295251e-07,0.0
1887,2.605040947400994e-07,0.0
1888,2.7835298510581197e-07,1.268122939990235e-09
1889,3.182689454206411e-07,0.0
1890,2.8446038413676433e-07,0.0
1891,2.0397504840730107e-07,0.0
1892,2.7017287607122853e-07,0.0
1893,2.3525150538716844e-07,0.0
1894,2.1551264239860757e-07,0.0
1895,2.7023580173590744e-07,0.0
1896,2.046269003130874e-07,0.0
1897,2.1617107393012702e-07,0.0
1898,2.648110069003451e-07,0.0
1899,3.349712471845123e-07,0.0
1900,2.450177021273703e-07,0.0
1901,1.88340507634166e-07,0.0
1902,2.2832820434359746e-07,0.0
1903,2.0304828751704918e-07,0.0
1904,2.3433365470282297e-07,0.0
1905,2.2552517009444273e-07,0.0
1906,2.3766132528635353e-07,0.0
1907,2.437707848912396e-07,0.0
1908,2.6816184117706143e-07,4.911389073214423e-10
1909,2.403929784122738e-07,0.0
1910,2.468997593041422e-07,5.344150677544235e-10
1911,2.170712605220615e-07,0.0
1912,2.995417105466913e-07,0.0
1913,2.428769221296534e-07,5.30298971401777e-10
1914,1.9286622432446165e-07,0.0
