year,évènements_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,3.900678446910888e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,1.1387820464392462e-08
1808,5.211970233176544e-08
1809,1.581321384946932e-08
1810,2.3401266702194334e-08
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,2.2026739543434815e-08
1815,5.394447111228828e-09
1816,0.0
1817,4.670620334934483e-09
1818,5.960588467246453e-09
1819,5.175524897538253e-09
1820,1.6613073583471305e-08
1821,1.97229765852569e-09
1822,1.4035862250239006e-08
1823,1.1859224713361982e-08
1824,8.421112696055388e-10
1825,8.805443485471187e-09
1826,3.5231937367541377e-09
1827,6.452091305675367e-09
1828,1.8344602503717056e-09
1829,0.0
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,1.8669061851994684e-09
1835,0.0
1836,0.0
1837,0.0
1838,3.787297142565649e-09
1839,6.9914751765765e-10
1840,6.369688665408546e-10
1841,2.5682194149112547e-09
1842,4.024959032733477e-09
1843,4.7255288571079745e-09
1844,1.3721403568922597e-08
1845,4.464182357111213e-09
1846,7.610851504580296e-09
1847,3.775256551818984e-09
1848,6.43617736884039e-09
1849,4.1897072478036534e-09
1850,2.7155984128057753e-09
1851,4.514607354622058e-09
1852,1.9531636308300904e-09
1853,4.777545470346922e-09
1854,3.63696517347023e-09
1855,4.776243400783642e-09
1856,5.177189343896771e-09
1857,6.345961978126979e-09
1858,2.4468380654951716e-09
1859,2.036869339860914e-09
1860,5.492620580582752e-09
1861,4.2443675241088386e-09
1862,4.9697850279528666e-09
1863,2.4973103585068657e-09
1864,2.8768367688059016e-09
1865,1.4120533631256649e-09
1866,8.75810357570117e-09
1867,2.426405742994575e-09
1868,3.951899252285784e-09
1869,3.4184632902167778e-09
1870,4.013834153937523e-09
1871,1.0621177271019633e-09
1872,1.8142017887967654e-09
1873,5.9860045809045914e-09
1874,1.1949218281515073e-09
1875,6.865832347102696e-09
1876,1.209202959984168e-09
1877,6.184815992682502e-10
1878,6.039088673581716e-10
1879,3.665595160740054e-09
1880,1.1552122813895949e-08
1881,1.324776466304911e-08
1882,3.9932310791357395e-09
1883,6.319338941018771e-10
1884,3.300848483434038e-09
1885,9.023890079618013e-09
1886,3.872078213618124e-09
1887,9.140494583448344e-09
1888,1.0779045211961602e-08
1889,6.265136853755848e-09
1890,5.898947996740844e-09
1891,5.099376032546843e-09
1892,4.387958441043338e-09
1893,4.926733243593162e-09
1894,1.1342770278588432e-08
1895,4.814891596538473e-09
1896,9.435246361988447e-09
1897,4.078699600285063e-09
1898,4.52668391659472e-09
1899,7.738609753005221e-09
1900,5.19105292084987e-09
1901,5.58873880507349e-09
1902,6.38336894454028e-09
1903,1.0800440541913758e-08
1904,1.6123875568041512e-09
1905,3.096455536422127e-09
1906,3.0865106026567446e-09
