year,trois_DET oies_NOUN,trois_DET pois_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,3.333655484993869e-08,1.904946067554647e-08
1802,3.5805442166747525e-08,6.713520406265161e-09
1803,5.655983681407406e-08,0.0
1804,3.213406074564773e-08,4.943701892301533e-09
1805,3.127165526528586e-08,1.1371510844071508e-08
1806,8.645007376628655e-09,5.76333825108577e-09
1807,0.0,0.0
1808,4.5321479902327155e-09,3.6257184365950934e-08
1809,1.129515236897305e-08,2.259030518203531e-09
1810,3.042164919975221e-08,9.360507036149102e-09
1811,0.0,0.0
1812,3.467370746079723e-08,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,2.490997452753163e-08,6.22749374290521e-09
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,4.140420006848444e-09,0.0
1820,8.306536791735653e-09,0.0
1821,8.875339574387908e-09,0.0
1822,1.804610860745015e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,3.3684450784221553e-09,0.0
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,0.0,1.7615968683770689e-09
1827,0.0,0.0
1828,9.172301140836225e-09,9.172301251858528e-10
1829,1.2002446148073886e-08,8.57317605795771e-10
1830,0.0,1.0436835840010872e-09
1831,7.795603274018958e-09,4.677361609140007e-09
1832,0.0,9.470978667991403e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,9.334530925997342e-10
1835,7.563087933704082e-09,2.2689263801112247e-09
1836,0.0,0.0
1837,4.174734336004349e-09,6.262101948095733e-09
1838,2.5248647617104325e-09,3.787297142565649e-09
1839,0.0,2.7965900706306e-09
1840,5.7327197988676915e-09,6.3696887764308485e-09
1841,6.420548537278137e-10,1.2841097074556274e-09
1842,0.0,1.0062397137744483e-08
1843,1.7720733769266417e-09,7.088293507706567e-09
1844,1.811225169845443e-08,3.2931368743049916e-09
1845,6.138250796539069e-09,3.9061593959388574e-09
1846,5.854501328173001e-10,1.1123552745573306e-08
1847,8.089835468183537e-09,2.6966118227278457e-09
1848,0.0,3.218088684420195e-09
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,1.0183494048021657e-08,1.3577992064028876e-09
1851,8.384270167027807e-09,5.159551008659946e-09
1852,3.2552727180501506e-09,2.343796290382727e-08
1853,1.7915795513800958e-09,1.0749477308280575e-08
1854,3.1173986725363534e-09,5.195664343204953e-09
1855,1.5920811335945473e-08,3.714855978387277e-09
1856,3.624032518523279e-09,3.6240323519898254e-09
1857,3.905207268672939e-09,1.9526036343364694e-09
1858,9.787352039936081e-10,3.91494070495213e-09
1859,3.055304009791371e-09,8.656694694408884e-09
1860,1.1900677859832953e-08,2.2885919548354394e-09
1861,5.187560159214399e-09,8.017138342086838e-09
1862,1.1294966073549517e-08,8.132375661773494e-09
1863,1.1987089820753027e-08,1.4983863039219614e-09
1864,2.3973640850272204e-09,2.3973640850272204e-09
1865,7.060266649094871e-09,7.0602665935837194e-09
1866,1.2650593461671633e-08,3.4059290943133647e-09
1867,7.76449837758264e-09,6.308654931785895e-09
1868,8.397785578040384e-09,2.4699371437009177e-09
1869,7.325278716940886e-09,3.4184632902167778e-09
1870,1.0894693147633916e-08,1.7202146374017957e-09
1871,1.6993883855676017e-08,1.0621177271019633e-09
1872,1.511834801792844e-08,5.442605366390296e-09
1873,1.5563611011071288e-08,1.1373408659309803e-08
1874,1.553398404352535e-08,4.182226343019124e-09
1875,5.721527140956084e-10,4.577221712764867e-09
1876,4.836811839936672e-09,6.04601479992084e-10
