year,énormes_ADJ piles_NOUN
1800,2.5153315874604232e-08
1801,0.0
1802,4.475680270843441e-09
1803,1.755305234496518e-08
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,0.0
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,1.3554183553310395e-08
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,2.1796227045456362e-08
1818,2.384235475716423e-09
1819,5.175524897538253e-09
1820,2.1359666035891678e-08
1821,0.0
1822,4.010246357211145e-09
1823,9.882686891060644e-10
1824,1.6842225392110777e-09
1825,2.201360693732113e-08
1826,2.642395191543301e-09
1827,0.0
1828,1.0089530988466322e-08
1829,4.286587973467704e-09
1830,1.461157062010443e-08
1831,3.1182413096075834e-08
1832,4.058990921151917e-09
1833,1.9692167896323554e-08
1834,5.600718555598405e-09
1835,1.0588323107185715e-08
1836,4.704525213838906e-09
1837,4.174734336004349e-09
1838,3.787297142565649e-09
1839,1.6080392128969834e-08
1840,1.2739377330817092e-09
1841,5.778493683550323e-09
1842,1.341653010911159e-09
1843,5.906911071384968e-10
1844,6.586273748609983e-09
1845,1.3950569588416784e-08
1846,1.2879903366069811e-08
1847,1.1325769655456952e-08
1848,1.448139919091318e-08
1849,2.3462362719328667e-08
1850,1.1541293254424545e-08
1851,1.2898877521649865e-09
1852,3.2552727180501506e-09
1853,6.569124799682413e-09
1854,3.117398783558656e-09
1855,6.368324534378189e-09
1856,1.2942972915652717e-08
1857,4.881509085841174e-10
1858,7.829881631948865e-09
1859,2.2405561850291633e-08
1860,3.661747127736703e-09
1861,3.3011746669586728e-09
1862,8.132375661773494e-09
1863,6.99246927027275e-09
1864,1.6302074357099627e-08
1865,1.1296426905005319e-08
1866,2.919367858567057e-09
1867,4.367530337390235e-09
1868,5.433861360870651e-09
1869,1.0743741896135361e-08
1870,1.1468097582678638e-08
1871,2.973929724703339e-08
1872,2.4189357183956872e-09
1873,1.2570609442263958e-08
1874,4.779687312606029e-09
1875,1.3731664694205392e-08
1876,8.464420275799966e-09
1877,9.27722432209066e-09
1878,1.69094480639842e-08
1879,1.7717043832021773e-08
1880,1.0268554007097919e-08
1881,8.367009307619355e-09
1882,4.6587693702804245e-09
1883,1.1374810426900694e-08
1884,6.601696966868076e-09
1885,2.5782542767416317e-09
1886,7.744156427236248e-09
1887,1.6322312390570914e-08
1888,5.706553452000662e-09
1889,1.628935564212952e-08
1890,1.4419650362640368e-08
1891,7.649063604731055e-09
1892,1.191017329205124e-08
1893,4.926733243593162e-09
1894,8.192000855444803e-09
1895,1.8657704714541978e-08
1896,1.533227589334274e-08
1897,6.409385022720926e-09
1898,1.1316709347397591e-08
1899,1.1607914629507832e-08
1900,6.22926377147337e-09
1901,5.029864968975062e-09
1902,4.910283735171106e-09
1903,1.4040573148577096e-08
1904,1.827372564378038e-08
1905,1.651442893546573e-08
1906,5.658602919567102e-09
1907,1.131425531042396e-08
1908,5.893666887857307e-09
1909,9.351672325408344e-09
1910,6.947395991829808e-09
1911,1.0108711201439746e-08
1912,1.4586379215586476e-08
1913,6.363587878865928e-09
1914,8.705766774141921e-09
1915,2.3561523843085297e-09
1916,8.789969641043172e-09
1917,7.676496771580332e-09
1918,1.4932290071101306e-08
1919,4.603924352863942e-09
1920,3.786115865267448e-09
1921,4.543648568500203e-09
1922,4.426761179843197e-09
1923,6.369568872344189e-09
1924,5.156649773851996e-09
1925,1.0998178368026856e-08
1926,7.802296586589819e-09
1927,7.804457524684949e-09
1928,3.4278122562625413e-09
1929,6.684243825105796e-09
1930,1.470504518152893e-08
1931,1.1405356659111021e-08
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,1.2124714565686645e-08
1937,7.554670666820584e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,1.7750480196809804e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,8.352662561605939e-09
1947,1.0728784083369192e-08
1948,1.0871888278529696e-08
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,4.264560704569931e-09
1952,2.1089607837865287e-09
1953,5.386913581872932e-09
1954,4.886268278880834e-09
1955,7.508486277174597e-09
1956,8.72114114258693e-09
1957,8.835037701437898e-10
1958,1.0753916868111446e-08
1959,8.525822714489095e-09
1960,8.997083078554624e-09
1961,1.389631876236308e-08
1962,3.170978146727066e-09
1963,1.0345685197421517e-08
1964,7.909158661334459e-09
1965,7.1136563306595235e-09
1966,8.862519607077957e-09
1967,8.381570104631919e-09
1968,7.635406973349745e-09
1969,7.72098829315837e-09
1970,3.6789800095249348e-09
1971,1.0790635052160269e-08
1972,1.0773308467548759e-08
1973,9.923766697284009e-09
1974,9.00091468025721e-09
1975,4.569184142155791e-09
1976,1.7140580066410394e-09
1977,5.289103821581875e-09
1978,1.3663360221016774e-08
1979,5.266775904289034e-09
1980,6.253665585376211e-09
1981,3.795329828193417e-09
1982,1.1794254461960918e-08
1983,1.0104505676622466e-08
1984,8.118611560803402e-09
1985,1.0828004270990732e-08
1986,1.3187867686781374e-08
1987,1.0388388815840699e-08
1988,1.199310784016916e-08
1989,3.2928733073589456e-09
1990,9.80757164370516e-09
1991,7.6199047072123e-09
1992,6.61193322315512e-09
1993,1.1078414630105726e-08
1994,8.967375286772494e-09
1995,5.964695848348356e-09
1996,9.074756945892659e-09
1997,4.794894259418925e-09
1998,1.144351013948608e-08
1999,8.226361813967742e-09
2000,6.185244316725402e-09
2001,4.8193329327261836e-09
2002,4.381221607729913e-09
2003,8.333845613606172e-09
2004,6.166707589017051e-09
2005,8.106749049829887e-09
2006,6.1768350434476815e-09
2007,7.190063211481856e-09
2008,9.79211112195344e-09
2009,8.582746957586096e-09
2010,9.447585824773341e-09
2011,1.2236710311697152e-08
2012,1.4978711604385353e-08
2013,1.5061274893923837e-08
2014,9.311413862178597e-09
2015,1.3521109565317602e-08
2016,1.5535050579273957e-08
2017,1.2326495379966218e-08
2018,1.1874746519424662e-08
2019,1.2754938438774843e-08
