year,passages_NOUN heureux_ADJ
1800,2.829747991484055e-08
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,0.0
1807,1.7081731584767113e-08
1808,0.0
1809,1.129515236897305e-08
1810,1.8721014072298203e-08
1811,2.5070767684098882e-09
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,2.697223555614414e-09
1816,6.952811659743929e-09
1817,1.5568733857662664e-08
1818,9.536941902865692e-09
1819,0.0
1820,0.0
1821,9.861488514673056e-09
1822,2.0051231786055723e-09
1823,2.9648061783404955e-09
1824,0.0
1825,5.283265824829186e-09
1826,7.927186018719112e-09
1827,7.373818444733615e-09
1828,1.2841221419535032e-08
1829,3.429270423183084e-09
1830,8.349468672008697e-09
1831,1.2472964883158966e-08
1832,2.705993873419743e-09
1833,1.3900354645102198e-08
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,6.048674894287842e-09
1837,3.478945576063097e-09
1838,0.0
1839,1.3982950353153e-09
1840,7.0066574764382494e-09
1841,1.2841097074556274e-09
1842,0.0
1843,2.3627644285539873e-09
1844,1.4270259640625227e-08
1845,0.0
1846,6.439951683034906e-09
1847,3.235934187273415e-09
1848,1.126331028444838e-08
1849,0.0
1850,3.394498016007219e-09
1851,2.579775504329973e-09
1852,4.557382027314816e-09
1853,1.7915795513800958e-09
1854,9.871762074453727e-09
1855,1.1675261646360013e-08
1856,5.177189343896771e-09
1857,2.001418764052687e-08
1858,0.0
1859,4.073738679721828e-09
1860,6.408057640072684e-09
1861,1.131831339762357e-08
1862,1.671654992208005e-08
1863,3.496234635136375e-09
1864,5.753673537611803e-09
1865,9.41368871743009e-10
1866,7.298419202328432e-09
1867,4.85281148598915e-09
1868,9.87974813071446e-10
1869,5.860222973552709e-09
1870,1.3188312664169644e-08
1871,3.18635318130589e-09
1872,8.4662747923403e-09
1873,2.3944017879529156e-09
1874,3.5847653734322193e-09
1875,1.2015206607429718e-08
1876,7.255217759905008e-09
1877,1.2369631985365004e-09
1878,4.22736201599605e-09
1879,1.2829582729523281e-08
1880,3.8507077526617195e-09
1881,1.3945015142624584e-09
1882,1.9966155395678697e-09
1883,5.0554711528150165e-09
1884,4.621187876807653e-09
1885,3.2228177904158883e-09
1886,1.2906927748801422e-09
1887,6.528924623161458e-10
1888,3.1703073499755874e-09
1889,7.51816386923565e-09
1890,3.2771931834929546e-09
1891,1.9122659011827636e-09
1892,5.641661360300532e-09
1893,1.0469308087124318e-08
1894,1.2603078580752936e-09
1895,3.0093072478365457e-09
1896,5.89702897624278e-10
1897,8.740070001067579e-09
1898,5.092519295146758e-09
1899,8.291367592505594e-09
1900,2.07642125715779e-09
1901,2.794369402536745e-09
1902,9.820567692386817e-10
1903,3.2401321625741275e-09
1904,2.1498500757388683e-09
1905,5.160758931310738e-09
1906,8.230695236477459e-09
1907,2.057137349353866e-09
1908,1.964555629285769e-09
1909,7.151278680339601e-09
1910,5.34415089958884e-09
1911,1.0640748282497725e-09
1912,5.209421227725386e-10
1913,9.015082902408267e-09
1914,4.018046340092951e-09
1915,0.0
1916,9.888715624128963e-09
1917,3.289927441585405e-09
1918,1.1486376294556067e-09
