year,quelques_DET airs_NOUN,quelques_DET pères_NOUN
1800,3.4585809238762977e-07,1.1318991832709457e-07
1801,2.809795489611133e-07,5.0004833385131064e-08
1802,2.0140561218795483e-07,1.1636768704192946e-07
1803,1.8918289867997373e-07,1.384740839771581e-07
1804,4.202146612897195e-07,2.1010732886850292e-07
1805,3.041879172993589e-07,2.0753007001772517e-07
1806,3.429186392622796e-07,1.2679343708299484e-07
1807,1.992868590150465e-07,1.708173096304222e-07
1808,1.450287356874469e-07,1.5182695634052834e-07
1809,1.8524050737767084e-07,2.0105371589806964e-07
1810,2.948559623128233e-07,1.872101478284094e-07
1811,1.5293167621166504e-07,1.3036799462184945e-07
1812,5.521121124729689e-07,7.201462226547051e-08
1813,5.665210984773239e-07,1.2365688850657364e-07
1814,2.6117418938653714e-07,1.1957373313720154e-07
1815,1.8071397800412115e-07,3.182723853356606e-07
1816,1.2515060632267705e-07,1.854083073737911e-07
1817,2.6933909857973504e-07,2.5065661546364026e-07
1818,2.0266001610202977e-07,1.8954671698878656e-07
1819,1.9977527188075328e-07,2.0391568256172832e-07
1820,2.254631459308598e-07,1.8393045753128945e-07
1821,2.1004970562898961e-07,2.0709125259088523e-07
1822,1.9148926355683216e-07,2.4963783573639375e-07
1823,1.8381797417532653e-07,1.6504086985946742e-07
1824,1.1957980028398651e-07,2.2989637571413368e-07
1825,2.932212508355292e-07,1.2151511175062524e-07
1826,1.1186140369545683e-07,1.7880208047493795e-07
1827,1.4931982822430356e-07,1.4747636623013705e-07
1828,1.6051527040872315e-07,1.4400513181911379e-07
1829,1.8603791507310063e-07,1.6974888250587128e-07
1830,3.1832348135196753e-07,1.868193617582392e-07
1831,1.38761739654214e-07,1.3564348932959547e-07
1832,1.4882965615470312e-07,1.610066393542553e-07
1833,3.104412300558579e-07,1.3552845301578742e-07
1834,2.2962945855908856e-07,1.6895500909441807e-07
1835,2.1101014624491654e-07,1.4899283229397042e-07
1836,1.8885307717653177e-07,3.367095811057652e-07
1837,2.0456199401053254e-07,1.8647147914663265e-07
1838,1.6979716122023092e-07,1.824214765910881e-07
1839,1.7059198764712846e-07,2.0415107648830144e-07
1840,1.7389249640231697e-07,2.4650694951944274e-07
1841,1.489567313939233e-07,3.813805733443587e-07
1842,1.2678621041928295e-07,1.6703580030252851e-07
1843,1.5417037246834298e-07,3.166104374230372e-07
1844,1.1306436009661525e-07,3.0351743984802226e-07
1845,6.807878349945895e-08,3.3537169752406726e-07
1846,8.313391930414582e-08,3.9752064839859713e-07
1847,8.41342897572872e-08,2.3730184661729936e-07
1848,7.642960653253539e-08,2.526199569530263e-07
1849,7.122502498901895e-08,2.145130171271603e-07
1850,7.53578577317171e-08,2.5933964398205944e-07
1851,6.90089914101577e-08,3.179573355716059e-07
1852,1.2109614822009007e-07,2.5130705472165005e-07
1853,1.260077588938202e-07,2.394744633704704e-07
1854,1.1534374833033212e-07,2.332853323849804e-07
1855,9.127931832608738e-08,2.68531021418994e-07
1856,9.991975602474668e-08,2.8060364942739113e-07
1857,1.0446429238308852e-07,1.9135515061385888e-07
1858,1.3506546281405463e-07,2.2315163095143475e-07
1859,1.2934120241503422e-07,2.6224692639686964e-07
1860,1.281611448078479e-07,2.0780414500265465e-07
1861,1.4713807061639272e-07,1.3770613760399897e-07
1862,1.486417464668932e-07,2.2273672239947473e-07
1863,1.378515337435715e-07,2.89188551327868e-07
1864,1.3808816845539695e-07,3.1309574666238404e-07
1865,9.225414704383539e-08,1.8215487518347118e-07
1866,1.0363755720277368e-07,2.150600950656667e-07
1867,1.2374669466908017e-07,1.7567177934552092e-07
1868,1.1015918943702019e-07,1.7734147406134326e-07
1869,1.2159963236335614e-07,2.3538562388125683e-07
1870,1.536725093842506e-07,2.4828431044454646e-07
1871,6.266494367856978e-08,1.3382683361484737e-07
1872,8.829115505371021e-08,1.390888025865067e-07
1873,8.200826018267549e-08,1.5922772167442645e-07
1874,9.499628728093512e-08,1.4398808190208e-07
1875,1.218685312665002e-07,1.4818755289525143e-07
1876,1.0520065596431039e-07,1.2696630657949015e-07
1877,1.9667715378535178e-07,1.6327914520442022e-07
1878,2.9349971697456567e-07,1.660749364695846e-07
1879,1.3501609119614955e-07,1.5762059213386692e-07
1880,1.9574431320279473e-07,1.6558043469672157e-07
1881,1.1922988063517437e-07,1.4084465416175362e-07
1882,1.1713477610086898e-07,1.1181046932762229e-07
1883,1.2385904391010172e-07,1.0490102564375547e-07
1884,1.3335427606619987e-07,1.300534302473011e-07
1885,1.0248560755599101e-07,1.2826815298794259e-07
1886,9.292987668274577e-08,1.2971462481914386e-07
1887,7.442974159221905e-08,1.0446279352649412e-07
1888,8.179393273799462e-08,1.1603324567843742e-07
1889,7.580815619689929e-08,9.773613207642029e-08
1890,6.554386655643896e-08,1.1601264437999248e-07
1891,8.350228242193225e-08,1.0007525741428935e-07
1892,5.140180192597654e-08,1.4166837880580374e-07
1893,6.89742667425719e-08,8.868119705240929e-08
1894,1.0649601733803138e-07,8.570093523729838e-08
1895,6.861220569476245e-08,8.726990863294759e-08
1896,7.607167251677538e-08,7.725107931122466e-08
1897,6.817254760704827e-08,6.292850507350067e-08
1898,5.4320205666869015e-08,7.525612000236492e-08
1899,6.909473171390346e-08,8.512470550670059e-08
1900,8.772879833696123e-08,1.084930096872938e-07
1901,6.985923667324201e-08,1.0674491091045013e-07
1902,5.990546014800202e-08,7.02170597222107e-08
1903,4.158169653045718e-08,9.342380913324178e-08
1904,5.8045952933127865e-08,1.0158041430230469e-07
1905,5.212366521734069e-08,1.0579555720369171e-07
1906,4.835533462532737e-08,9.671066614203028e-08
1907,7.508551180812617e-08,9.46283167380102e-08
1908,7.367083521003792e-08,9.233411324416352e-08
1909,7.206288454852938e-08,9.901770425813083e-08
1910,5.4510337355040406e-08,1.1703690183662019e-07
1911,4.735132996813718e-08,1.026832188166793e-07
1912,7.501566834378082e-08,8.28297979094117e-08
1913,1.2727175668914015e-07,8.962052566729994e-08
1914,8.370929860390675e-08,9.777245946196444e-08
1915,3.887651434109074e-08,9.542417167551775e-08
1916,1.2086207812345151e-08,1.098746231775749e-07
1917,4.934891073560266e-08,4.8252267959014716e-08
1918,3.79050408838566e-08,5.972915584351313e-08
1919,5.7088659133341935e-08,7.550435743297612e-08
1920,5.3762844842708546e-08,7.042175509397453e-08
1921,1.1207665906454167e-07,6.436835420231546e-08
1922,1.1804696997685937e-07,7.894390874341184e-08
