year,ces_DET artisans_NOUN,ces_DET partisans_NOUN
1800,1.3205491100620748e-07,5.973912209356058e-08
1801,1.5477686687859205e-07,8.096020920334013e-08
1802,2.6854081625060644e-07,4.699464284385613e-08
1803,1.6187814999568673e-07,6.631153581793114e-08
1804,8.898663206302615e-08,1.2853624564712618e-07
1805,1.2508662150523264e-07,8.24434565060983e-08
1806,1.123850950079941e-07,1.5849180634575077e-07
1807,2.1067467992352817e-07,9.964342950752325e-08
1808,1.8355199671304945e-07,5.438577410643575e-08
1809,1.1746958961111886e-07,1.3102377316442926e-07
1810,4.914266327205041e-08,7.722418260414088e-08
1811,1.0780430059753598e-07,6.518399686683551e-08
1812,1.7070132685148565e-07,1.0668832572946485e-07
1813,1.121539270343419e-07,4.026038280535715e-08
1814,1.98240659443627e-07,1.195737269199526e-07
1815,3.857029806653145e-07,9.440282688899515e-08
1816,1.9236112791531923e-07,7.648092648082638e-08
1817,9.49692804397273e-08,1.8682481339737933e-07
1818,3.06374261072051e-07,2.6226590676969863e-07
1819,2.7430282933949e-07,1.6044127804093478e-07
1820,2.942887178392084e-07,2.2664978160946703e-07
1821,2.2089734308394782e-07,1.4397773284713367e-07
1822,4.571680705112158e-07,1.223125138949399e-07
1823,9.685033508510799e-08,1.4033415496328416e-07
1824,2.012645943239022e-07,1.1705346736334832e-07
1825,2.227777038399381e-07,1.7346722458455588e-07
1826,2.2548439559955114e-07,9.776862874844028e-08
1827,1.5945881770562664e-07,1.3641564500233017e-07
1828,1.8161156356555352e-07,1.0364700031573193e-07
1829,1.3717081648323415e-07,1.3717082136821546e-07
1830,1.6803305413759517e-07,1.909940934297083e-07
1831,1.7462150481151184e-07,1.4499821432423232e-07
1832,1.664186237704257e-07,1.2447571551277292e-07
1833,1.2162809959193055e-07,7.52935847003755e-08
1834,1.9882551249850167e-07,1.1761509188801256e-07
1835,1.557996114343041e-07,1.202530981458949e-07
1836,1.552493255618792e-07,1.3105462137730228e-07
1837,2.7901141308461774e-07,7.792837664055696e-08
1838,1.4896701650002342e-07,1.0162580910133556e-07
1839,1.6849454986811452e-07,8.180025812265512e-08
1840,1.796252249164354e-07,1.3949617549968707e-07
1841,3.0818632978935057e-07,1.3483151661830561e-07
1842,2.3210596467038158e-07,1.3886108618521575e-07
1843,2.085139598761998e-07,1.2758927780964768e-07
1844,1.8222022823977113e-07,1.470934396508028e-07
1845,1.7521916007012805e-07,2.2990539605416416e-07
1846,1.8734403539610867e-07,9.718472515629628e-08
1847,1.871448604973125e-07,1.2188685527547705e-07
1848,1.761903547503607e-07,1.0539240413720563e-07
1849,1.5753300708354345e-07,1.625606484978448e-07
1850,2.5526624547467236e-07,1.2966982687601103e-07
1851,1.5027191935246265e-07,1.3027866918591258e-07
1852,2.0963956437469733e-07,8.593919886834556e-08
1853,1.7736637314413883e-07,1.2361899059953885e-07
1854,1.5067426950565732e-07,1.1222635176721951e-07
1855,1.6292297644326936e-07,1.1038429192922194e-07
1856,1.4754989674514718e-07,1.4340814402657998e-07
1857,1.220377292554531e-07,1.9818926588754948e-07
1858,1.5512952700191818e-07,1.2087379630543182e-07
1859,1.8688275815748057e-07,1.1762920681945843e-07
1860,1.6020143434047895e-07,1.3960411138214113e-07
1861,1.4760966315918722e-07,1.627007506499467e-07
1862,1.630993100576461e-07,1.68069086647904e-07
1863,1.9578913246220964e-07,1.603273265260441e-07
1864,1.788433574567705e-07,1.4959551464244214e-07
1865,2.3957837314014796e-07,1.4638286494061958e-07
1866,1.503474393871329e-07,1.5764585592492608e-07
1867,1.8392154821356144e-07,1.480107467699554e-07
1868,2.1439053732308366e-07,1.0077343226555513e-07
1869,1.6799305946335608e-07,1.1573940472686672e-07
1870,1.2614907518582186e-07,1.3417674082916164e-07
1871,2.4003861343047106e-07,2.0711295434239219e-07
1872,1.6025449411927184e-07,1.4090300304303582e-07
1873,1.298962954976446e-07,5.686704351859362e-08
1874,1.893951115938819e-07,9.619121055237656e-08
1875,2.6662316088277294e-07,1.024153331030675e-07
1876,1.4570896134102895e-07,1.5235956851711308e-07
1877,1.7131940843739812e-07,1.2245935643306893e-07
1878,1.775492091127262e-07,1.1413877487598256e-07
1879,1.9183281807499952e-07,8.797428652229655e-08
