year,ses_DET heures_NOUN,ses_DET peurs_NOUN
1800,7.420228276266982e-07,3.144164484325529e-09
1801,3.357467566189598e-07,9.524730337773235e-09
1802,4.87849149521935e-07,8.951360541686881e-09
1803,4.6613106330362086e-07,0.0
1804,4.5482057364765183e-07,0.0
1805,5.088751038329065e-07,2.842877711017877e-09
1806,6.39730568074981e-07,0.0
1807,4.839823724012149e-07,2.8469551160981155e-09
1808,4.48682649256682e-07,0.0
1809,4.4728804837745884e-07,2.259030518203531e-09
1810,5.569501664304255e-07,2.106114038724627e-08
1811,5.991913645253533e-07,0.0
1812,4.054156512722784e-07,0.0
1813,4.112310634241112e-07,2.8757416448144113e-09
1814,3.8074793451414735e-07,0.0
1815,4.3425299955934804e-07,0.0
1816,4.0094547948399395e-07,6.952811659743929e-09
1817,3.954458382970927e-07,9.341240669868967e-09
1818,3.9459097656013853e-07,8.344824387052086e-09
1819,5.206578022054487e-07,0.0
1820,6.95375773851481e-07,9.493184904840746e-09
1821,4.950467324960073e-07,0.0
1822,3.8799133506017824e-07,1.0025615893027862e-09
1823,6.235975371637892e-07,1.9765373782121287e-09
1824,4.244240896511542e-07,1.431589158329416e-08
1825,5.855619831240944e-07,2.0252519661312363e-08
1826,5.364062545254455e-07,0.0
1827,5.124803728051575e-07,1.8434546111834038e-09
1828,5.090626951087529e-07,9.172301251858528e-10
1829,5.186771376841648e-07,3.429270423183084e-09
1830,8.025926838683972e-07,1.2524203008013046e-08
1831,5.378965912683498e-07,7.795603274018958e-09
1832,6.46732510212189e-07,1.3529969367098715e-09
1833,6.799589700179354e-07,3.59092489077284e-08
1834,7.122247316360131e-07,1.7735608537350345e-08
1835,8.100067461214167e-07,3.025235173481633e-09
1836,8.952039243226295e-07,1.1425274948351216e-08
1837,8.565163476248472e-07,2.0873672568200163e-08
1838,8.489857643567689e-07,6.312161904276081e-10
1839,9.214764569165368e-07,6.9914749545318955e-09
1840,8.713733805620905e-07,2.5478754661634184e-09
1841,8.770469062113762e-07,5.1364388298225094e-09
1842,9.639777154291096e-07,8.720745015011744e-09
1843,8.263768682681416e-07,1.1813821920725331e-08
1844,8.320658890781374e-07,1.0977122322231025e-08
1845,7.622591287059777e-07,7.254296274794569e-09
