year,nos_DET hommes_NOUN,nos_DET pommes_NOUN
1800,2.8611895608321447e-07,1.5720821977538435e-08
1801,2.905042766343513e-07,3.095537337571841e-08
1802,3.2224897950072773e-07,3.8043282302169246e-08
1803,1.2092103318650516e-07,5.460949736857401e-08
1804,2.5212880028213647e-07,6.179627121127851e-08
1805,1.3361524775490352e-07,3.695740957709859e-08
1806,3.054569184257616e-07,1.729001475325731e-08
1807,1.679703558465917e-07,5.124519120158766e-08
1808,1.1330369531492579e-07,1.3143228727585665e-07
1809,2.0331275152329908e-07,1.0843346531785869e-07
1810,3.5803939901768445e-07,1.4040760554223652e-08
1811,1.6797414659208698e-07,7.521229861140455e-09
1812,2.640536265197113e-07,2.9339290108509886e-08
1813,1.9555043673236128e-07,5.751483289628823e-09
1814,4.0277467006077927e-07,6.293354282149721e-09
1815,2.6702514333010186e-07,5.394447111228828e-09
1816,2.5493643640572827e-07,1.622322720606917e-08
1817,3.8454772344209687e-07,2.0239355080775567e-08
1818,4.768470889260357e-07,3.2187177367859476e-08
1819,7.918553421859542e-07,2.5877625375869684e-08
1820,7.33348507253595e-07,5.933240565525466e-09
1821,3.17539909033826e-07,1.3806083387635226e-08
1822,4.651885774364928e-07,1.0025615893027862e-08
1823,4.1408458084646327e-07,4.842516432290722e-08
1824,6.400045542420685e-07,2.2737005167527968e-08
1825,1.1350216340133557e-06,2.289415235168235e-08
1826,8.332353154116845e-07,1.145037931138404e-08
1827,5.687057473835466e-07,1.659109177820639e-08
1828,7.493770368682817e-07,2.2930752408001354e-08
1829,8.744639821145483e-07,2.4004893406370797e-08
1830,1.1616197923558502e-06,3.548524118990315e-08
1831,1.8990089358794648e-06,5.456922025359745e-08
1832,1.9253145921993564e-06,4.870788850031005e-08
1833,1.5417809891005163e-06,5.791814139399776e-08
1834,1.2638955411148345e-06,5.1339920759119195e-08
1835,2.3551456251880154e-06,4.0840674842002045e-08
1836,1.0571739892384358e-06,1.4113574753338298e-08
1837,1.0012404842996148e-06,3.409366655660051e-08
1838,1.0080522585553808e-06,3.471689069556305e-08
1839,1.0312425686720417e-06,1.887698375391267e-08
1840,1.259924452767791e-06,1.592422194107712e-08
1841,1.112038987116648e-06,2.5682195037290967e-08
1842,1.085397276057165e-06,1.475818356411196e-08
1843,1.1229038214821685e-06,1.7130041385371442e-08
1844,1.569179659099973e-06,1.866110915793584e-08
1845,1.3119116104576278e-06,6.13825084094799e-08
1846,1.4226438196374147e-06,5.327596097615128e-08
1847,9.918137990894138e-07,3.020205241455187e-08
1848,1.4803208401303891e-06,5.309846384804473e-08
1849,1.7253215531809474e-06,5.279031345395424e-08
1850,1.3673037813077826e-06,1.6972490080036096e-08
1851,1.267314729602731e-06,3.095730449764744e-08
1852,7.714996428376253e-07,2.408901789152651e-08
1853,9.776052678489577e-07,2.1498954394516545e-08
1854,1.0619938208833446e-06,2.1302223984775992e-08
1855,1.2497836650027239e-06,3.343370380548549e-08
1856,8.076415483060373e-07,2.950997818329526e-08
