year,mêmes_ADJ heures_NOUN,mêmes_ADJ peurs_NOUN
1800,2.3581233676850388e-07,0.0
1801,2.0478169915350009e-07,0.0
1802,2.730164965214499e-07,0.0
1803,2.281896911426884e-07,0.0
1804,3.163969211072981e-07,0.0
1805,3.098736840456695e-07,0.0
1806,1.3255677799861587e-07,0.0
1807,2.590729195617314e-07,0.0
1808,2.6739672875919496e-07,0.0
1809,1.8298146642337088e-07,0.0
1810,3.5803938658318657e-07,0.0
1811,3.1839874736760976e-07,0.0
1812,2.987273148846725e-07,0.0
1813,1.4091133948568313e-07,0.0
1814,4.0906803633333766e-07,0.0
1815,2.454473531088297e-07,0.0
1816,2.850652833785716e-07,0.0
1817,3.5963776667813363e-07,0.0
1818,4.124727297494246e-07,0.0
1819,1.811433776310878e-07,0.0
1820,2.4207622573158005e-07,0.0
1821,2.810524222240929e-07,0.0
1822,2.0452256421776838e-07,2.0051231786055723e-09
1823,2.3718448005638493e-07,2.9648061783404955e-09
1824,3.082127193465567e-07,0.0
1825,5.679510763911821e-07,5.283265824829186e-09
1826,3.4174979646195425e-07,0.0
1827,2.8665718332376855e-07,0.0
1828,2.036250918990845e-07,0.0
1829,2.6919772722067137e-07,0.0
1830,3.245855850764201e-07,0.0
1831,2.806417001011141e-07,0.0
1832,2.5301042683167907e-07,0.0
1833,2.513647245905304e-07,0.0
1834,2.6976795197697356e-07,0.0
1835,3.002545838626247e-07,0.0
1836,2.688300071440608e-07,2.688300027031687e-09
1837,2.4422197952844726e-07,4.87052354003481e-09
1838,2.499616016393702e-07,0.0
1839,3.334933751375502e-07,0.0
1840,2.694378338219394e-07,0.0
1841,3.1011248324830376e-07,0.0
1842,2.7839300287269e-07,0.0
1843,3.561867458756751e-07,0.0
1844,4.593925666540599e-07,0.0
1845,3.6327284647086344e-07,1.1160455892778032e-09
1846,3.1028858415993454e-07,0.0
1847,2.9285203595463827e-07,0.0
1848,3.306586222606711e-07,0.0
1849,2.8825186859648966e-07,0.0
1850,2.831011443049647e-07,0.0
1851,2.921595694260759e-07,0.0
1852,3.0664668315694144e-07,0.0
1853,2.60376225469372e-07,4.777545470346922e-09
1854,2.919963435488171e-07,2.5978321716024766e-09
1855,2.2342204886172112e-07,2.1227748447927297e-09
1856,2.7801505098068446e-07,0.0
1857,3.5049234270445595e-07,4.881509085841174e-10
1858,2.950886539565545e-07,0.0
1859,2.66829886186315e-07,0.0
1860,2.8012365760332614e-07,0.0
1861,2.867305965992273e-07,0.0
1862,2.087309667331283e-07,0.0
1863,2.387428708061634e-07,2.9967726078439227e-09
1864,2.7186106876797567e-07,0.0
1865,2.405197392363334e-07,0.0
1866,2.4620001681796566e-07,1.4596839292835284e-09
1867,3.120357803254592e-07,0.0
1868,2.4254782715615875e-07,0.0
1869,2.270836461093495e-07,0.0
1870,3.050514010283223e-07,0.0
1871,2.8358542181194935e-07,0.0
1872,2.606403199933993e-07,0.0
1873,2.4063737669166585e-07,0.0
1874,2.969380830109003e-07,4.779687312606029e-09
1875,2.5861302788143803e-07,3.432916173551348e-09
1876,1.5840558376112313e-07,0.0
1877,2.0286196900087816e-07,0.0
1878,2.3612837196651526e-07,6.039088673581716e-10
1879,2.266559704366955e-07,0.0
1880,2.1178892950501904e-07,0.0
1881,2.558910239258694e-07,0.0
1882,3.1746188255965535e-07,0.0
1883,2.755231776063738e-07,0.0
1884,2.634077134189283e-07,0.0
1885,2.8296341270106495e-07,1.2891271383708158e-09
1886,2.8653380468313117e-07,0.0
1887,3.3362803719683143e-07,0.0
1888,2.0987434368180402e-07,0.0
1889,2.7817208092528745e-07,6.265136742733546e-10
1890,3.16576858949702e-07,0.0
1891,3.0468771683445084e-07,0.0
1892,3.0464968858723296e-07,0.0
1893,2.3463566378723044e-07,6.158416554491453e-10
1894,2.3756803102514823e-07,0.0
