year,nos_DET yeux_NOUN,nos_DET pieux_NOUN
1800,1.3702268873316825e-05,8.174827570428533e-08
1801,1.178209149088616e-05,1.904946067554647e-08
1802,9.240042260216796e-06,1.1189200677108602e-08
1803,1.0352400678925733e-05,3.705644502360883e-08
1804,1.034716825643045e-05,2.4718509905596875e-08
1805,1.0720491424365264e-05,4.264316544322355e-08
1806,1.086389291060641e-05,7.492339904047185e-08
1807,9.508830103754917e-06,3.701041606518629e-08
1808,1.1658950370474486e-05,5.4385775882792586e-08
1809,8.905097843125986e-06,5.1957702140725814e-08
1810,1.2830914585038045e-05,5.148278958699848e-08
1811,8.218197663723004e-06,5.264861258069686e-08
1812,8.932480156431666e-06,3.200649700829672e-08
1813,1.0576977913956398e-05,2.0130190847567064e-08
1814,1.0604302318029113e-05,1.8880061958270744e-08
1815,1.0440952635804024e-05,4.8550024445148665e-08
1816,1.0628531470047164e-05,6.025770460382773e-08
1817,1.1243739422184262e-05,6.694555954034342e-08
1818,1.1334655880546052e-05,3.0995060518179685e-08
1819,1.095555158769912e-05,7.038713845108902e-08
1820,1.0494716008224714e-05,3.20394981656591e-08
1821,1.274202922729728e-05,2.7612166775270452e-08
1822,1.0748462756282606e-05,3.5089655625597516e-08
1823,9.387563906670948e-06,3.261286707356703e-08
1824,1.1414818217758693e-05,3.2842340402794434e-08
1825,1.110894731937151e-05,3.6982860329715095e-08
1826,1.049383278939331e-05,3.87551304381617e-08
1827,9.785057443423284e-06,6.175572764277604e-08
1828,1.0599511199416156e-05,5.778549727608606e-08
1829,1.0458417335712511e-05,8.48744439174709e-08
1830,1.1697605714289239e-05,4.17473438041327e-08
1831,1.0639438997372963e-05,7.016042591345695e-08
1832,1.1097281159777594e-05,3.923691083151937e-08
1833,1.2620363676774105e-05,6.950176967279731e-08
1834,1.164856138302639e-05,7.000898261111388e-08
1835,1.1613877489935476e-05,4.159698363537245e-08
1836,1.0860060143613737e-05,7.594447448688868e-08
1837,1.0456318179308255e-05,4.035576572913868e-08
1838,1.00666353972656e-05,7.637715615516072e-08
1839,1.0630538305633763e-05,4.055055757845594e-08
1840,1.0036718137484968e-05,6.624475901162441e-08
1841,1.2080261640790013e-05,9.245590248951885e-08
1842,1.2005782224377981e-05,6.037438593509137e-08
1843,1.2522651289259557e-05,9.982679705089481e-08
1844,1.2167591151523993e-05,6.421616527418905e-08
1845,1.1453417599227578e-05,9.597991823540042e-08
1846,1.170549030860002e-05,9.191567262867295e-08
1847,1.0977367459474863e-05,9.599938266546815e-08
1848,1.1494208294493546e-05,7.401604129597672e-08
1849,1.2313549888176567e-05,9.384944466006573e-08
1850,1.184476163018644e-05,5.363306954109248e-08
1851,1.0849245882127434e-05,6.900899496287138e-08
1852,1.1594630684896856e-05,8.398603768000612e-08
1853,1.1530606279563926e-05,1.1227232055155412e-07
1854,1.3347662203955224e-05,8.001322981954218e-08
1855,1.2729749883533259e-05,8.544168750290737e-08
1856,1.291915818057987e-05,7.817555536249188e-08
1857,1.1972877388188863e-05,7.66396937024183e-08
1858,1.2492086867155194e-05,6.851146400199681e-08
1859,1.2371435218483384e-05,8.962225184205863e-08
1860,1.2894384795458791e-05,8.650877258986611e-08
1861,1.3321182748882165e-05,5.659156454562719e-08
1862,1.2249164186073358e-05,7.454677630747142e-08
1863,1.304644928268317e-05,9.639618081536128e-08
1864,1.3764704846153109e-05,1.0356612634154772e-07
1865,1.3062905210858844e-05,7.860429995787399e-08
1866,1.1889612153481721e-05,9.098696285292363e-08
1867,1.2295083038793564e-05,8.298307818677131e-08
1868,1.2181729601934421e-05,7.162817272643451e-08
1869,1.2334792458545962e-05,8.008971619233307e-08
1870,1.2445753000633886e-05,4.7019199200803996e-08
1871,1.201786186300069e-05,3.5049885438454e-08
1872,1.2294845859628367e-05,5.6844990048432464e-08
1873,1.1223159617657075e-05,6.824045239994803e-08
1874,9.806723163308106e-06,3.704257656167442e-08
1875,1.0738161847712036e-05,3.890638450299022e-08
1876,1.1007979537680512e-05,4.957732269161852e-08
1877,1.0630461630967147e-05,4.391219299293425e-08
1878,9.942152033204366e-06,4.5293166550663955e-08
1879,1.0678489267945679e-05,4.7041805117942204e-08
1880,9.911721733146805e-06,3.722350894186377e-08
1881,1.0269109537830445e-05,6.62388206507103e-08
1882,1.0130161683719052e-05,3.7270156738600235e-08
1883,9.624353204173985e-06,4.739504344541956e-08
1884,9.695912282836616e-06,6.007544417485633e-08
1885,9.253999522229606e-06,5.672159320013748e-08
1886,9.192313996209123e-06,5.420909743314439e-08
1887,8.772916409327536e-06,4.309090417820016e-08
1888,8.855302311872038e-06,4.882273341166865e-08
1889,9.90267488276686e-06,4.322944402446183e-08
1890,8.333246704239627e-06,4.456982805045584e-08
1891,8.677225402209388e-06,3.888274235919198e-08
1892,8.850512870139937e-06,3.384996682953556e-08
1893,9.15879742535708e-06,3.633465817109993e-08
1894,9.001118513651818e-06,1.9534772022211655e-08
1895,9.148293955263398e-06,3.611168564177092e-08
1896,9.203493092968529e-06,3.8330687734955404e-08
1897,8.67655924707833e-06,4.31176818693757e-08
1898,8.696891427462106e-06,4.017432098102347e-08
1899,8.640158057460212e-06,3.814029092552573e-08
1900,8.815446747689748e-06,2.4917054419759666e-08
1901,8.385344294481456e-06,3.073806453812722e-08
1902,7.416492834977362e-06,3.191684649905824e-08
1903,8.470785459735453e-06,4.10416749474507e-08
1904,8.585963442442335e-06,2.4723276759175405e-08
1905,8.184963483870433e-06,3.251278135607549e-08
1906,8.367530661246292e-06,3.137952608867067e-08
1907,8.19460632328628e-06,3.1371344633157605e-08
1908,8.695614482689962e-06,3.634428069609896e-08
1909,8.584834574776323e-06,4.565816469348505e-08
1910,8.559192082202571e-06,2.6186337986899844e-08
1911,8.907902184773775e-06,3.085817068537722e-08
1912,8.978958121019787e-06,2.7609932118366487e-08
1913,9.10152148492216e-06,2.7045248041090986e-08
1914,8.823629272569633e-06,2.3438602447800605e-08
1915,8.644723536122001e-06,2.7095753085681906e-08
1916,9.62062222242821e-06,2.307367097387214e-08
