year,vos_DET hommes_NOUN,vos_DET pommes_NOUN
1800,4.7162466820793725e-08,0.0
1801,7.143547731125466e-08,1.904946067554647e-08
1802,1.1189200677108602e-08,6.713520406265161e-09
1803,2.145373123596528e-08,1.5602713787643552e-08
1804,2.2246657849223084e-08,5.438072037122765e-08
1805,8.528632911009026e-09,8.528632911009026e-09
1806,4.610670600868616e-08,5.76333825108577e-08
1807,3.985737118128441e-08,1.7081731584767113e-08
1808,3.6257183921861724e-08,2.7192887941396293e-08
1809,1.5813214071513926e-08,6.7770917766551975e-09
1810,3.978215445954447e-08,1.8721014072298203e-08
1811,2.5070768572277302e-08,4.763445815569867e-08
1812,1.3336041604361526e-08,1.600324983641599e-08
1813,2.013019195779009e-08,1.150296680130225e-08
1814,8.181360300341112e-08,6.293354459785405e-08
1815,1.0788894222457657e-08,3.506390555685357e-08
1816,1.1588019432906549e-08,1.1588019432906549e-08
1817,5.7604317427184526e-08,7.940054658206464e-08
1818,5.722165141719415e-08,2.026600220972341e-08
1819,8.591371281063687e-08,2.070210003424222e-09
1820,3.20394981656591e-08,1.1747816319740423e-07
1821,6.212737779787147e-08,2.9584463767662328e-09
1822,6.717162648328667e-08,1.7043547018147365e-08
1823,1.0080340473450633e-07,1.4824030003524058e-08
1824,1.6084325693555002e-07,4.210556348027694e-09
1825,1.5057307223287353e-07,4.0505037102178676e-08
1826,9.248383614490763e-08,1.4092774724971946e-08
1827,9.585963667291253e-08,8.295545916858771e-09
1828,7.796456191755397e-08,3.393751413227619e-08
1829,8.31598108153031e-08,9.430493497220027e-09
1830,1.482030742572249e-07,1.0436835395921662e-08
1831,1.7773975002910447e-07,3.897801637009479e-08
1832,2.286564777520539e-07,8.117981842303834e-09
1833,9.498575137545373e-08,3.1275796175123105e-08
1834,1.5308630452182115e-07,3.080395161170202e-08
1835,1.9815290386304696e-07,7.563087933704082e-10
1836,1.6869082930526247e-07,5.376600187290137e-08
1837,2.233482980784629e-07,1.739472721418167e-08
1838,1.136189116124342e-07,7.574594285131298e-09
1839,1.9785875160494015e-07,5.243606271410073e-08
1840,2.121106357222402e-07,1.8472096741106725e-08
1841,1.4638851197901204e-07,3.146068650039524e-08
1842,1.4959430716388056e-07,2.6162234156856812e-08
1843,1.3231480644471105e-07,2.953455624510326e-08
1844,1.4325144537252754e-07,1.2074834465636286e-08
1845,2.0702645731063285e-07,2.2878935412862234e-08
1846,2.09591146660415e-07,2.2832555401919308e-08
1847,1.504709352673217e-07,3.235934187273415e-09
1848,1.5446825241127726e-07,7.24069959545659e-09
1849,2.5222039812256014e-07,5.865590679832167e-09
1850,2.1656897697397426e-07,4.073397619208663e-09
1851,2.1799102833952588e-07,2.4507866402956324e-08
1852,1.1523665310875231e-07,1.1067927019325907e-08
1853,1.1286951284716906e-07,4.658106766974868e-08
1854,1.033937255812134e-07,1.454786069388092e-08
1855,1.4487939026253116e-07,1.2205955357558196e-08
1856,1.475498976333256e-07,1.9673318973900678e-08
1857,1.303362893168014e-07,4.393358121745905e-09
1858,1.9476830859233019e-07,2.104280660830682e-08
1859,1.6091267562856615e-07,5.092173349652285e-09
1860,2.3297866214022633e-07,1.1900677776566226e-08
1861,2.1599113253500946e-07,8.960331365770458e-09
1862,2.2183312697876545e-07,2.5300723294208183e-08
1863,2.107730026068566e-07,1.3485476069163838e-08
1864,2.1768065394667246e-07,2.9727312833571773e-08
1865,1.8497897880109804e-07,1.6003271596787272e-08
1866,1.591055478478154e-07,1.702964480543301e-08
1867,2.2322932657914407e-07,8.73506067478047e-09
1868,2.5242756773735664e-07,4.4458865700036654e-08
1869,1.9387571548179494e-07,2.344089211625544e-08
1870,1.4908526502210862e-07,4.587239033071455e-09
1871,4.4184096203991885e-07,1.3807530674370128e-08
1872,4.2331376004511867e-07,2.72130276091076e-08
1873,3.567658701797427e-07,8.320546074358504e-08
1874,3.2262889781975446e-07,2.0313670301419506e-08
1875,1.8480533015008405e-07,1.2015206607429718e-08
1876,1.989138898039755e-07,1.3905834261862537e-08
1877,1.5090951333007752e-07,1.7317484335421796e-08
1878,1.7151011366678404e-07,4.831270883354222e-09
1879,2.6758844740015775e-07,2.0160773384070296e-08
1880,1.5017759658064733e-07,9.626769381654299e-09
1881,1.6176218231578332e-07,2.928453107786666e-08
1882,1.6571908778573174e-07,4.5256619340960924e-08
1883,1.6177507911052658e-07,2.0221884611260066e-08
1884,1.9475006141078666e-07,1.386356363042296e-08
1885,1.9336906476041804e-07,1.353583467533781e-08
1886,1.923132240122527e-07,1.6133659630490627e-08
1887,2.3634706458608434e-07,2.7421483750345033e-08
1888,2.092402864306564e-07,1.3949351895803375e-08
1889,1.603874970612651e-07,1.7542383545787743e-08
1890,2.01219662265828e-07,4.6536142328523766e-08
1891,2.10986686788317e-07,1.4023283867459213e-08
1892,1.5420540089294832e-07,1.1283322720601063e-08
1893,1.5888714721690178e-07,1.6627724974682678e-08
1894,1.594289376072311e-07,1.4493540367865876e-08
1895,1.5768770555979472e-07,1.3842813118003505e-08
1896,1.8280789593205782e-07,1.0024948871034667e-08
1897,1.4158913774764414e-07,1.981082675683865e-08
1898,1.9973992548827368e-07,2.0370077180587032e-08
1899,1.8296284132190976e-07,1.6029977345510815e-08
1900,1.884352265335565e-07,1.2458527209879833e-08
1901,1.687799100480447e-07,2.738482063335823e-08
1902,9.673258971609755e-08,2.455141923096704e-09
1903,1.7388708961618704e-07,1.1880484818149739e-08
1904,1.279160857237116e-07,6.449550227216605e-09
1905,1.3211542881919058e-07,4.64468330463319e-09
1906,1.5226786587163588e-07,2.6235341676894564e-08
1907,1.4091391120629737e-07,1.337139288182243e-08
1908,1.7582772837698712e-07,6.384805573134145e-09
1909,1.710805879184818e-07,8.801573414540798e-09
1910,1.54980368982649e-07,1.2825961404061559e-08
1911,1.7929661222382265e-07,9.044636151145369e-09
1912,1.630548780440222e-07,1.7712032729377825e-08
1913,1.83483447102617e-07,2.598465048686549e-08
1914,1.8215142905120274e-07,1.2054139020278853e-08
1915,4.0879244167513207e-07,2.3561523843085297e-09
1916,4.2301729052951487e-07,2.3073669419559906e-08
1917,4.781360924965838e-07,1.6449636319748606e-08
1918,4.3877956557025755e-07,1.9526840588923733e-08
1919,2.817601707505446e-07,8.287063479883727e-09
1920,2.3019585038142054e-07,2.1202248401408497e-08
1921,1.8477503860303557e-07,2.044641889131782e-08
1922,2.006798478504379e-07,9.591316185719734e-09
1923,1.71978355112401e-07,1.2739137744688378e-08
1924,2.3333839926920064e-07,1.5469948877466777e-08
1925,2.0346629625578316e-07,2.0896538499570738e-08
1926,1.4489979927034824e-07,2.229227691330493e-08
1927,2.0737557626659964e-07,1.2264147031260109e-08
1928,1.862444705125199e-07,1.0283437212876834e-08
1929,2.6291359667141023e-07,1.4482528065684619e-08
1930,1.9431665876368243e-07,5.2518016602221e-09
1931,1.4484802868253155e-07,1.710803587684495e-08
1932,1.994635692170732e-07,1.6439305139392957e-08
1933,1.7205993430025046e-07,8.029463538505865e-09
1934,2.600003021768771e-07,7.188948103475923e-09
1935,1.6755597798123745e-07,1.0771455727365264e-08
1936,1.6610859443488835e-07,2.42494295754625e-08
1937,1.7627565807032397e-07,8.813782481631449e-09
1938,1.8151300817947913e-07,2.5930428915188486e-09
1939,1.8964622228168082e-07,9.176430282309411e-09
1940,1.8004058066622974e-07,7.607348750937604e-09
