year,bords_NOUN heureux_ADJ
1800,6.60274537267469e-08
1801,6.667310969987739e-08
1802,4.2518962573012686e-08
1803,4.4857802805609026e-08
1804,9.88740396223875e-08
1805,7.391481871010797e-08
1806,9.797675204481493e-08
1807,5.978605566170359e-08
1808,7.251436784372345e-08
1809,9.036122072814123e-09
1810,7.020380365929668e-08
1811,1.3287506206438593e-07
1812,9.068507722531649e-08
1813,6.901780125190271e-08
1814,3.776012391654149e-08
1815,5.664169577812572e-08
1816,4.4034472068688046e-08
1817,3.89218364205135e-08
1818,3.4571415286066554e-08
1819,7.659777168100845e-08
1820,3.441279616822612e-08
1821,4.141825016290568e-08
1822,3.5089655625597516e-08
1823,2.470671811583003e-08
1824,7.326368223203872e-08
1825,7.748790231687508e-08
1826,9.07222411639097e-08
1827,3.871254605769536e-08
1828,4.1275356466030644e-08
1829,5.486832677092934e-08
1830,3.026682482420995e-08
1831,2.8064171209152278e-08
1832,3.2471927369215337e-08
1833,8.34021284257247e-08
1834,3.9205030333278046e-08
1835,3.327758690829796e-08
1836,2.1506400216253496e-08
1837,1.8786304845086477e-08
1838,2.0830134062066463e-08
1839,2.586845848639996e-08
1840,2.802663096046487e-08
1841,5.714288064950779e-08
1842,3.4882978283690136e-08
1843,2.8943865137964764e-08
1844,4.0066497009050295e-08
1845,1.785672942844485e-08
1846,2.2247104158878983e-08
1847,2.3190860787281053e-08
1848,6.4361772578180876e-09
1849,3.016589289472904e-08
1850,2.2403687793826066e-08
1851,2.9022475311890616e-08
1852,2.79953455972759e-08
1853,2.09017620989016e-08
1854,2.5978321716024766e-08
1855,2.2819829581521844e-08
1856,2.899226048125314e-08
1857,6.785297301803439e-08
1858,2.397901255335455e-08
1859,5.754155907311542e-08
1860,2.1970482988464823e-08
1861,4.385846352761291e-08
1862,2.1234535907410645e-08
1863,2.0977406756106376e-08
1864,4.0755188002172815e-08
1865,4.6597758540656287e-08
1866,1.702964480543301e-08
1867,2.91168689159349e-08
1868,2.321740844024589e-08
1869,3.02778188077113e-08
1870,2.981705415905367e-08
1871,6.37270636261178e-09
1872,1.3908880047708294e-08
1873,2.274681615288543e-08
1874,1.3144139998644278e-08
1875,1.6592428764283795e-08
1876,1.6928841883867563e-08
1877,2.783167152298205e-08
1878,1.7513357430942733e-08
1879,1.8327975581655664e-08
1880,2.4387816210946767e-08
1881,1.673401861523871e-08
1882,2.994923420374107e-08
1883,1.8326083761621703e-08
1884,1.9805090900604227e-08
1885,1.6114089618213256e-08
1886,7.744156815814307e-09
1887,1.4363633837888301e-08
1888,1.9655904681670222e-08
1889,1.3156786771162388e-08
1890,1.4419650029573461e-08
1891,2.1672347472190268e-08
1892,1.8805537571608966e-08
1893,6.774258154429447e-09
1894,6.301539290376468e-09
1895,1.805584282088546e-08
1896,9.435246361988447e-09
1897,2.9133566670225264e-09
1898,1.6975064909274806e-08
1899,6.080336234504102e-09
1900,7.2674745110745675e-09
1901,1.1736351446245408e-08
1902,9.329538919189417e-09
1903,9.720396931811592e-09
1904,1.2361637935498493e-08
1905,6.708986699521802e-09
1906,2.2634411678268407e-08
1907,8.742834012309686e-09
1908,1.3260750719723546e-08
1909,3.300590023513905e-09
1910,4.275320542035388e-09
1911,1.4897047151407605e-08
1912,1.82329742415277e-08
1913,1.3787773589513108e-08
1914,2.1429579888376793e-08
1915,2.3561523843085297e-09
1916,4.394984820521586e-09
1917,1.4256351654751143e-08
1918,8.040463406189247e-09
1919,1.6574126959767455e-08
1920,6.815008557481406e-09
1921,1.6660044011018726e-08
1922,2.065821974595039e-08
1923,2.3355086309351236e-08
