year,véritables_ADJ îles_NOUN,véritables_ADJ iles_NOUN,véritables_ADJ piles_NOUN
1800,0.0,0.0,0.0
1801,4.7623651688866175e-09,0.0,0.0
1802,1.1189200677108602e-08,0.0,0.0
1803,3.900678446910888e-09,0.0,0.0
1804,1.730295728918918e-08,0.0,1.3347995775347954e-07
1805,0.0,0.0,0.0
1806,2.881669125542885e-09,0.0,0.0
1807,0.0,0.0,1.9928686256776018e-08
1808,1.5862518409903714e-08,9.064295980465431e-09,0.0
1809,0.0,0.0,0.0
1810,0.0,0.0,1.1700633351097167e-08
1811,0.0,0.0,0.0
1812,5.3344164641089264e-09,0.0,0.0
1813,0.0,0.0,0.0
1814,0.0,0.0,0.0
1815,0.0,0.0,0.0
1816,0.0,0.0,0.0
1817,0.0,0.0,7.784366928831332e-09
1818,0.0,0.0,0.0
1819,0.0,0.0,2.070209959015301e-08
1820,0.0,0.0,1.0679833017945839e-08
1821,2.9584463767662328e-09,0.0,1.97229765852569e-09
1822,0.0,0.0,0.0
1823,0.0,0.0,0.0
1824,1.6842225392110777e-09,0.0,4.210556348027694e-09
1825,0.0,2.641632912414593e-09,0.0
1826,2.642395191543301e-09,0.0,0.0
1827,0.0,0.0,9.217273055917019e-10
1828,7.337841001486822e-09,9.172301251858528e-10,4.586150570418113e-09
1829,2.571952872898464e-09,4.286587973467704e-09,3.429270423183084e-09
1830,0.0,0.0,6.262101504006523e-09
1831,0.0,0.0,1.5591206103948707e-09
1832,0.0,0.0,2.3000948701223933e-08
1833,1.7375443306377747e-08,0.0,8.108539617524002e-09
1834,3.733812370398937e-09,0.0,5.600718555598405e-09
1835,1.2100940693926532e-08,0.0,3.025235173481633e-09
1836,4.032449929525228e-09,0.0,2.688300027031687e-09
1837,6.957890930081589e-10,0.0,6.957890930081589e-10
1838,6.312161904276081e-09,0.0,6.312161904276081e-10
1839,1.3982949909063791e-08,1.3982950353153e-09,4.894032734625853e-09
1840,1.9109065441114126e-09,1.2739377330817092e-09,0.0
1841,1.926164561183441e-09,0.0,0.0
1842,4.695785538189057e-09,0.0,0.0
1843,1.7720733769266417e-09,0.0,0.0
1844,8.232841963717874e-09,1.097712254427563e-09,0.0
1845,2.0646844234306627e-08,5.580227946389016e-10,0.0
1846,5.854501328173001e-09,2.3418005312692003e-09,1.1709002656346001e-09
1847,1.77976389181822e-08,0.0,1.0786447290911383e-09
1848,3.218088684420195e-09,0.0,1.6090443422100975e-09
1849,0.0,0.0,0.0
1850,2.7155984128057753e-09,6.788996032014438e-10,4.752297222410107e-09
1851,2.192809134271556e-08,1.2898877521649865e-09,0.0
1852,7.161600201754936e-09,0.0,3.906327261660181e-09
1853,5.971931837933653e-09,0.0,3.5831591027601917e-09
1854,1.9743524148907454e-08,5.195664454227256e-10,1.0391328908454511e-09
1855,4.776243400783642e-09,0.0,5.306937111981824e-09
1856,3.054541508618058e-08,0.0,2.0708756931497874e-09
1857,2.147863931156735e-08,0.0,9.763018171682347e-10
1858,7.34051397444091e-09,3.4255731584664773e-09,2.1532175153993194e-08
1859,1.3748867822016564e-08,5.092173349652285e-10,1.0693564256314403e-08
1860,1.1442959468865865e-08,0.0,5.034902272882391e-09
1861,5.187560159214399e-09,4.715963730639317e-10,3.3011746669586728e-09
1862,8.584174260306554e-09,1.8071945051545413e-09,0.0
1863,8.490855130105501e-09,0.0,2.9967726078439227e-09
1864,1.2945765348604255e-08,4.794727948009836e-10,0.0
1865,1.4591217123438582e-08,2.3534221238463715e-09,5.177528628053096e-09
1866,7.298419202328432e-09,0.0,9.731225825149181e-10
1867,9.7056229719783e-09,1.455843445796745e-09,4.85281148598915e-10
1868,2.420538258718352e-08,0.0,7.903798504571569e-09
1869,1.953407657850903e-09,4.883519144627257e-10,2.441759683335931e-09
1870,1.548193218070537e-08,5.734048791339319e-10,5.734048791339319e-09
1871,7.434824311758348e-09,0.0,0.0
1872,2.3584624031514068e-08,0.0,4.23313739617015e-09
1873,1.616221290134945e-08,5.986004469882289e-10,2.3944017879529156e-09
1874,1.7326366119618797e-08,0.0,1.7923826867161097e-09
1875,2.345826111138649e-08,1.1443054281912168e-09,5.721527140956084e-10
1876,1.9951848173604958e-08,6.04601479992084e-10,2.418405919968336e-09
1877,2.6594708657512456e-08,1.2369631985365004e-09,6.184815992682502e-10
1878,3.01954443671093e-08,1.2078177347163432e-09,6.6429977074733415e-09
1879,1.710611030603104e-08,0.0,4.887460214320072e-09
1880,1.7328185109022343e-08,0.0,2.5671385017744797e-09
1881,1.324776466304911e-08,0.0,8.367009307619355e-09
1882,9.317538740560849e-09,0.0,6.655385131892899e-09
1883,1.64302811356265e-08,1.8958017378167824e-09,1.2638677882037541e-09
1884,3.564916539744445e-08,6.601696966868076e-09,3.9610181801208455e-09
1885,9.023890079618013e-09,3.2228177904158883e-09,3.2228177904158883e-09
1886,1.097088819790315e-08,1.936039106809062e-09,1.2906927748801422e-09
1887,5.876032105334161e-09,0.0,1.3057849246322917e-09
1888,1.2047167707862627e-08,6.340614699951175e-10,1.9021844099853524e-09
1889,1.3156786771162388e-08,0.0,5.012109394186837e-09
1890,1.7041404731799048e-08,6.554386478008212e-10,1.3108772956016423e-09
1891,6.3742202627281586e-09,0.0,4.461953917456185e-09
1892,1.7551833764173352e-08,1.2537024751679837e-09,5.014809900671935e-09
1893,8.005941687372342e-09,1.2316833108982905e-09,3.079208221734575e-09
1894,6.301539290376468e-09,1.8904617871129403e-09,3.150769645188234e-09
1895,1.9861428057765806e-08,1.2037228991346183e-09,0.0
1896,1.2973464080801023e-08,1.179405795248556e-09,4.1279202278587945e-09
