year,plusieurs_DET artisans_NOUN,plusieurs_DET partisans_NOUN
1800,2.2009151834367913e-08,3.772997381190635e-08
1801,1.904946067554647e-08,3.333655662629553e-08
1802,3.8043282302169246e-08,3.3567602031325805e-08
1803,3.7056443913385806e-08,3.705644502360883e-08
1804,7.4155526164076946e-09,1.2359254952798437e-08
1805,1.7057266266107263e-08,3.1271653710973624e-08
1806,0.0,6.916005901302924e-08
1807,0.0,6.547996633798903e-08
1808,1.1330369975581789e-08,5.891792298484688e-08
1809,2.4849335034105025e-08,1.5587310286946376e-07
1810,2.3401267590372754e-09,8.658469141664682e-08
1811,5.0141534924108555e-08,8.273353202525868e-08
1812,8.00162425207418e-09,8.801787032552966e-08
1813,4.3136125782439194e-08,1.0065095534805835e-07
1814,3.776012391654149e-08,1.321604372606089e-07
1815,1.8880564667256294e-08,2.3196122267421515e-07
1816,4.6352077731626196e-09,8.575134735622214e-08
1817,1.2454986930698908e-08,9.652614929578363e-08
1818,3.576353191370174e-08,7.152706338331427e-08
1819,1.0351049795076506e-08,1.0454560328554408e-07
1820,1.4239777357261119e-08,1.1985145587090074e-07
1821,2.9584463767662328e-09,7.100271881554931e-08
1822,2.606660132187244e-08,6.015369535816717e-08
1823,1.1859224713361982e-08,1.08709552470998e-07
1824,1.0947446504872005e-08,6.652679385155125e-08
1825,4.754939197937347e-08,7.748789832007219e-08
1826,1.7615968461726084e-08,7.751026132041261e-08
1827,3.7790819362726324e-08,5.7147091836462494e-08
1828,1.8344602836783963e-08,6.420610998425502e-08
1829,3.1720752247110795e-08,5.572564409916936e-08
1830,3.235419043789989e-08,7.201416707403041e-08
1831,2.1827687879394375e-08,2.9623292263636358e-08
1832,1.8941957335982806e-08,5.817886972181441e-08
1833,2.7800709290204395e-08,4.51761508202253e-08
1834,7.467624740797874e-09,6.81420759818252e-08
1835,1.285724948729694e-08,4.386591001548368e-08
1836,3.091545153210973e-08,7.997692463845851e-08
1837,3.3397876242347024e-08,7.166627735699649e-08
1838,2.2723781967215473e-08,6.880256453456468e-08
1839,2.0974426195863316e-08,8.599514700335931e-08
1840,1.9746034474188434e-08,7.070354079985464e-08
1841,1.0914932957462042e-08,4.6227948136134955e-08
1842,1.8112315647300647e-08,4.226206895552309e-08
1843,2.12648805231197e-08,6.14318766967159e-08
1844,1.4270259696136378e-08,6.092302973215169e-08
1845,1.1718478853950387e-08,4.910600637231255e-08
1846,1.1709002656346001e-08,4.039606027461673e-08
1847,2.480882876909618e-08,7.172987359638228e-08
1848,8.84974404868899e-09,5.5512030305848725e-08
1849,1.508294689145373e-08,2.6814127807028854e-08
1850,3.86972773824823e-08,6.653215933738466e-08
1851,5.804494884742439e-09,4.2566294489176926e-08
1852,1.4323200403509873e-08,2.799534470909748e-08
1853,1.6124216406510072e-08,5.3747386097313665e-08
1854,1.195002830023384e-08,5.6113176327698966e-08
1855,9.021793090369101e-09,4.7231740296638236e-08
1856,5.694908100650764e-09,2.8992260148186233e-08
1857,7.810414592857029e-09,2.8312752198278446e-08
1858,1.957470396884986e-08,3.425573114057556e-08
1859,3.768208123311467e-08,3.0043823429082295e-08
1860,2.8378539740359088e-08,5.767251742838653e-08
1861,8.017138342086838e-09,3.6312922002679215e-08
1862,4.066187830886747e-09,3.478849566751485e-08
1863,5.494082966350788e-09,2.647149044410213e-08
1864,7.671564716815737e-09,3.116573232819775e-08
1865,9.413688717430091e-09,4.424433530658689e-08
1866,1.1190909809943861e-08,1.8489328568183083e-08
1867,1.358787216076962e-08,3.105799351033056e-08
1868,8.891773206620712e-09,2.0747471296544973e-08
1869,1.0743742007157664e-08,4.8835191002183365e-08
1870,1.1468097138589428e-08,2.6376624440160867e-08
1871,1.3807530452325523e-08,3.611200227737754e-08
1872,1.1489944995446422e-08,2.8422494580127022e-08
1873,5.9860045809045914e-09,2.334541671089596e-08
1874,7.766991938495948e-09,2.9873046258899194e-08
1875,5.149374260327022e-09,2.460256709468922e-08
1876,1.0882827083946722e-08,4.292670396921494e-08
1877,1.6080522136086017e-08,9.895705588292003e-09
1878,2.294853729267743e-08,2.4156355138416075e-08
1879,1.0996785260175557e-08,2.504823370941267e-08
1880,1.9895323166707612e-08,3.401458492646725e-08
1881,6.9725074602899895e-09,2.231202445024394e-08
1882,6.655385131892899e-09,3.128030989785202e-08
1883,6.319338829996468e-09,1.327061183165057e-08
1884,1.0562715146988921e-08,1.5183903023796574e-08
1885,1.3535834897382415e-08,3.093905087681037e-08
1886,3.872078213618124e-09,4.1302169906387576e-08
1887,8.48760217664335e-09,2.938016074871541e-08
1888,4.4384300679212174e-09,2.8532765261601867e-08
1889,6.891650361495749e-09,2.7566601445982997e-08
1890,4.5880703680722945e-09,4.9813337454907014e-08
1891,6.3742202627281586e-09,2.039750413018737e-08
1892,1.1283321832422644e-08,1.8178685001757344e-08
1893,1.0469308087124318e-08,2.8328715817593775e-08
1894,5.671385139294216e-09,1.0082463086646953e-08
1895,3.611168697403855e-09,1.745398270358578e-08
1896,4.717623180994224e-09,2.1819006379431016e-08
1897,1.3984112090525969e-08,2.0976169134989675e-08
1898,1.4145887128336199e-08,1.527755810748488e-08
1899,7.185851913504848e-09,1.5477219506010442e-08
1900,1.972600216504361e-08,1.5573159317661123e-08
1901,3.912117296778206e-09,2.2913829278436992e-08
1902,1.32577662736999e-08,1.2766738111125164e-08
1903,1.8360748255119574e-08,2.970121126821823e-08
1904,8.061937784020756e-09,2.6335664315979557e-08
1905,1.2385821701599298e-08,1.651442849137652e-08
1906,1.5946971521074715e-08,2.1605574884731027e-08
1907,9.257118349648152e-09,2.5714216533856415e-08
1908,5.893666887857307e-09,2.0136695422223738e-08
1909,8.251475058784763e-09,1.1001967337165297e-08
1910,1.1222716089775986e-08,2.4583093782837295e-08
1911,1.276889793899727e-08,1.3300935464144459e-08
1912,5.2094213387476884e-09,1.5628263128064646e-08
1913,7.42418571064718e-09,2.1211959300160288e-08
1914,8.036092513652449e-09,1.6741859454327823e-08
1915,4.712304768617059e-09,2.0027295266622502e-08
1916,4.394984820521586e-09,4.724608615447323e-08
1917,1.0966424435210342e-08,1.535299465338369e-08
1918,5.743188147278033e-09,1.4932290071101306e-08
1919,8.287063479883727e-09,1.1970203106503874e-08
1920,9.086678076641874e-09,1.1358347595802343e-08
1921,8.330022005509363e-09,8.330022005509363e-09
1922,8.853522359686394e-09,1.549366412945119e-08
1923,1.2739137744688378e-08,4.246379248229459e-09
1924,7.734974438733389e-09,2.191576153887098e-08
1925,3.299453377181294e-09,1.649726644181726e-08
1926,3.343841648018042e-09,1.4489979882625903e-08
1927,1.3379070296082318e-08,2.4528294062520217e-08
1928,7.998228745975666e-09,1.3711249802206282e-08
1929,6.684243825105796e-09,2.33948540540041e-08
1930,6.302162347537887e-09,2.3107928015519974e-08
1931,2.3951248984133144e-08,2.3951249872311564e-08
1932,1.3151443600811774e-08,1.3151444377967891e-08
1933,4.588264879146209e-09,1.4911861079269784e-08
1934,5.990790086229936e-09,1.4377896206951846e-08
1935,7.180970484910176e-09,2.6330224223158893e-08
1936,1.091224355320719e-08,1.8187072292619177e-08
1937,1.3850230184964119e-08,1.0072894518486919e-08
1938,1.1668692678767911e-08,1.9447821575369062e-08
1939,1.5294050470515685e-08,3.058810094103137e-09
1940,3.296517814277422e-08,1.5214697057785997e-08
1941,2.9515025978810172e-09,2.066051862925633e-08
1942,3.641054280301148e-08,1.517105907566929e-08
1943,8.709705845433291e-09,5.806470415592457e-09
1944,3.213186161588055e-08,1.2852744646352221e-08
1945,3.485606470121638e-08,1.3071024707045353e-08
1946,2.645009811175214e-08,6.960552134671616e-09
1947,1.549713246618012e-08,1.907339353124371e-08
1948,1.4133453962728026e-08,1.7395020313060172e-08
1949,3.043272656100271e-08,9.817008428392171e-09
1950,1.8080113850516e-08,9.571825110299415e-09
1951,6.396841278899501e-09,7.462981455041984e-09
1952,1.2653764258629963e-08,4.2179215675730575e-09
1953,1.7238123040108633e-08,3.232148326759443e-09
1954,9.772536113672459e-09,1.07497895029951e-08
1955,1.783265490828967e-08,4.6928039232341234e-09
1956,1.5698054633972447e-08,1.308171282410342e-08
1957,1.943708272111877e-08,1.7670075902476157e-08
1958,1.902615986981715e-08,6.617794590102477e-09
1959,2.6352541926399908e-08,1.0075972611822692e-08
1960,8.305000243069571e-09,8.997083522643834e-09
1961,1.667558224838217e-08,6.253343343143314e-09
1962,2.3465238641051656e-08,1.268391242037481e-08
1963,1.4871922138226523e-08,1.0992290633282664e-08
1964,1.7643507765896516e-08,1.3384730213061857e-08
1965,2.188817360693207e-08,1.7510538352638605e-08
1966,2.3264113413468124e-08,1.6063316343739587e-08
1967,1.774920732611207e-08,1.528404003359185e-08
