year,trois_DET îles_NOUN,trois_DET iles_NOUN,trois_DET piles_NOUN
1800,2.138031902632065e-07,9.432493897065797e-09,3.772997558826319e-08
1801,2.7145480885337747e-07,1.6668277424969347e-08,2.6193008650921e-08
1802,3.5581658153205353e-07,1.1189200677108602e-08,2.2378401354217203e-08
1803,1.2287137352018362e-07,1.950339223455444e-09,2.145373123596528e-08
1804,1.3595179737535545e-07,4.202146608456303e-08,8.157108055684148e-08
1805,2.5585899399160894e-08,2.842877711017877e-09,2.2743021688143017e-08
1806,1.4120178093435243e-07,0.0,6.916005634849398e-08
1807,7.402083213037258e-08,5.693910232196231e-09,8.54086508184082e-08
1808,1.5182695278781466e-07,0.0,0.0
1809,1.852404967195298e-07,9.036122294858728e-09,6.7770917766551975e-09
1810,1.7550951270095538e-07,2.3401267590372754e-08,4.680253518074551e-09
1811,8.022645658911642e-08,2.5070767684098882e-09,5.515568801683912e-08
1812,5.86785815492874e-08,2.6672082320544632e-09,0.0
1813,2.7894694198948855e-07,2.8757416448144113e-09,2.5881675469463516e-08
1814,7.237357380063258e-08,6.293354282149721e-09,0.0
1815,7.821948422304104e-08,0.0,0.0
1816,1.2746821020925836e-07,2.3176038865813098e-09,4.8669683394564345e-08
1817,6.07180652423267e-08,6.227493631882908e-09,1.0898113522728181e-08
1818,4.4108355412575406e-08,5.9605886892910576e-09,4.768470951432846e-09
1819,7.763287790396589e-08,0.0,1.1386155129855524e-08
1820,1.4358441546846734e-07,1.1866481131050932e-09,0.0
1821,1.1143481870590222e-07,5.9168927535324656e-09,6.903041693817613e-09
1822,8.321261191213125e-08,2.0051231786055723e-09,2.4061478143266868e-08
1823,6.720227219148e-08,1.9765373782121287e-09,1.087095569118901e-08
1824,1.0779023984497371e-07,5.894778887238772e-09,1.0947446504872005e-08
1825,7.484626385334536e-08,1.3208164340028361e-08,3.522177216552791e-09
1826,1.523781349987985e-07,1.4973572604048968e-08,1.4973572604048968e-08
1827,8.848582311316022e-08,7.373818444733615e-09,1.1060727445055818e-08
1828,1.2107437408204191e-07,1.4675681669906737e-08,1.1006761724274838e-08
1829,9.601957434712816e-08,1.8860987549551567e-08,2.057562281665426e-08
1830,1.1271782374144834e-07,1.1480519646056564e-08,4.279102583382155e-08
1831,9.198811490307435e-08,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.1500473662273691e-07,6.764984572527055e-09,1.7588959622116818e-08
1833,4.459697060532619e-07,5.3284690437749305e-08,1.2741991461950875e-08
1834,2.548326936135936e-07,1.5868702352150876e-08,1.6802156110884425e-08
1835,1.1722786297241328e-07,1.0588323107185715e-08,1.0588323107185715e-08
1836,1.1761312279645608e-07,8.064900303139666e-09,3.763620171071125e-08
1837,8.975679044453955e-08,1.8090515530033713e-08,1.6003149028165353e-08
1838,1.0351945434194931e-07,1.641162095111781e-08,1.9567702125300457e-08
1839,1.2654569747638789e-07,1.1885508133246958e-08,1.0487212875887053e-08
1840,6.751869818799605e-08,1.910906610724794e-08,2.293087852933695e-08
1841,9.181384230672052e-08,8.988767952189392e-09,5.1364388298225094e-09
1842,1.448985260665836e-07,7.379091560011375e-09,5.366612043644636e-09
1843,6.615740399951164e-08,1.6539350833344457e-08,4.252975926988256e-08
