year,serions_VERB à_ADP,serions_VERB a_ADP,serions_VERB pas_ADV
1800,1.2891074163690064e-07,0.0,4.4332719539852405e-07
1801,1.142967676059925e-07,0.0,4.3575641939241905e-07
1802,6.937304419807333e-08,2.2378401354217203e-09,5.124653625898645e-07
1803,7.996391104825307e-08,0.0,4.2322361082369753e-07
1804,8.157108055684148e-08,0.0,5.512227403414727e-07
1805,7.675770063997334e-08,0.0,2.842877790953935e-07
1806,1.3543845511776453e-07,0.0,3.0833859909762396e-07
1807,9.964342950752325e-08,0.0,3.387876574834081e-07
1808,2.2660739062985158e-08,0.0,4.486826412630762e-07
1809,5.6475762733043666e-08,0.0,4.6761931571381865e-07
1810,1.4976811257838563e-07,2.3401267590372754e-09,6.014125801812042e-07
1811,6.267691787797958e-08,2.5070767684098882e-09,3.334412213007454e-07
1812,6.668020802180763e-08,0.0,6.401299970093532e-07
1813,6.039057609541487e-08,0.0,5.780240712738305e-07
1814,6.293354459785405e-08,0.0,4.310947758767725e-07
1815,5.933891955578474e-08,0.0,5.691141495844931e-07
1816,4.8669683394564345e-08,0.0,5.260960733721731e-07
1817,4.826307531402563e-08,0.0,6.414318249881035e-07
1818,1.5259107044585107e-07,1.1921177378582115e-09,7.236154715428711e-07
1819,7.556266723440785e-08,0.0,5.734481760555354e-07
1820,8.42520151422832e-08,1.1866481131050932e-09,7.143621587601956e-07
1821,1.5975611233898235e-07,0.0,6.064815352146979e-07
1822,8.020492714422289e-08,0.0,6.336189244393609e-07
1823,1.363810753218786e-07,8.894418535021487e-09,6.364450086948636e-07
1824,1.2210612965191103e-07,0.0,4.858982265432132e-07
1825,1.1270967092968931e-07,8.805443041381977e-10,5.59145632905711e-07
1826,7.839106075380187e-08,0.0,7.398706998174021e-07
1827,7.92685455053288e-08,0.0,5.539581025004736e-07
1828,1.0364700386844561e-07,9.172301251858528e-10,7.181911882980785e-07
1829,1.4488666977285902e-07,0.0,6.901406663928356e-07
1830,9.914994336668315e-08,0.0,7.086611617523886e-07
1831,5.3010101197514814e-08,1.5591206103948707e-09,8.247748155554291e-07
1832,8.523880978827947e-08,0.0,6.507915486508864e-07
