year,aux_ADP arts_NOUN,aux_ADP parts_NOUN
1800,9.492232409868961e-06,9.432493897065797e-09
1801,6.767321032441487e-06,2.3811825400343878e-08
1802,6.494211845620157e-06,5.370816325012129e-08
1803,7.22015596466008e-06,2.9255089017965474e-08
1804,6.491080696946483e-06,1.1617699158250616e-07
1805,7.110037023139171e-06,7.675770063997334e-08
1806,7.797796595099271e-06,1.152667650217154e-08
1807,9.60847353326244e-06,9.11025637151397e-08
1808,6.39712692063199e-06,5.211970233176544e-08
1809,5.988689963487559e-06,2.0331274441787173e-08
1810,7.455644006171269e-06,5.148278958699848e-08
1811,5.773797786545742e-06,1.7549536934780008e-08
1812,6.291944060876631e-06,2.400487453257938e-08
1813,5.906773560937495e-06,4.026038169513413e-08
1814,5.242364110813469e-06,2.2026739543434815e-08
1815,4.436932698581586e-06,1.0788894222457657e-08
1816,5.51126220216247e-06,2.3176038865813098e-09
1817,5.103430922304142e-06,1.401186100480345e-08
1818,4.667141027425714e-06,2.2650237241350624e-08
1819,5.145506875692263e-06,1.0351049795076506e-08
1820,4.7655788080192e-06,7.119888678630559e-09
1821,5.1703782375511764e-06,4.043210211079895e-08
1822,5.469976002814292e-06,3.408709403629473e-08
1823,5.026334470414895e-06,2.174191138237802e-08
1824,4.880876732116235e-06,2.5263338088166165e-08
1825,6.023803607035916e-06,2.993850500843109e-08
1826,5.874925456339497e-06,1.9377566218281572e-08
1827,6.737826716118889e-06,5.991227425283796e-08
1828,5.504298016489884e-06,7.246117661452445e-08
1829,5.674585082715566e-06,4.543783305166471e-08
1830,5.496037545071886e-06,2.1917355041978226e-08
1831,4.755317764448819e-06,3.4300654760954785e-08
1832,4.849140797791307e-06,1.8941957335982806e-08
1833,4.679786020034271e-06,8.340212787061319e-08
1834,4.5113788909034724e-06,1.0641365122410207e-07
1835,4.065916122897306e-06,3.781543966852041e-08
1836,3.365079589201514e-06,3.965242711956307e-08
1837,4.265187053320574e-06,4.244313345225237e-08
1838,4.1319410399864864e-06,3.029837714052519e-08
1839,4.060648924664179e-06,2.516931019158619e-08
1840,4.030738871563244e-06,1.0828470564661075e-08
1841,4.0353148307303854e-06,4.751206006403663e-08
1842,4.245661074264717e-06,2.817471411731276e-08
1843,3.979486013605538e-06,4.371114314949409e-08
1844,3.5774441826674774e-06,6.75093048130293e-08
1845,3.26443331033488e-06,3.627148004170522e-08
1846,3.301353384443928e-06,1.9905304071698993e-08
1847,3.817323626975622e-06,1.941560512364049e-08
1848,3.193148550906244e-06,8.84974404868899e-09
1849,3.0953558542989867e-06,2.4300303991253713e-08
1850,3.6321129783800643e-06,6.992665646521345e-08
1851,3.092505846069571e-06,4.514607043759611e-08
1852,3.875727676572183e-06,2.2135854038651814e-08
1853,3.4583457058090517e-06,4.240071760364117e-08
1854,3.6463172250478237e-06,4.9878380536938494e-08
1855,3.852305589191474e-06,3.714855978387277e-08
1856,3.835261829010506e-06,2.5368226630462232e-08
1857,3.3199143771867057e-06,2.4407546206361985e-08
1858,3.3898493256856455e-06,4.3553715300959084e-08
1859,3.293108463253702e-06,3.768208145515928e-08
1860,3.3207470337970335e-06,4.165237399433863e-08
1861,3.4332216429788787e-06,2.782418562219391e-08
1862,3.5872811423587336e-06,4.201727321628823e-08
1863,3.5177115229600986e-06,2.8469338886338846e-08
1864,3.4637113728308577e-06,2.828889478223573e-08
1865,2.7130251218920876e-06,1.7886009118228685e-08
1866,2.912069419380714e-06,4.087114940931613e-08
1867,3.0956084202671263e-06,3.591080499631971e-08
1868,3.3487405168841633e-06,3.013323279787983e-08
1869,2.600962243803906e-06,4.0044856319809696e-08
1870,2.7454626554401784e-06,5.2753250656678574e-08
1871,2.5469584059578665e-06,7.328612383616928e-08
1872,2.7485156692819146e-06,3.9912439575573444e-08
1873,2.5817636597480487e-06,5.207823861042016e-08
1874,2.5003739594353647e-06,7.109785116199419e-08
1875,2.5872744906507705e-06,8.067353007845668e-08
1876,2.8428362384147476e-06,7.255217582269324e-08
1877,2.6866841658090834e-06,5.504486111362894e-08
1878,2.631834853161763e-06,8.273551799220513e-08
1879,2.423569320342267e-06,3.4823152361695975e-08
1880,2.8912397027625047e-06,8.664092376875487e-08
1881,2.861517032215488e-06,8.227558595530482e-08
1882,2.5090803035254794e-06,8.319231303843821e-08
1883,2.661073523313462e-06,7.520013411976834e-08
1884,2.2762651497032493e-06,8.186104594187782e-08
1885,2.0793621118286865e-06,5.5432465728699754e-08
1886,2.11802678506956e-06,5.420909587883216e-08
1887,1.9717352337522698e-06,1.0903304176190787e-07
1888,2.212874598228609e-06,9.827953006968926e-08
1889,2.364462602599815e-06,8.457934741468165e-08
1890,2.075774247600748e-06,7.799719936585348e-08
1891,2.2399008230422623e-06,1.1218627338216436e-07
1892,1.8930907756953275e-06,1.0405730677121028e-07
1893,2.045210088397198e-06,1.4903368161789388e-07
1894,2.00577994746709e-06,1.8778587573820005e-07
1895,1.8091954814281053e-06,2.473650582146547e-07
1896,1.8463597761808614e-06,1.2973464302845628e-07
1897,1.9845786347616468e-06,1.4391982539052606e-07
1898,1.6816630576954594e-06,1.9408156592959358e-07
1899,1.8451056433832491e-06,2.6974582922889567e-07
1900,1.9492404952359266e-06,2.725302881145808e-07
1901,1.560375959996918e-06,2.766425648559334e-07
1902,1.427910589768544e-06,3.0001834439019603e-07
1903,1.6918889933492665e-06,2.608306530760274e-07
1904,1.8031867625722953e-06,2.429330541176e-07
1905,1.6514429006520004e-06,1.7288542908389104e-07
1906,1.7515948869117892e-06,2.412622510661322e-07
1907,1.927023472347855e-06,2.78742113835051e-07
1908,1.9979530989644445e-06,2.5784793322713995e-07
1909,1.8125740552932257e-06,5.4844805941201e-07
1910,1.698371107750063e-06,3.623334290381308e-07
1911,1.6663411184225652e-06,3.1177392134651427e-07
1912,1.7425513867408426e-06,3.9174846477862957e-07
1913,1.8401373829135537e-06,8.378723812541011e-07
1914,1.7846821567246707e-06,3.1876499395622204e-07
1915,1.7082104655230523e-06,3.2279288397774053e-07
1916,1.541540875393821e-06,2.8237776916739676e-07
1917,1.8105566574888599e-06,4.4194691639631856e-07
1918,1.6184304847399744e-06,2.80267581587168e-07
1919,1.48706756775141e-06,3.8120493428550617e-07
1920,1.6499892918631076e-06,6.527263742839295e-07
1921,1.3880845806113484e-06,4.392193577729131e-07
1922,1.4320573029635852e-06,3.6004323789029513e-07
1923,1.4650008406391635e-06,2.866306090254511e-07
1924,1.7261884961428109e-06,2.0884431206624754e-07
1925,1.6167321277293922e-06,4.3882729805488907e-07
1926,1.4634879850206062e-06,1.1380207887157212e-06
1927,1.4572037427829088e-06,4.036019514153111e-07
1928,1.3174226101142494e-06,5.164570850979544e-07
1929,1.399235075361105e-06,8.110216054291186e-07
