year,quelques_DET eaux_NOUN,quelques_DET pots_NOUN
1800,7.074370231840987e-07,1.0690159379933561e-07
1801,4.5242469548512076e-07,3.809892135109294e-08
1802,2.215461734067503e-07,8.503792514602537e-08
1803,3.58862413563088e-07,8.77652617248259e-08
1804,1.9527622896475805e-07,9.88740396223875e-08
1805,2.4164460610265337e-07,5.1171799242411e-08
1806,1.671368039524168e-07,1.181484350354367e-07
1807,5.209927849136875e-07,7.117387923472052e-08
1808,3.8296650961555656e-07,6.118399653587403e-08
1809,2.6882463544097845e-07,1.4231892286886705e-07
1810,1.8955026881428694e-07,9.594519667643908e-08
1811,1.6546706893549867e-07,8.273353557797236e-08
1812,2.827240734859515e-07,6.668020802180763e-08
1813,2.5594101771275746e-07,2.5881675469463516e-08
1814,1.2272040805783035e-07,1.8880063290538374e-08
1815,1.3755840200246894e-07,4.045835311217161e-08
1816,2.827476599520651e-07,8.343374346964083e-08
1817,3.0826092256575066e-07,5.60474440192138e-08
1818,1.4663048819585356e-07,5.2453181353939726e-08
1819,2.411794675083456e-07,4.243930362690662e-08
1820,1.6494408328071586e-07,1.3053129688245235e-07
1821,2.2188348380858258e-07,3.550135629915019e-08
1822,9.223566621585633e-08,7.21844344298006e-08
1823,1.1661570775700625e-07,3.162459760730485e-08
1824,1.7515914407795208e-07,3.9579228783281906e-08
1825,1.0654586324321258e-07,5.6354834576666235e-08
1826,1.2771577084791375e-07,4.844391199299025e-08
1827,2.3135354698666788e-07,7.28164592511682e-08
1828,1.797770985412228e-07,6.512333783348367e-08
1829,1.6803425140210493e-07,6.08695507331447e-08
1830,1.5863990387998683e-07,1.1271782796029584e-07
1831,1.8709446880649239e-07,9.666547695630356e-08
1832,2.597754102939831e-07,3.6530916958099624e-08
1833,2.0618858442844612e-07,8.91939393454777e-08
1834,1.54953209374753e-07,6.440826183506942e-08
1835,1.4218605315363675e-07,6.579886502322552e-08
1836,1.5726554947192994e-07,8.93859741779579e-08
1837,1.315041417981888e-07,6.401259333710385e-08
1838,8.39517539930057e-08,3.28232410140572e-08
1839,1.2514740621583087e-07,6.012668762878093e-08
1840,1.1338045879938363e-07,6.114900796827527e-08
1841,1.585875448739671e-07,7.319425421314918e-08
1842,6.708265187782558e-08,9.05615809010385e-08
1843,9.982679527453797e-08,6.14318764746713e-08
