year,moins_ADV osé_VERB,moins_ADV posé_VERB
1800,2.829747991484055e-08,0.0
1801,5.000483582762172e-08,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,3.1205427575287104e-08,0.0
1804,0.0,7.4155526164076946e-09
1805,2.2743021688143017e-08,0.0
1806,5.76333825108577e-09,5.76333825108577e-09
1807,1.1387820464392462e-08,0.0
1808,6.798221985349073e-09,0.0
1809,2.25903047379461e-08,1.8072244145628247e-08
1810,3.510190182964834e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,4.5342538612658245e-08
1813,1.4378708002027452e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,1.8880564667256294e-08
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,2.80237220096069e-08,1.5568733857662664e-08
1818,3.457141417584353e-08,0.0
1819,7.24573512300708e-09,9.315945348475907e-09
1820,2.3732962262101864e-09,1.1866481131050932e-08
1821,2.3667571014129862e-08,1.97229765852569e-09
1822,1.2030739071633434e-08,1.2030739071633434e-08
1823,2.569498569471307e-08,9.882686891060644e-10
1824,2.105278085196005e-08,0.0
1825,8.805443485471187e-09,8.805443041381977e-10
1826,1.4092774947016551e-08,9.688783109140786e-09
1827,5.530363722527909e-09,8.295545583791863e-09
1828,1.559291185060374e-08,0.0
1829,1.800366966620004e-08,0.0
1830,8.349468672008697e-09,1.0436835395921662e-08
1831,0.0,4.677361609140007e-09
1832,1.8941957335982806e-08,1.3529969367098715e-09
1833,1.50587169400751e-08,1.7375443306377747e-08
1834,2.8003592777992026e-09,4.667265685043276e-09
1835,1.5126175867408165e-09,7.563087933704082e-10
1836,1.2097349788575684e-08,5.376600054063374e-09
1837,1.461157062010443e-08,1.87863058442872e-08
1838,1.009945904684173e-08,1.830527018853445e-08
1839,1.3283802502428443e-08,2.0974426639952526e-09
1840,8.917564464638872e-09,1.9746034141121527e-08
1841,3.2102742686390684e-09,2.118781061710706e-08
1842,1.0733224087289273e-08,2.6162233268678392e-08
1843,1.3585895519696578e-08,1.6539351221922516e-08
1844,1.4270259640625227e-08,1.701453911095996e-08
1845,6.138250796539069e-09,1.674068350610014e-08
1846,8.781752214304106e-09,1.3465353276842507e-08
1847,7.550513103637968e-09,2.3190860787281053e-08
1848,1.126331028444838e-08,3.218088551193432e-08
1849,2.2624419893091385e-08,2.4300303991253713e-08
1850,9.504594444820214e-09,6.788996032014438e-09
1851,9.029214709244116e-09,1.3543821175687754e-08
1852,2.4740073101270355e-08,1.7578472011337e-08
1853,1.3735443005202796e-08,8.957897534855874e-09
1854,5.195664343204953e-09,1.558699302961486e-08
1855,2.3350523292720027e-08,1.326734277995456e-08
1856,1.0872097000458325e-08,9.836659486950339e-09
1857,1.5620829074691756e-08,1.6597130780837688e-08
1858,6.361778659424999e-09,1.5170396494568195e-08
1859,6.619825576592575e-09,1.9859475841599306e-08
1860,9.154368096897514e-09,6.865775947773045e-09
