year,aies_VERB assez_ADV,aies_VERB passé_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,9.270415546325239e-09
1817,6.227493631882908e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,0.0,2.0051231786055723e-09
1823,0.0,4.941343334508019e-09
1824,0.0,1.6842225392110777e-09
1825,0.0,0.0
1826,0.0,3.5231937367541377e-09
1827,0.0,0.0
1828,0.0,1.8344602503717056e-09
1829,8.57317605795771e-10,0.0
1830,0.0,2.0873671680021744e-09
1831,3.1182412207897414e-09,0.0
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,0.0,9.334530925997342e-10
1835,0.0,6.050470346963266e-09
1836,6.720750067579218e-10,0.0
1837,6.957890930081589e-10,3.478945576063097e-09
1838,6.312161904276081e-10,0.0
1839,0.0,1.3982950353153e-09
1840,1.2739377330817092e-09,0.0
1841,6.420548537278137e-09,0.0
1842,2.0124795163667386e-09,0.0
1843,7.678984559333912e-09,1.1813822142769936e-09
1844,5.488561272137815e-10,4.390849017710252e-09
1845,5.580227835366713e-09,2.7901139176833567e-09
1846,0.0,1.1709002656346001e-09
1847,5.393223645455691e-10,0.0
1848,8.045221711050488e-10,1.689496542667257e-08
1849,0.0,2.513824481908955e-09
1850,6.788996032014438e-10,1.3577992064028876e-09
1851,1.9348316282474798e-09,7.739326512989919e-09
1852,6.510545436100301e-10,1.3021090872200602e-09
1853,2.388772735173461e-09,3.5831591027601917e-09
1854,0.0,0.0
1855,2.1227748447927297e-09,5.306937111981824e-10
1856,4.659470143053568e-09,5.177189232874468e-10
1857,9.763018171682347e-10,2.4407544874094356e-09
1858,1.3212924976357954e-08,4.893676019968041e-10
1859,4.582956236731661e-09,1.018434669930457e-08
1860,1.8308735638683515e-09,4.57718396518203e-09
1861,0.0,4.715963619617014e-09
1862,0.0,4.517986262886353e-10
1863,0.0,3.995696662428827e-09
1864,0.0,4.794727948009836e-10
1865,1.4120533631256649e-09,5.177528628053096e-09
1866,9.731225825149181e-10,4.865612912574591e-10
1867,4.85281148598915e-10,2.91168689159349e-09
1868,0.0,0.0
1869,1.953407657850903e-09,1.4650557433881772e-09
1870,0.0,1.1468097582678638e-09
1871,2.1242354542039266e-09,0.0
1872,0.0,4.23313739617015e-09
1873,1.7958012854535355e-09,4.788803575905831e-09
1874,5.974609140757536e-10,5.974609140757536e-10
1875,2.2886108563824337e-09,5.721527140956084e-10
1876,1.813804439976252e-09,0.0
1877,1.2369631985365004e-09,1.8554447978047506e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,2.443730107160036e-09,0.0
1880,3.2089231272180996e-09,0.0
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,6.655385131892899e-10,1.3310770263785798e-09
1883,5.0554711528150165e-09,0.0
1884,3.9610181801208455e-09,0.0
1885,0.0,6.445635691854079e-10
1886,3.872078213618124e-09,0.0
1887,3.264462256069578e-09,1.3057849246322917e-09
1888,0.0,6.340614699951175e-10
1889,0.0,0.0
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,0.0,1.9122659011827636e-09
1892,6.268512375839919e-10,3.761107425503951e-09
1893,2.463366621796581e-09,1.847525021858587e-09
1894,0.0,6.301539290376468e-10
1895,1.2037228991346183e-09,5.416753268150387e-09
1896,0.0,5.89702897624278e-10
1897,5.826713556089658e-10,5.826713556089658e-10
1898,5.092519295146758e-09,2.26334195829736e-09
1899,5.527578395003729e-10,1.6582735185011188e-09
1900,1.5573159428683425e-09,5.191053142894475e-10
1901,0.0,2.235495566438317e-09
1902,0.0,4.910283846193408e-10
1903,0.0,5.400220270956879e-10
1904,2.6873125946735854e-09,1.6123875568041512e-09
1905,2.580379465655369e-09,0.0
1906,1.0288369045596824e-09,0.0
1907,1.5428529565042481e-09,5.142843373384665e-10
1908,9.822778146428846e-10,3.929111258571538e-09
1909,2.7504918342913243e-09,0.0
1910,2.137660271017694e-09,3.740905363258662e-09
1911,1.0640748282497725e-09,1.0640748282497725e-09
1912,5.209421227725386e-10,1.0418842455450772e-09
1913,5.30298971401777e-10,2.6514948014977335e-09
1914,2.0090231700464756e-09,1.3393487430235496e-09
1915,3.534228465440492e-09,1.1780761921542648e-09
1916,4.394984820521586e-09,0.0
1917,1.0966424213165737e-08,1.0966424435210342e-09
1918,1.1486376294556067e-09,9.189101035644853e-09
1919,0.0,0.0
1920,0.0,0.0
1921,7.572747429129834e-10,0.0
1922,5.164555005876537e-09,7.377935484775833e-10
1923,0.0,3.1847844361720945e-09
1924,1.289162443462999e-09,0.0
1925,2.1996355847875293e-09,1.0998177923937646e-09
1926,6.687683296036084e-09,0.0
1927,1.1149224876660924e-09,1.1149224876660924e-09
1928,0.0,0.0
1929,1.1140406375176326e-09,1.1140406375176326e-09
1930,2.100720708497761e-09,0.0
1931,1.1405356659111021e-09,0.0
1932,1.0959536611565568e-09,2.1919073223131136e-09
1933,0.0,0.0
1934,2.3963160344919743e-09,0.0
1935,0.0,1.196828414151696e-09
1936,0.0,2.424942913137329e-09
1937,0.0,0.0
1938,5.186085783037697e-09,0.0
1939,0.0,0.0
1940,0.0,7.607348528892999e-09
1941,2.9515025978810172e-09,8.854508237732261e-09
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,5.568441707737293e-09,1.3921104269343232e-09
1947,2.3841741914054637e-09,0.0
1948,0.0,2.174377566888097e-09
1949,0.0,0.0
1950,2.1270722960764488e-09,2.1270722960764488e-09
1951,2.1322803522849654e-09,4.264560704569931e-09
1952,1.0544803918932644e-09,1.0544803918932644e-09
1953,2.1547654771580937e-09,1.0773827385790469e-09
1954,3.9090144454689835e-09,2.9317608341017376e-09
1955,1.8771215692936494e-09,9.385607846468247e-10
1956,3.488456634670456e-09,8.72114158667614e-10
1957,8.835037701437898e-10,0.0
1958,4.9633461784992505e-09,8.272243445794913e-10
1959,7.750747821333448e-10,0.0
1960,2.076250060767393e-09,4.152500121534786e-09
1961,2.779263708063695e-09,0.0
1962,2.5367825617905737e-09,0.0
1963,1.939815863494232e-09,0.0
1964,1.8251904432275978e-09,1.8251904432275978e-09
1965,1.0944086747954884e-09,1.6416130677043839e-09
1966,1.6617224263271169e-09,3.3234448526542337e-09
1967,4.930335584241163e-10,9.860671168482327e-10
1968,1.7965663401398047e-09,3.5931326802796093e-09
1969,9.083515606356229e-10,9.083515606356229e-10
1970,1.3796175313274261e-09,1.3796175313274261e-09
1971,2.0553589941130213e-09,2.569198631618974e-09
1972,1.5390440033513642e-09,0.0
1973,1.102640756478479e-09,1.102640756478479e-09
1974,5.625571675160757e-10,1.1251143350321513e-09
1975,5.711480177694739e-10,1.1422960355389478e-09
1976,2.285410749536254e-09,2.285410749536254e-09
1977,1.1753563677885381e-09,5.876781838942691e-10
1978,2.3762365408686037e-09,1.7821774056514528e-09
1979,5.851973350345929e-10,1.7555920051037788e-09
1980,3.411090521154847e-09,1.1370301367108482e-09
1981,1.8976649140967083e-09,2.5302198114474095e-09
1982,1.8622506869903077e-09,0.0
1983,6.315316047889041e-10,1.2630632095778083e-09
1984,1.1598016991243298e-09,0.0
1985,0.0,0.0
1986,1.7983456945813714e-09,1.1988970927134801e-09
1987,6.110816852533674e-10,1.2221633705067347e-09
1988,5.996553809062277e-10,1.1993107618124554e-09
1989,1.0976244357863152e-09,1.6464366536794728e-09
1990,0.0,2.179460389939436e-09
