year,dois_VERB unir_VERB,dois_VERB punir_VERB
1800,0.0,4.4018303668735825e-08
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,0.0,8.951360541686881e-09
1803,0.0,3.90067853572873e-08
1804,4.943701892301533e-09,3.9549615138412264e-08
1805,0.0,8.528632911009026e-09
1806,0.0,3.7461699520235925e-08
1807,0.0,1.4234775136401367e-08
1808,4.5321479902327155e-09,5.891792298484688e-08
1809,2.259030518203531e-09,1.129515236897305e-08
1810,9.360507036149102e-09,2.574139479349924e-08
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,1.1502966579257645e-08
1814,0.0,1.8880061958270744e-08
1815,1.0788894222457657e-08,1.3486118000116676e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,1.0898113522728181e-08
1818,1.1921177378582115e-09,1.3113295338484932e-08
1819,0.0,3.8298885840504227e-08
1820,1.1866481131050932e-09,4.153268307049984e-08
1821,0.0,7.88919063410276e-09
1822,0.0,2.105379337535851e-08
1823,0.0,5.5343047478118024e-08
1824,0.0,1.2631669044083083e-08
1825,2.641632912414593e-09,1.4969252504215547e-08
1826,8.807984341885344e-10,1.3211976401805714e-08
1827,0.0,1.474763688946723e-08
1828,3.668920500743411e-09,1.3758452155343548e-08
1829,8.57317605795771e-10,1.1145129263923081e-08
1830,0.0,1.5655253093882493e-08
1831,1.5591206103948707e-09,2.3386808933878456e-08
1832,1.3529969367098715e-09,1.6235963684607668e-08
1833,2.3167257001688313e-09,4.2859426230279496e-08
1834,9.334530925997342e-10,5.600718555598405e-09
1835,3.781543966852041e-09,1.1344631900556124e-08
1836,0.0,2.688300027031687e-09
1837,1.3915781860163179e-09,1.1828414692161004e-08
1838,6.312161904276081e-10,5.049729523420865e-09
1839,0.0,1.1885507689157748e-08
1840,1.2739377330817092e-09,7.0066574764382494e-09
1841,6.420548537278137e-10,9.630822361827995e-09
1842,6.708265054555795e-10,2.683306021822318e-09
1843,3.5441467538532834e-09,8.860366662588604e-09
1844,0.0,4.390849017710252e-09
1845,3.348136878855712e-09,7.812318791877715e-09
1846,2.9272506640865004e-09,9.952652035849496e-09
1847,1.0786447290911383e-09,1.4022381478184798e-08
1848,3.218088684420195e-09,5.63165514222419e-09
1849,1.6758829879393033e-09,4.1897072478036534e-09
