year,ces_DET yeux_NOUN,ces_DET pieux_ADJ
1800,1.4651806452548044e-06,3.678672584328524e-07
1801,1.500145003774378e-06,2.881230800610979e-07
1802,8.459035711894103e-07,3.3343818017783633e-07
1803,1.273571541560159e-06,3.198556370875849e-07
1804,1.399067642182672e-06,3.460591315729289e-07
1805,1.3247809675931421e-06,3.6957411353455427e-07
1806,1.1324959672265322e-06,4.1207867162995626e-07
1807,8.76862159771008e-07,2.818485498323753e-07
1808,1.264469290163106e-06,4.3055405285485904e-07
1809,9.917144296878178e-07,4.314748345279895e-07
1810,1.095179300136806e-06,5.756711871640618e-07
1811,1.318722354426427e-06,3.7606152503144585e-07
1812,8.935147590705128e-07,5.761169745710504e-07
1813,1.0611486942480042e-06,2.2430784696325645e-07
1814,7.457624917606154e-07,2.8634762649915046e-07
1815,6.527281044554911e-07,4.477390991297625e-07
1816,9.061831178769353e-07,4.125334811533321e-07
1817,1.033763922464459e-06,3.8454771811302635e-07
1818,1.0884035077651788e-06,2.8491614401104925e-07
1819,1.0237188661221808e-06,4.802887332289174e-07
1820,1.4346575767376635e-06,4.532995916406435e-07
1821,1.1892954745462703e-06,4.6940684228502505e-07
1822,1.2732531757819743e-06,4.1004769002483954e-07
1823,1.164180517321256e-06,3.221755804361237e-07
1824,1.013901965052355e-06,4.926350811729208e-07
1825,1.0575336801821322e-06,6.287086122824803e-07
1826,8.085729845674905e-07,4.632999903719792e-07
1827,7.751726940341541e-07,4.4795945797204695e-07
1828,8.667824431540794e-07,4.613667563546642e-07
1829,9.421920736940592e-07,4.252295404683082e-07
1830,1.1772751236094336e-06,5.740259751974008e-07
1831,1.3174569488683119e-06,3.6639334588528527e-07
1832,1.6046543152015147e-06,4.1807604134191934e-07
1833,1.2510318470049242e-06,4.818789527405443e-07
1834,1.05573546704818e-06,4.564585580624225e-07
1835,1.3152210271982767e-06,4.999201195232672e-07
1836,1.182851960379594e-06,4.859102347154476e-07
1837,1.0993468038122955e-06,3.9590399936173526e-07
1838,9.335687209954813e-07,4.0019105185251647e-07
1839,8.263923803042417e-07,4.3067486643622033e-07
1840,8.236007644768506e-07,4.860072522205883e-07
1841,9.104337692633635e-07,5.059392194084467e-07
1842,1.0719807477244103e-06,5.708733610276795e-07
1843,9.533754479207346e-07,6.190442931597318e-07
1844,9.654379482526565e-07,6.218540065106026e-07
1845,1.0853542917743653e-06,5.6192893183038e-07
1846,8.875424271082011e-07,5.374432348048686e-07
1847,6.347824026420312e-07,4.870081014018979e-07
1848,7.996950159849803e-07,4.5777310830885654e-07
1849,8.58052082719496e-07,4.1561898100894723e-07
1850,7.637620598188732e-07,5.743490838483467e-07
1851,7.977955576166096e-07,5.54651752082691e-07
1852,9.511906924331015e-07,6.009233395332103e-07
1853,8.599581917678734e-07,5.619587852834229e-07
1854,1.2973573859653698e-06,7.081690469590285e-07
1855,1.3309798134741868e-06,5.874779134273922e-07
1856,1.0292252170529537e-06,6.839067090425033e-07
1857,9.977804324989847e-07,4.964494806358744e-07
1858,1.1049920445316275e-06,5.025805123182181e-07
1859,1.32192815271992e-06,5.107450000707559e-07
1860,1.2692531328184486e-06,4.870123788691672e-07
1861,1.2784977911906026e-06,4.866874689923861e-07
1862,1.2212116757837066e-06,4.441180543324208e-07
1863,1.2961041448988908e-06,5.254341033378296e-07
1864,1.121007358051429e-06,4.885827813438937e-07
1865,1.3292128926423175e-06,5.290493021448128e-07
1866,1.157042760269178e-06,4.778031907903824e-07
1867,1.3447140645439504e-06,4.852811557043424e-07
1868,1.0852903713498563e-06,4.470585928117998e-07
1869,1.41426717448212e-06,4.1461078481574987e-07
1870,1.1445161760548217e-06,3.451897505613033e-07
1871,1.1407144455688467e-06,2.8464753754064986e-07
1872,1.168346003055376e-06,3.652592859282322e-07
1873,1.1786442470906877e-06,3.130680319429757e-07
1874,1.1973117324259874e-06,2.8797616025144634e-07
1875,1.219829584897525e-06,3.301321296333981e-07
1876,1.3778868179770143e-06,2.9141791557663055e-07
1877,1.2920080507683451e-06,3.2470284061503207e-07
1878,1.0544248709720705e-06,3.6778050827024344e-07
1879,1.2243088320929019e-06,2.840836295092686e-07
1880,1.0043929279390795e-06,3.086983966227308e-07
1881,1.1978767631148912e-06,2.670470387045043e-07
1882,1.2944724545604913e-06,2.8618156378001913e-07
1883,1.2379585569988194e-06,2.7299543958747563e-07
1884,1.2219741307717413e-06,3.010373781364706e-07
1885,1.1202515253216916e-06,2.539580510330097e-07
1886,1.1241934529948594e-06,2.5942924963828773e-07
1887,1.455950183526511e-06,2.409173198714143e-07
1888,1.280170074835496e-06,2.6820799980953325e-07
1889,1.3676793599870507e-06,2.7566601268347313e-07
1890,1.267618358724576e-06,2.6283089837875195e-07
1891,1.379381174615446e-06,2.2182285164262794e-07
1892,1.3665356775049986e-06,2.494867903379827e-07
1893,1.3991922429568149e-06,2.007643775669976e-07
1894,1.5779054081122013e-06,2.1425233498462148e-07
1895,1.302428181304549e-06,1.9440125420544518e-07
1896,1.3162168173153077e-06,2.04037199580398e-07
1897,1.2667274944533347e-06,2.0626565877535086e-07
1898,1.2448380246610213e-06,1.895548837893557e-07
1899,1.434959330026686e-06,2.0783694054671287e-07
1900,1.445708264213863e-06,1.754575933432534e-07
1901,1.3267666361116426e-06,1.8386950628723753e-07
1902,1.3635858522320632e-06,1.684227282083839e-07
1903,1.3403346628138024e-06,1.5714640966280058e-07
1904,1.2173525760772463e-06,1.8488710384900742e-07
1905,1.427466003178779e-06,1.3211543237190426e-07
1906,1.4794674996210233e-06,1.4609484422223318e-07
1907,1.241482422642548e-06,1.2805679716620944e-07
1908,1.382064894528412e-06,1.3457206726741333e-07
1909,1.5078196042850323e-06,1.51277040671971e-07
1910,1.6155366893144674e-06,1.5391153773691713e-07
1911,1.4668271859363813e-06,1.255608266248487e-07
1912,1.4190463133445519e-06,1.0783502091271657e-07
1913,1.5304428018225735e-06,1.368171318461009e-07
1914,1.4089948336959424e-06,1.305865007239504e-07
1915,1.2134184999013087e-06,8.717763533283573e-08
1916,1.5151710073268987e-06,1.2745455890694757e-07
1917,1.3444836781673075e-06,1.579165100906721e-07
1918,1.5483635849022903e-06,1.0452602516863863e-07
1919,1.7669860596924991e-06,1.1601889227108586e-07
1920,1.7211682177276089e-06,1.6128854074537458e-07
1921,1.7379455385935216e-06,1.1056211057791643e-07
1922,1.9234277885971096e-06,9.6650952130517e-08
1923,1.8121423295269778e-06,1.1889861717406802e-07
1924,1.8061166144889285e-06,1.1860294701904195e-07
