year,succès_NOUN heureux_ADJ
1800,1.9493819536364754e-07
1801,1.7144515140898875e-07
1802,1.3427040812530322e-07
1803,2.2623935080900992e-07
1804,2.9909395493632474e-07
1805,2.4164461365216994e-07
1806,2.4494187300660997e-07
1807,1.4519470425966574e-07
1808,2.4246992325061e-07
1809,2.1686693685296632e-07
1810,2.2465216886757844e-07
1811,1.6546707115594472e-07
1812,1.5469807124190993e-07
1813,2.0992914073758584e-07
1814,3.776012391654149e-08
1815,1.6183341244868643e-07
1816,1.0892738089296472e-07
1817,1.4167548556542897e-07
1818,1.7643343142026424e-07
1819,2.2151246525936585e-07
1820,1.6375743427943235e-07
1821,1.2819934624985763e-07
1822,2.0853281057497952e-07
1823,1.2649839220557624e-07
1824,1.1200079796935825e-07
1825,9.333769668273817e-08
1826,1.4797413427913853e-07
1827,1.2904182256079366e-07
1828,1.7060480672626e-07
1829,1.937537774665543e-07
1830,8.871310797076148e-08
1831,6.080570358335535e-08
1832,9.470978312720035e-08
1833,1.01935931695607e-07
1834,3.9205030333278046e-08
1835,7.487457054367042e-08
1836,9.274634749090183e-08
1837,9.462731753728804e-08
1838,1.2371837954106013e-07
1839,1.0417298312859202e-07
1840,7.96211097053856e-08
1841,4.173356416004026e-08
1842,7.110760691375617e-08
1843,4.548321541619771e-08
1844,6.970472554712615e-08
1845,6.919482586908998e-08
1846,1.6334058727807133e-07
1847,7.33478415781974e-08
1848,3.298540818263973e-08
1849,2.0948537127196687e-08
1850,9.233034603539636e-08
1851,7.997304152240758e-08
1852,4.427170807730363e-08
1853,7.405195390219887e-08
1854,1.1066765637224307e-07
1855,6.04990830765928e-08
1856,3.7793480345271746e-08
1857,5.3208449202202246e-08
1858,6.85114613929727e-08
1859,4.379269213927728e-08
1860,3.4786598490654796e-08
1861,3.395494019287071e-08
1862,6.505900529418795e-08
1863,4.295374012031061e-08
1864,3.835782536043553e-08
1865,4.6597758540656287e-08
1866,5.5954547661940524e-08
1867,4.173417877950669e-08
1868,1.778354707937524e-08
1869,4.785848872757015e-08
1870,1.3761717099214366e-08
1871,1.805600113868877e-08
1872,3.8702971494330995e-08
1873,4.7289436366781956e-08
1874,2.3300975371398636e-08
1875,3.6045619822289154e-08
1876,2.8416270225761764e-08
1877,6.061119961486838e-08
1878,4.891661831152305e-08
1879,1.649517855639715e-08
1880,2.1820676820993867e-08
1881,1.8825771164188154e-08
1882,2.3959387362992857e-08
1883,4.3603439081607576e-08
1884,3.762967182296961e-08
1885,1.9981470700258797e-08
1886,2.710454793941608e-08
1887,3.0685946228459215e-08
1888,2.9166827175686194e-08
1889,2.8193115397812107e-08
1890,1.7696843102044113e-08
1891,1.7210394887001712e-08
1892,2.4447198043731078e-08
1893,1.970693297437265e-08
1894,1.827446460822557e-08
1895,1.1435367319734269e-08
1896,2.7716035688740703e-08
1897,3.088158351260972e-08
1898,2.0370077180587032e-08
1899,1.5477219506010442e-08
1900,1.764958135197503e-08
1901,2.179608138419553e-08
1902,1.3748794991386148e-08
1903,7.560307935250421e-09
1904,2.364835083312755e-08
1905,2.3223416079076742e-08
1906,3.189394348623864e-08
1907,2.828563872014911e-08
1908,1.8663278922304016e-08
1909,3.795678793494517e-08
1910,2.1911017000775246e-08
1911,1.702519725199636e-08
1912,2.6568049094066737e-08
1913,1.2196876397752021e-08
1914,2.1429579888376793e-08
1915,3.062998032987707e-08
1916,2.7468654906215306e-08
1917,2.52227767560953e-08
1918,1.1486376294556067e-08
1919,1.2890987832747669e-08
1920,2.1202248845497706e-08
1921,6.058197943303867e-09
1922,6.640141769764796e-09
1923,3.6094224498128824e-08
1924,1.0313299547703991e-08
1925,1.0998178368026856e-08
1926,1.671920735191179e-08
1927,1.4493992672726108e-08
1928,1.7139061725401916e-08
1929,3.0079096546842266e-08
1930,9.453243521306831e-09
1931,1.4826963656844327e-08
1932,1.9727165678773417e-08
1933,1.3764794637438627e-08
1934,1.1981580172459871e-08
1935,1.795242710045386e-08
1936,2.0612015205756506e-08
1937,1.6368453259474336e-08
1938,1.2965214679638848e-08
1939,3.058810094103137e-08
1940,7.607348528892999e-09
1941,1.7709016475464523e-08
1942,1.2136847082899749e-08
1943,2.6129116648121453e-08
1944,9.639558484764166e-09
1945,8.714016175304096e-09
1946,1.8097434661967782e-08
1947,1.549713246618012e-08
1948,1.195907639583993e-08
1949,1.47255123650325e-08
1950,1.808011518278363e-08
1951,1.3859822622919182e-08
1952,6.326882129314981e-09
1953,1.2928593307037772e-08
1954,7.818028890937967e-09
1955,7.508486277174597e-09
1956,1.4825940475304833e-08
1957,1.9437083054185678e-08
1958,1.2408365002158916e-08
1959,6.200598257066758e-09
1960,1.4533750203327145e-08
1961,1.80652133252579e-08
1962,2.8538803320543593e-08
1963,1.939815952312074e-08
1964,1.9468698653213323e-08
1965,1.3680108601477059e-08
1966,8.862519607077957e-09
1967,2.267954357648705e-08
1968,1.7067380397861598e-08
1969,1.9529558414888015e-08
1970,1.7935027685211935e-08
1971,2.928886644326667e-08
1972,1.6416469961200164e-08
1973,2.0950174928202614e-08
1974,6.750686232237513e-09
1975,1.6563292959403952e-08
1976,9.141642998145016e-09
1977,1.704266772151186e-08
1978,1.1881182260253809e-08
1979,1.2289143924704149e-08
1980,4.548120546843393e-09
1981,1.0753434587229549e-08
1982,1.2415004135846175e-08
1983,1.5788289786655696e-08
1984,1.333771937339634e-08
1985,4.812446441349039e-09
1986,1.7384007122700496e-08
1987,2.627651163322753e-08
1988,1.0793796967334401e-08
1989,1.6464365870660913e-08
1990,6.538381391862913e-09
1991,8.20605094986604e-09
1992,9.91789939064347e-09
1993,4.985286850001103e-09
1994,1.1077346151466827e-08
1995,1.0302656505700725e-08
1996,9.074756945892659e-09
1997,7.671831170341648e-09
1998,6.198567881199324e-09
1999,1.1882523409667556e-08
2000,6.185244316725402e-09
2001,1.0076787404500465e-08
2002,9.63868718173444e-09
2003,9.167230530238157e-09
2004,4.845270407116686e-09
2005,1.1259373877692269e-08
2006,9.471146533712727e-09
2007,6.391167151065247e-09
2008,9.366367237362283e-09
2009,7.1522885392028e-09
2010,5.668551850135373e-09
2011,4.206369030868018e-09
2012,1.191488419038933e-08
2013,6.693900100884775e-09
2014,6.063246349441442e-09
2015,1.573768493301486e-08
2016,1.1392370602436586e-08
2017,6.037467414898856e-09
2018,7.744399788123246e-09
2019,2.1938495464723928e-08
