year,ces_DET iles_NOUN,ces_DET piles_NOUN
1800,2.2952400957620966e-07,2.263798393187244e-07
1801,2.5954890969792643e-07,7.38166612279656e-08
1802,2.551137754380761e-07,1.4545960880241182e-07
1803,2.125869797975355e-07,1.0726865973254007e-07
1804,4.770672230591799e-07,1.408955085935304e-07
1805,1.4498676925711607e-07,1.819441806105715e-07
1806,1.7578181132904547e-07,2.881669125542885e-07
1807,3.3024679613191665e-07,1.679703558465917e-07
1808,2.5606635878361317e-07,3.852325791697808e-08
1809,2.50752382413566e-07,9.487928132045909e-08
1810,5.07807524030568e-07,1.2402671600852955e-07
1811,4.838658114181271e-07,1.3287506739345645e-07
1812,1.653669094991983e-07,6.668020802180763e-08
1813,2.041776518968419e-07,7.476928232108548e-08
1814,1.44747149377622e-07,1.510405018834149e-07
1815,1.0249449222676787e-07,3.3445573421886365e-07
1816,1.0197456745686395e-07,7.624916520398983e-07
1817,1.0431052022141785e-07,1.0431051900017252e-07
1818,1.0133000749590337e-07,5.6029533457291336e-08
1819,1.0972113195784061e-07,9.833497571776206e-08
1820,1.530776057023786e-07,6.763894244699031e-08
1821,1.2819934880337058e-07,1.1439326463857924e-07
1822,2.0552512580707116e-07,9.42407893944619e-08
1823,1.9567720066504535e-07,1.353928098524193e-07
1824,1.8021180814287163e-07,9.347435447892849e-08
1825,2.2101662167095526e-07,9.333769512842593e-08
1826,3.0387546656740483e-07,7.574866511816936e-08
1827,2.442577334837992e-07,1.861889167287245e-07
1828,2.2380415504175133e-07,2.907619460756905e-07
1829,4.466624755616877e-07,2.4262087805482224e-07
1830,1.9203777990028925e-07,1.0749940670962133e-07
1831,1.5747117698694524e-07,1.5747118764508627e-07
1832,2.55716420038965e-07,1.880665809750326e-07
1833,8.201208896441159e-07,1.2973663388038403e-07
1834,2.9310427596129784e-07,1.1388127774125678e-07
1835,3.7512914730086777e-07,9.302598158456021e-08
1836,2.574047193171225e-07,1.0417162776832356e-07
1837,3.833797962426999e-07,1.8438410709364916e-07
1838,4.248085065938767e-07,1.679035079860114e-07
1839,3.3139591604225416e-07,3.306967855110088e-07
1840,4.5989152175351933e-07,1.4522889735246736e-07
1841,3.338685270470876e-07,1.1813809308591772e-07
1842,2.864429156090864e-07,1.7307324284843162e-07
1843,4.140744707115118e-07,2.7053653184339055e-07
1844,2.810143364673223e-07,1.569728560468775e-07
1845,3.4262599513112946e-07,2.1483877077344005e-07
1846,3.711753784330085e-07,2.0842025172385092e-07
1847,3.7105379391277893e-07,2.0062791961095172e-07
1848,3.2904956581703004e-07,6.11436847819391e-08
1849,3.770736656250051e-07,1.7512977379396943e-07
1850,2.7020204296235306e-07,1.54110212591263e-07
1851,2.3604946530753068e-07,2.354045083308165e-07
1852,2.7214079700854654e-07,2.871150552863355e-07
1853,3.0815168550191174e-07,1.9289339725503396e-07
1854,2.2757009610074874e-07,2.7848762229609747e-07
1855,3.0143402085514026e-07,1.4965562655788744e-07
1856,2.2520773690359874e-07,2.3607982946316497e-07
1857,2.2064420956979802e-07,1.1959697410190984e-07
1858,1.766617074849819e-07,2.9166309190031825e-07
1859,2.1539893424460388e-07,2.3220309941507367e-07
1860,1.4463901543138036e-07,1.9041085508320066e-07
1861,1.6128595969888693e-07,1.93826107164341e-07
1862,1.7394247731061796e-07,1.8026764969647502e-07
1863,2.1526815974226565e-07,1.2936068172209048e-07
1864,1.8747385976958242e-07,2.6850476686490765e-07
1865,1.741532420496128e-07,1.1767111018912146e-07
1866,2.04355741661999e-07,2.3063004661594277e-07
1867,1.3927569142424545e-07,3.1591804372510524e-07
1868,1.4473830578509705e-07,4.5644436141856204e-07
1869,1.318550193474266e-07,2.2122341647445865e-07
1870,1.1869481175708074e-07,1.909438189784396e-07
1871,1.1258447996098653e-07,1.5082071058714064e-07
1872,1.215515206265394e-07,2.092379425278068e-07
1873,2.5260938296689517e-07,2.0232694453170552e-07
1874,9.141151990910146e-08,2.0433162717381492e-07
1875,1.2987866870872722e-07,4.468512742050734e-07
1876,1.348261280398333e-07,1.5840558376112313e-07
1877,1.224593546567121e-07,1.5894977778430075e-07
1878,1.3708731083639236e-07,2.1378373560310138e-07
1879,1.0141480155656524e-07,1.386816865789342e-07
1880,1.3284941902114156e-07,2.111471388843711e-07
1881,1.1992712645181314e-07,3.200381044621281e-07
1882,1.0981385645258968e-07,2.0698247737982456e-07
1883,1.162758399009256e-07,2.066423903102077e-07
1884,1.802263236427848e-07,2.317195608725342e-07
1885,1.5533982034021676e-07,2.6491562010733105e-07
1886,2.9363261333514856e-07,2.0586549354106864e-07
1887,1.358016349373159e-07,2.1153716289745716e-07
1888,2.3143244010093156e-07,2.8976608490438593e-07
1889,1.9296621045494788e-07,3.094977572004609e-07
1890,2.0384142374041403e-07,3.545923092929115e-07
1891,1.823026873903899e-07,2.3202160548407846e-07
1892,2.613969622977663e-07,1.5984706180915964e-07
1893,2.0877031947641456e-07,1.2193664566950702e-07
1894,1.0964678542890738e-07,1.386338652764607e-07
1895,2.9370837761888424e-07,1.486597760447239e-07
1896,1.810387856293616e-07,1.3563166589847242e-07
1897,1.7771476845673817e-07,1.4450249352648825e-07
1898,1.9012072449697826e-07,1.4598555786449197e-07
1899,2.736151341053983e-07,1.5974701028653726e-07
1900,1.7805311758323228e-07,1.6092265298084385e-07
1901,1.905760034226489e-07,1.3301198897863742e-07
1902,1.8609976448757948e-07,2.9265291701108254e-07
1903,1.8360749054480152e-07,1.6416670334251648e-07
1904,1.2092906764848976e-07,1.7575025168525826e-07
1905,1.5637099670673393e-07,1.1818137934938022e-07
1906,1.7490227133265535e-07,1.6307064854004238e-07
1907,1.265139495387757e-07,1.4502818501682668e-07
1908,1.1639991792655735e-07,1.3751889582636068e-07
1909,1.2322203318815284e-07,2.0298628911064043e-07
1910,1.063485997043756e-07,1.2986286179739182e-07
1911,1.4258602731853642e-07,1.213045273118496e-07
1912,1.0835596098157652e-07,1.0939784367280936e-07
1913,1.5802909164586154e-07,1.5060490810014926e-07
1914,1.1116594267335245e-07,1.0379952719574703e-07
1915,1.1309531267045259e-07,1.6139643577162133e-07
1916,9.998590644322292e-08,9.339342810221751e-08
1917,8.115154259691337e-08,1.3269373511093363e-07
1918,1.1371512442792664e-07,1.3783650931742386e-07
1919,1.0036554504155859e-07,8.563298781183448e-08
