year,belles_ADJ eaux_NOUN,belles_ADJ peaux_NOUN
1800,1.1004575384276905e-07,1.320549074534938e-07
1801,2.0001934331048687e-07,1.262026785298076e-07
1802,2.0811913259422e-07,6.265952379180817e-08
1803,1.560271414291492e-07,1.755305234496518e-08
1804,2.1999473176492756e-07,1.1370514130248921e-07
1805,2.3595885068061762e-07,2.55858996212055e-08
1806,2.7664023605211696e-07,2.5935023018064385e-08
1807,1.195721210933698e-07,2.8469551160981155e-09
1808,1.9714843801921234e-07,3.172503681980743e-08
1809,8.584316191218022e-08,5.1957702140725814e-08
1810,1.3338723192646285e-07,5.3822915901946544e-08
1811,1.9805906958936248e-07,2.2563691359778204e-08
1812,1.7070132685148565e-07,4.800974906515876e-08
1813,1.00650957790549e-07,0.0
1814,1.1328037885505182e-07,3.1466771410748606e-09
1815,7.552225866902518e-08,2.4275012222574333e-08
1816,1.5296186006708012e-07,6.721051448721482e-08
1817,3.0826092256575066e-07,6.227493631882908e-09
1818,1.7524131123991538e-07,2.8610825708597076e-08
1819,1.635465878280229e-07,3.726378139390363e-08
1820,1.6375743427943235e-07,9.137190204455692e-08
1821,1.2129630988511053e-07,2.859831660373402e-08
1822,1.6442010064565693e-07,3.709477880420309e-08
1823,1.591112521737159e-07,1.8777104315859106e-08
1824,1.8947503122035414e-07,5.894778887238772e-09
1825,1.9548083685094753e-07,3.6982861217893515e-08
1826,1.2859656806085695e-07,4.315912249808207e-08
1827,1.2258972503786936e-07,2.5808365222701468e-08
1828,1.5226019911551703e-07,4.677873732816806e-08
1829,1.4488666977285902e-07,1.0287811491593857e-08
1830,1.6594569274275273e-07,2.817945699007396e-08
1831,2.47900175054383e-07,2.494592976631793e-08
1832,1.1906372776593344e-07,3.2471927369215337e-08
1833,2.189305803312891e-07,3.938433579264711e-08
1834,1.941582468134584e-07,5.3206825612051034e-08
1835,2.6546439357844065e-07,4.0084366048631637e-08
1836,1.8952515290493466e-07,1.8146025126952736e-08
1837,1.4333255649034982e-07,5.218418053232199e-08
1838,2.3228756163007347e-07,2.1461350030449466e-08
1839,2.0694766078577231e-07,1.957613093850341e-08
1840,1.4650284185790952e-07,2.993753511759678e-08
1841,2.3049769026783906e-07,4.55858959469424e-08
1842,1.448985216256915e-07,2.1466448174578545e-08
1843,1.9374668625005143e-07,1.8311423488626133e-08
1844,1.981370587600395e-07,2.9089374464774664e-08
1845,1.8526357337123045e-07,6.696273757711424e-09
1846,1.399225766363088e-07,1.5807152919933287e-08
1847,1.2296550266910344e-07,1.5101026207275936e-08
1848,1.0861049304367043e-07,3.620349886546137e-08
1849,1.2233945767547993e-07,5.446619866233959e-08
1850,1.5003681141934067e-07,2.987158254086353e-08
1851,1.3672810439402383e-07,1.870337307252612e-08
1852,1.386746220077839e-07,1.1718981340891332e-08
1853,2.01851293013533e-07,3.523439673358553e-08
1854,1.9639611537058954e-07,2.0263090760863633e-08
1855,2.0590915994489478e-07,1.963566731433275e-08
1856,1.8171934357269492e-07,2.5368226630462232e-08
1857,1.723172715628607e-07,1.8549734193129552e-08
1858,2.1189616461469996e-07,7.829881631948865e-09
1859,2.1539892713917652e-07,6.110608019582742e-09
