year,deux_DET oeufs_NOUN
1800,1.792173778270012e-07
1801,1.5239568051939045e-07
1802,1.1636768704192946e-07
1803,7.118738443168127e-07
1804,1.8786066657838774e-07
1805,2.5585899399160894e-08
1806,2.305335300434308e-08
1807,3.701041606518629e-08
1808,3.3991110370834576e-08
1809,2.710836710662079e-08
1810,2.8081521108447305e-08
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,4.3136124450171565e-08
1814,1.2586708564299443e-08
1815,4.0458352890127e-08
1816,1.622322720606917e-08
1817,9.029865566390072e-08
1818,1.2517236314124602e-07
1819,4.140420006848444e-09
1820,2.3732963150280284e-08
1821,1.7750679148775816e-08
1822,1.1028177482330648e-08
1823,4.644862983127496e-08
1824,1.0947446504872005e-08
1825,2.905796137042671e-08
1826,2.9947145208097936e-08
1827,1.3825909916942436e-08
1828,1.9261833017480967e-08
1829,1.2002446148073886e-08
1830,1.2524203230057651e-08
1831,2.494592976631793e-08
1832,5.411987746839486e-09
1833,1.7375443306377747e-08
1834,1.120143711119681e-08
1835,2.3445572594482655e-08
1836,1.7473950453261722e-08
1837,9.74104708006962e-09
1838,1.009945904684173e-08
1839,1.5381245721535208e-08
1840,1.7198159785181133e-08
1841,1.4767261635739715e-08
1842,1.0062397581833693e-08
1843,7.088293230150811e-09
1844,1.591682791124427e-08
1845,6.696273757711424e-09
1846,1.1123552079439492e-08
1847,7.011190739092399e-09
1848,1.0458788002321029e-08
1849,1.5920887719289567e-08
1850,1.5614690873633208e-08
1851,1.3543821175687754e-08
1852,2.6042181744401205e-09
1853,1.4332635966951557e-08
1854,6.754363734984281e-09
1855,7.960405667972736e-09
1856,8.28350277259915e-09
1857,6.345961978126979e-09
1858,1.1744822003834088e-08
1859,3.5645213447565993e-09
1860,5.034902272882391e-09
1861,5.187559992680946e-09
1862,3.6595690033891515e-08
1863,1.148762801550518e-08
1864,7.1920918109924514e-09
1865,6.118897832863013e-09
1866,3.8924903300596725e-09
1867,9.7056229719783e-10
1868,9.385760613156435e-09
1869,3.4184632902167778e-09
1870,5.160643912205387e-09
1871,4.248470908407853e-09
1872,9.071008721939222e-09
1873,6.58460502789282e-09
1874,9.559374625212058e-09
1875,6.293679688518239e-09
1876,5.441413541973361e-09
1877,8.658742389755503e-09
1878,1.8117265465633636e-09
1879,9.163987568783227e-09
1880,6.417846032391594e-09
1881,8.367009307619355e-09
1882,3.9932310791357395e-09
1883,7.583206618200222e-09
1884,5.281357573494461e-09
1885,1.0957580676151935e-08
1886,7.744156427236248e-09
1887,3.9173548849191775e-09
1888,7.60873763994141e-09
1889,8.14467782106476e-09
1890,1.245333464128251e-08
1891,5.099376032546843e-09
1892,1.002961980134387e-08
1893,2.0938616618337846e-08
1894,1.1972924207626079e-08
1895,7.22233739480771e-09
1896,6.486731873867058e-09
1897,7.574727511894253e-09
1898,7.921696743018458e-09
1899,1.3818945987509323e-08
1900,1.3496738171525635e-08
1901,6.14761275219422e-09
1902,1.276673833316977e-08
1903,7.560308379339631e-09
1904,5.374625189347171e-09
1905,1.8062656703676794e-08
1906,7.201858387428928e-09
1907,1.3371392937333582e-08
1908,1.3260750053589732e-08
1909,1.3202360427122528e-08
1910,1.0153886287334046e-08
1911,2.3409646110472693e-08
1912,1.458637982620914e-08
1913,1.007568034561146e-08
1914,1.3393487763302403e-08
1915,3.534228543156104e-08
1916,4.394984820521586e-09
1917,8.773139548168274e-09
1918,1.1486376294556067e-08
1919,1.012863304339362e-08
1920,8.329454903588385e-09
1921,1.287367074054302e-08
1922,1.4018077698629838e-08
1923,2.5478275045287546e-08
1924,2.7072411756812187e-08
1925,2.0896537389347714e-08
1926,3.1209186346359274e-08
1927,2.3413372574054847e-08
1928,1.3711249802206282e-08
1929,2.2280812750352652e-08
1930,2.100720719599991e-08
1931,1.9389106320488736e-08
1932,1.7535258800549514e-08
1933,4.588264879146209e-09
1934,1.0783422155213884e-08
1935,8.377798899061872e-09
1936,8.487299751891442e-09
1937,1.3850230295986421e-08
1938,1.555825723809079e-08
1939,1.070583532936098e-08
1940,2.2822046474857416e-08
1941,1.4757512545315876e-08
1942,9.102635312174812e-09
1943,1.161294105322952e-08
1944,6.4263723231761105e-09
1945,1.9606536838523425e-08
1946,1.8097434661967782e-08
1947,1.1920871401116528e-08
1948,3.479004129225416e-08
1949,1.7670614971265763e-08
1950,1.3825970146541522e-08
1951,2.8785785421980847e-08
1952,2.9525451195056007e-08
1953,2.2625037843226892e-08
1954,2.1499579672124014e-08
1955,1.407841221379158e-08
1956,2.8779767902165077e-08
1957,2.650511243817988e-08
1958,2.2335057803246627e-08
1959,1.4726421193600459e-08
1960,2.0762499552962055e-08
1961,1.8760030306985698e-08
1962,1.7123282014530616e-08
1963,1.6165133009948818e-08
1964,1.3384730435106462e-08
1965,8.755269675919664e-09
1966,1.1632056873267516e-08
1967,1.5284040255636455e-08
1968,1.1228539820162808e-08
1969,8.175164045720607e-09
1970,1.9314645188783786e-08
1971,1.2332154297745035e-08
1972,2.0520588228656322e-08
1973,1.8744892527067236e-08
1974,1.63141580800108e-08
1975,2.056132863970106e-08
1976,1.656922776760439e-08
1977,3.2322300835829765e-08
1978,2.851483826837864e-08
1979,1.4044735929807928e-08
1980,2.103505747363954e-08
1981,1.707898356073656e-08
1982,2.0484757001781873e-08
1983,1.9577480414589843e-08
1984,3.0154843622121064e-08
1985,3.729645892125433e-08
1986,2.517683933556114e-08
1987,2.3221103706561053e-08
1988,3.4180356101032316e-08
1989,2.7989423445617945e-08
1990,2.3974065010978762e-08
1991,2.520429964736337e-08
1992,2.148878253116493e-08
1993,3.268132542366686e-08
1994,3.0594573541264936e-08
1995,2.8738989577004048e-08
1996,3.4163788686925045e-08
1997,2.5892430755014573e-08
1998,2.3363833201450745e-08
1999,1.2796562837147363e-08
2000,2.164835433138279e-08
2001,1.664860427297299e-08
2002,1.79630080254789e-08
2003,1.5417615628621206e-08
2004,1.0571499231559756e-08
2005,2.657212228029948e-08
2006,1.5647981743693862e-08
2007,7.589511158423434e-09
2008,1.3198063253394565e-08
2009,1.0966842323156811e-08
2010,7.085689646135762e-09
2011,7.265546830836911e-09
2012,8.510632198976964e-09
2013,1.1993238013818797e-08
2014,9.961047819917468e-09
2015,7.536356275150702e-09
2016,4.97121616094276e-09
2017,3.5218559180094644e-09
2018,2.0393587263356494e-08
2019,1.938750648911025e-08
