year,des_DET airs_NOUN,des_DET pères_NOUN
1800,1.9305169658423438e-06,1.5469289125213948e-06
1801,1.514432067750704e-06,1.2167842602384127e-06
1802,1.609007057368217e-06,1.7208990925610124e-06
1803,1.7045964781914336e-06,1.6870434675908541e-06
1804,2.031861363605003e-06,1.8613037275905242e-06
1805,1.6289689126480766e-06,1.8592420294449852e-06
1806,2.4321286673512077e-06,1.5359296821060298e-06
1807,1.6853974180719433e-06,2.0412668071401185e-06
1808,1.8400520644945573e-06,1.7766019553278056e-06
1809,1.6468332475483294e-06,1.6852367252795375e-06
1810,2.5975406430234216e-06,2.0359102776978943e-06
1811,2.2062274780410007e-06,1.30618701987828e-06
1812,1.7150148821087896e-06,1.4803005163877003e-06
1813,2.2286997882758897e-06,1.6104153601759208e-06
1814,2.0359000529879268e-06,1.875419586738758e-06
1815,1.151714417169103e-06,2.0660732573674068e-06
1816,1.3418926556596489e-06,1.5273009665861537e-06
1817,1.6627408570002444e-06,1.8215418784439663e-06
1818,1.6308170760481744e-06,1.7595657517688323e-06
1819,1.495726777989148e-06,1.7741699904760821e-06
1820,1.940169710223927e-06,1.6779204159433903e-06
1821,1.4900709235377008e-06,2.0452726832154156e-06
1822,1.6903187969319333e-06,1.9660233334661825e-06
1823,1.6691858242268154e-06,1.6454673780197382e-06
1824,1.5318003860897988e-06,1.9469612473344e-06
1825,1.7681329573804305e-06,1.7804606229354647e-06
1826,1.4621254500468694e-06,1.6638282716030517e-06
1827,1.1825761010442193e-06,2.0056785934308152e-06
1828,1.3740107824844472e-06,1.8647288524409333e-06
1829,1.3717082136821546e-06,1.810654780776133e-06
1830,1.652151127018442e-06,1.7085100147973264e-06
1831,1.4437456314908559e-06,1.5482068300709528e-06
1832,1.6290083664216581e-06,1.3421729754270473e-06
1833,1.692368128303201e-06,1.3402258454142668e-06
1834,1.4617875230271693e-06,1.5131274533342065e-06
1835,2.072286044096927e-06,1.6222823617795257e-06
1836,1.4785650712667575e-06,1.7581482407713622e-06
1837,1.4423708147859315e-06,1.49455500575435e-06
1838,1.5433235649453536e-06,1.5351178213052208e-06
1839,1.7059199706181971e-06,1.3109016134826845e-06
1840,1.4790416997811917e-06,1.6535712061838126e-06
1841,1.596790447422336e-06,1.7701452694751652e-06
1842,1.6992035796192795e-06,1.6267542743975127e-06
1843,1.7130041811697083e-06,2.064465371987012e-06
1844,1.6449218165348611e-06,1.9072750490067847e-06
1845,1.343718853519249e-06,1.962008151501493e-06
1846,1.5087050151407766e-06,1.7247360402095069e-06
1847,1.3671822181038351e-06,1.663809492846724e-06
1848,1.5519232903216107e-06,1.5495096893358706e-06
1849,1.539298523312027e-06,1.4622078967629903e-06
1850,1.2220192786571715e-06,1.7576711321964922e-06
1851,1.2756989651308004e-06,1.8993596917482591e-06
1852,1.5840156546431672e-06,1.669954873051438e-06
1853,1.6166019918273378e-06,1.48402503796774e-06
1854,1.4360816216196781e-06,1.737949735680644e-06
1855,1.7979903113030105e-06,1.514599826890617e-06
1856,1.812533945155792e-06,1.77008097601572e-06
1857,1.770035183312757e-06,1.3541305818876026e-06
1858,1.914895452870269e-06,1.5126352597150117e-06
1859,1.8591524533206893e-06,1.5169584441920847e-06
1860,1.9251635201555928e-06,1.5608196779481887e-06
1861,1.9288291834840265e-06,1.4836421549091483e-06
1862,1.8026765253864596e-06,1.5035858322853812e-06
1863,1.7641001193169359e-06,1.712655526731055e-06
1864,1.7898718951414594e-06,1.6345227464853451e-06
1865,1.7490633963390678e-06,1.6233906681151211e-06
1866,1.8270376607176786e-06,1.5239099315778049e-06
1867,1.8125251433076528e-06,1.3859629675039287e-06
