year,serez_VERB à_ADP,serez_VERB a_ADP,serez_VERB pas_ADV
1800,2.389564883742423e-07,0.0,1.0218534498562803e-06
1801,4.071822274909209e-07,2.3811825844433088e-09,1.023908566821774e-06
1802,2.886813774694019e-07,0.0,7.854819159547333e-07
1803,3.3155765777337365e-07,0.0,1.1077926274083438e-06
1804,4.894264975519036e-07,0.0,1.038177401824214e-06
1805,5.628897952192347e-07,0.0,9.694213076727465e-07
1806,3.8326200524352316e-07,0.0,1.6166163732123096e-06
1807,3.188589801084163e-07,0.0,1.0106690524480655e-06
1808,1.8128591250388126e-07,4.5321479902327155e-09,7.342079584304884e-07
1809,3.162642769893864e-07,0.0,8.877989898792293e-07
1810,5.429093903330795e-07,0.0,1.6521295265192748e-06
1811,2.1811567307850055e-07,0.0,6.994744126131991e-07
1812,3.173977916048898e-07,0.0,1.0935553973467904e-06
1813,3.105801056335622e-07,0.0,1.3573500154961948e-06
1814,2.8320093292677484e-07,9.440031423224582e-09,9.062430308404146e-07
1815,2.939973740012647e-07,0.0,9.844866326602641e-07
1816,3.4995818509742094e-07,0.0,1.1078146826548618e-06
1817,5.044269641985011e-07,3.113746815941454e-09,1.1505294423841406e-06
1818,5.030736929256818e-07,1.1921177378582115e-09,1.0907876912824577e-06
1819,3.9955054376150656e-07,0.0,8.518914000887889e-07
1820,4.153268378104258e-07,1.1866481131050932e-09,1.199701273435494e-06
1821,7.189024699982838e-07,2.9584464877885353e-09,1.6636330428809742e-06
1822,5.363704644878453e-07,3.0076847679083585e-09,1.278266040571907e-06
1823,4.2693207547017664e-07,1.1859224713361982e-08,1.1246497706451919e-06
1824,3.4694983241934096e-07,1.6842225392110777e-09,1.0661128726496827e-06
1825,4.050503719099652e-07,4.402721520690989e-09,9.809263019633363e-07
1826,4.0516727040085243e-07,2.6423953025656033e-09,8.763944379097666e-07
1827,4.1201209910468606e-07,0.0,9.263359288524953e-07
1828,3.210305408174463e-07,9.172301251858528e-10,1.1281930483164615e-06
1829,2.571952677499212e-07,2.571952817387313e-09,1.1359458085280494e-06
1830,3.078866654959711e-07,2.0873671680021744e-09,9.466210144637444e-07
1831,4.3031730001530377e-07,1.5591206103948707e-09,1.0602020665828604e-06
1832,3.7342715586419217e-07,0.0,1.1094574574599392e-06
1833,4.343860666722321e-07,5.791814139399776e-09,9.185817475554359e-07
1834,2.931042786258331e-07,9.334530925997342e-10,9.353199743600271e-07
1835,3.350448025685182e-07,3.025235173481633e-09,9.945460988092236e-07
1836,3.676250344142318e-07,3.36037508930076e-09,1.0222261153103318e-06
1837,3.6668086522695376e-07,0.0,8.933931781029969e-07
1838,3.6168688666293747e-07,3.1560809521380406e-09,8.72972009346995e-07
1839,3.915226045592135e-07,1.3982950353153001e-08,9.221755590260727e-07
1840,3.605243819038151e-07,3.821813088222825e-09,9.223309120898193e-07
1841,2.998396269049408e-07,3.852329122366882e-09,9.104337550525088e-07
1842,3.6492963317869e-07,2.0124795163667386e-09,9.747109288582578e-07
1843,3.231080256682617e-07,4.725528968130277e-09,8.305116807605373e-07
1844,2.7497691235112143e-07,5.488561272137815e-10,9.895876473819953e-07
1845,3.0691253982695343e-07,1.674068439427856e-09,8.660513799441105e-07
1846,3.1028858415993454e-07,6.439951460990301e-09,8.512444651387341e-07
1847,2.03324532321858e-07,1.0786447290911383e-09,7.906465953055886e-07
1848,2.0756671403887594e-07,2.413566457803995e-09,8.503799335812801e-07
1849,1.6088476684217312e-07,0.0,7.315229026971792e-07
1850,2.3557815609365207e-07,2.7155984128057753e-09,7.75982243794715e-07
1851,2.902247331348917e-07,4.514607132577453e-09,7.126629952836083e-07
1852,2.8711505706269236e-07,5.208436348880241e-09,8.15120301922434e-07
1853,2.60376225469372e-07,0.0,8.563750384382729e-07
1854,3.403160349080281e-07,1.0391329130499116e-08,1.029780719363771e-06
1855,3.5397269471104664e-07,3.714855978387277e-09,8.974030833996949e-07
1856,2.6817841103365936e-07,5.177189232874468e-10,8.878879498297465e-07
1857,3.636724272837455e-07,2.440754542920587e-09,8.200935326385661e-07
1858,3.954090175284364e-07,3.425573102955326e-09,9.454582254875277e-07
1859,2.85161718238669e-07,2.036869339860914e-09,8.132200832733361e-07
1860,3.272686512900691e-07,3.2040287090140396e-09,8.920931691136502e-07
1861,3.2068552968667063e-07,2.8295781828724387e-09,9.884660130410339e-07
1862,4.3869647470273776e-07,0.0,9.365785444970243e-07
1863,3.7060087265672337e-07,9.989241656072068e-10,9.175118407256377e-07
1864,2.7377896572033933e-07,1.9178911792039344e-09,9.709324331197422e-07
1865,3.473651020158286e-07,9.41368871743009e-10,9.441930046705238e-07
1866,3.0750672408430546e-07,7.78498088216395e-09,9.161948923974705e-07
1867,3.018448637703841e-07,4.367530337390235e-09,7.740234195807716e-07
1868,4.3026304297200113e-07,4.93987406535723e-10,7.844520268918131e-07
1869,3.530784340455284e-07,4.395167341186834e-09,9.478910669713514e-07
1870,3.4060249731737713e-07,1.1468097582678638e-09,8.732956189305696e-07
1871,1.8374636567841662e-07,1.0621177271019633e-09,8.231412493842072e-07
1872,2.8301548127274145e-07,2.4189357183956872e-09,8.720263053874078e-07
1873,3.2504004821021226e-07,5.986004469882289e-10,8.194840006581217e-07
1874,2.6049295343000267e-07,1.7923826867161097e-09,6.978343662922271e-07
1875,3.461524045178521e-07,6.293679688518239e-09,8.113125318232051e-07
1876,3.0290533459265134e-07,9.673623679873344e-09,8.92391767592926e-07
1877,3.135701831524784e-07,4.9478527941460015e-09,7.502181915697292e-07
1878,2.518299879739061e-07,4.227361960484899e-09,7.34957097847655e-07
1879,3.4212220612062083e-07,1.2218650868867087e-08,1.0220901458524168e-06
1880,3.106237613792473e-07,3.2089231272180996e-09,8.89513501078909e-07
1881,3.7581816059173434e-07,4.8807553554297556e-09,8.876002084434731e-07
1882,3.347658719121682e-07,2.6621540527571597e-09,9.057978900273156e-07
1883,2.62884498170024e-07,1.2638677882037541e-09,7.039743650238961e-07
1884,2.7397041435506253e-07,3.300848483434038e-09,6.68751908960985e-07
1885,2.0948316148405866e-07,1.2891271383708158e-09,6.432744612538954e-07
1886,1.684354060671467e-07,6.453463874400711e-10,5.666141191795759e-07
1887,1.8150410596717848e-07,2.6115698492645834e-09,6.581155957974261e-07
1888,2.0099749065138894e-07,3.1703073499755874e-09,6.733732789143687e-07
1889,2.4120777197822463e-07,6.265136742733546e-10,6.290197234193329e-07
1890,2.7397334179113386e-07,1.3108772956016423e-09,7.150835585889581e-07
