year,vingt - deux parts
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,3.114948521343308e-09
1808,0.0
1809,0.0
1810,0.0
1811,2.7593034523931692e-09
1812,0.0
1813,3.1470654970888745e-09
1814,0.0
1815,2.9564175552110328e-09
1816,2.5331408082251983e-09
1817,3.4122471515019015e-09
1818,0.0
1819,1.1306090508256261e-09
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,3.0181963595055095e-09
1828,0.0
1829,2.8096480697570314e-09
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,2.489881634204494e-09
1836,5.87479176417105e-09
1837,7.590987838312913e-10
1838,0.0
1839,1.5285157584088438e-09
1840,0.0
1841,0.0
1842,0.0
1843,6.454178302917057e-10
1844,9.5743581951524e-09
1845,3.0502023129486133e-09
1846,6.406604691200357e-10
1847,5.301539651725307e-09
1848,0.0
1849,1.1009053224597665e-08
1850,7.430066562008619e-10
1851,7.05856872951216e-10
1852,0.0
1853,7.844450422567206e-09
1854,5.683183923466117e-10
1855,1.7453363199138039e-09
1856,0.0
1857,0.0
1858,0.0
1859,2.2297041990526623e-09
1860,1.0035964281840393e-09
1861,9.294918612567926e-09
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,2.163964563095533e-09
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,1.3110328378473923e-09
1875,0.0
1876,6.640830996218483e-09
1877,0.0
1878,5.9821538833659815e-09
1879,0.0
1880,1.4133966219631589e-09
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,7.812292146525124e-09
1886,5.689170023970291e-09
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,4.84203210859846e-09
1893,0.0
1894,1.3917619279268933e-09
1895,1.328391507904314e-09
1896,0.0
1897,0.0
1898,1.2485185107991015e-09
1899,6.10041017701235e-10
1900,0.0
1901,0.0
1902,0.0
1903,1.1921984510721018e-09
1904,0.0
1905,1.0256212767956185e-08
1906,0.0
1907,0.0
1908,1.0849728893091992e-09
1909,4.246246021466504e-09
1910,1.7695075404944305e-09
1911,0.0
1912,1.7243164673885758e-09
1913,0.0
1914,7.386593559033372e-10
1915,1.2988097264354792e-09
1916,4.837344302899282e-09
1917,2.41220465824199e-09
1918,0.0
1919,0.0
1920,0.0
1921,8.356959568800448e-10
1922,1.6287773352274826e-09
1923,0.0
1924,0.0
1925,1.2185186193391928e-09
1926,1.2345703348515258e-09
1927,3.702804063365761e-09
1928,1.2651650838080286e-09
1929,0.0
1930,0.0
1931,1.2628545986714812e-09
1932,0.0
1933,0.0
1934,1.8583847349873395e-08
1935,0.0
1936,2.684458655366484e-09
1937,1.3947590860041714e-09
1938,1.4344111454178687e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,1.081607470254653e-09
1950,0.0
1951,0.0
1952,0.0
1953,1.1908261043913626e-09
1954,0.0
1955,0.0
1956,0.0
1957,7.823021341835101e-09
1958,0.0
1959,0.0
1960,3.826682970498041e-09
1961,0.0
1962,3.497129030805013e-09
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,1.08637732143535e-09
1968,1.976373731338299e-09
1969,4.992740665343831e-10
1970,5.057877450198589e-10
1971,2.266532961314738e-09
1972,0.0
1973,1.2186562869942463e-09
1974,3.7315741607812924e-09
1975,1.2631133916585213e-09
1976,6.311368094813474e-10
1977,6.494660920175477e-10
1978,0.0
1979,6.441445155047631e-10
1980,0.0
1981,1.3925651742852097e-09
1982,1.3637428963875209e-09
1983,0.0
1984,6.368131577616509e-10
1985,6.608413816167058e-10
1986,0.0
1987,0.0
1988,0.0
1989,1.205561317441095e-09
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,1.154674023062796e-09
1995,0.0
1996,5.833531990795393e-10
1997,0.0
1998,0.0
1999,0.0
2000,1.4452057328639967e-09
2001,0.0
2002,0.0
2003,0.0
2004,4.796653629846048e-10
2005,0.0
2006,0.0
2007,8.726048217333471e-10
2008,4.6488379812359426e-10
2009,0.0
2010,5.176862827305229e-10
2011,4.19642653959329e-10
2012,0.0
2013,0.0
2014,0.0
2015,7.354249431656967e-10
2016,1.1462439886145148e-09
2017,0.0
2018,0.0
2019,0.0
