year,nos_DET oies_NOUN,nos_DET pois_NOUN
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,2.1430643926123594e-08,5.714838247072862e-08
1802,8.951360541686881e-09,2.2378401354217203e-08
1803,5.070882025393075e-08,5.851017448321727e-09
1804,1.4831105232815389e-08,4.6965166644596934e-08
1805,3.41145314219915e-08,3.1271653710973624e-08
1806,5.76333825108577e-09,2.881669125542885e-08
1807,8.540865792383556e-09,1.1387820464392462e-08
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,4.0662548883574345e-08,1.581321384946932e-08
1810,0.0,1.4040760554223652e-08
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,8.00162425207418e-09,0.0
1813,0.0,3.163315653864629e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,9.270415546325239e-09
1817,2.8023721676539992e-08,1.556873407970727e-09
1818,4.172412104708201e-08,4.530047448270125e-08
1819,7.24573512300708e-09,1.8631889475706487e-08
1820,1.6613073583471305e-08,3.4412794391869284e-08
1821,8.875339574387908e-09,2.9584463767662328e-09
1822,1.2030739071633434e-08,1.0025615893027862e-09
1823,5.929612023614084e-09,2.9648061783404955e-09
1824,1.1789557774477544e-08,0.0
1825,3.25801385869795e-08,1.6730341112491942e-08
1826,1.7615968683770689e-09,1.4092774947016551e-08
1827,7.373818444733615e-09,5.530363722527909e-09
1828,3.485474309172787e-08,2.109629271274116e-08
1829,2.5719527840806222e-08,2.0575622983187714e-08
1830,6.262101504006523e-09,4.905312778191728e-08
1831,1.5591206548037917e-08,0.0
1832,1.352996914505411e-08,8.117981842303834e-09
1833,2.3167257445777523e-08,2.3167256557599103e-08
1834,1.8669062296083894e-08,7.467624962842478e-09
1835,1.5882484660778573e-08,3.025235173481633e-09
1836,2.8899224790990274e-08,1.4113575197427508e-08
1837,2.574419688539109e-08,1.3915781860163179e-09
1838,1.325553999897977e-08,2.0830134062066463e-08
1839,8.389769878824893e-09,3.4957374772659477e-09
1840,1.2102408852854296e-08,1.46502836528839e-08
1841,3.017657901338566e-08,6.420548537278137e-09
1842,1.408735617047796e-08,8.720745015011744e-09
1843,6.497602123012314e-09,5.316219964246471e-09
1844,6.037417454862748e-09,2.744280691580059e-09
1845,5.5802281129224696e-09,3.348136878855712e-09
1846,3.5127007969038004e-09,1.7563503984519002e-09
1847,2.3730184928183462e-08,1.0247124926365814e-08
1848,2.011305477722658e-08,8.045221600028185e-09
1849,2.011059585527164e-08,4.1897072478036534e-09
1850,5.431196825611551e-09,8.82569484161877e-09
1851,1.2898877521649865e-08,1.0319101795275287e-08
1852,1.6276363812295358e-08,2.6042181744401205e-09
1853,1.5527023222716707e-08,1.0749477752369785e-08
1854,8.832629738719788e-09,7.793496792363186e-09
1855,9.021793090369101e-09,3.1841622671890946e-09
1856,8.28350277259915e-09,6.730345947225658e-09
1857,3.417056471111124e-09,8.78671624349181e-09
1858,9.29798454896158e-09,1.3212924865335651e-08
1859,1.171199848215565e-08,1.018434669930457e-08
1860,1.830873536112776e-09,7.323494255473406e-09
