year,es_VERB à_ADP,es_VERB pas_ADV
1800,9.118077315406481e-08,5.345079756580162e-08
1801,9.524730160137551e-08,9.762848662830947e-08
1802,8.727576528144709e-08,7.161088433349505e-08
1803,8.971560561121805e-08,3.705644502360883e-08
1804,7.662737999680758e-08,8.404293083685843e-08
1805,7.960057502032214e-08,4.264316544322355e-08
1806,4.8988376022407465e-08,4.3225035994964855e-08
1807,9.11025637151397e-08,6.263301344233696e-08
1808,7.251436784372345e-08,3.852325747288887e-08
1809,8.810219043198231e-08,5.873479480555943e-08
1810,7.722418615685456e-08,4.680253340438867e-08
1811,5.264861258069686e-08,7.521229861140455e-09
1812,5.601137331723294e-08,4.267533171287141e-08
1813,7.476928232108548e-08,4.888760685162197e-08
1814,1.4474714760126517e-07,8.496028414128887e-08
1815,3.776112933451259e-08,4.8550024445148665e-08
1816,6.025770460382773e-08,5.7940098940889584e-08
1817,8.56280379935015e-08,4.670620157298799e-08
1818,4.2916237674717195e-08,6.437435473571895e-08
1819,8.384350280721264e-08,8.591371170041384e-08
1820,6.289234733003468e-08,4.034603762193001e-08
1821,1.015733275266939e-07,1.065040748926549e-07
1822,1.2532019866284827e-07,8.120748873352568e-08
1823,8.499110748516614e-08,6.522573414713406e-08
1824,7.410579172528742e-08,7.579001248814166e-08
1825,7.220463515977826e-08,8.365170600654892e-08
1826,4.492072136486058e-08,4.4039921931471326e-08
1827,9.032927295038462e-08,3.041700225026034e-08
1828,6.879226077671774e-08,5.044765671868845e-08
1829,4.9724420136953995e-08,6.001223340490469e-08
1830,5.218418053232199e-08,1.0645572245948642e-07
1831,5.3010101197514814e-08,9.198811312671751e-08
1832,7.712082350508354e-08,7.170883975504694e-08
1833,7.29768601104297e-08,8.340212787061319e-08
1834,3.360431222176885e-08,7.28093425550469e-08
1835,6.504255622985511e-08,7.638718813041123e-08
1836,1.0820407680967037e-07,7.05678786516728e-08
1837,1.1271783506572319e-07,7.51452233771488e-08
1838,5.680945847075236e-08,7.069621688060579e-08
1839,6.082583325905944e-08,5.3135210009713774e-08
1840,8.407989326997267e-08,4.8409635411417185e-08
1841,6.805781538332667e-08,6.67737083404063e-08
1842,8.049917710195587e-08,9.056157779241403e-08
1843,3.898561473647533e-08,6.025049259505977e-08
1844,6.366730787021879e-08,5.708103856250091e-08
1845,9.87700374821543e-08,7.644912614068744e-08
1846,6.14722637237719e-08,4.859236213405893e-08
1847,7.5505127483666e-08,4.853901458545806e-08
1848,6.516629724728773e-08,4.34441957963827e-08
1849,3.016589289472904e-08,4.9438547478075634e-08
1850,5.7706465383944305e-08,6.245876704724651e-08
1851,5.7400004749297295e-08,3.5471913406581734e-08
1852,5.9245962802378926e-08,7.942865209997763e-08
1853,9.793968303029033e-08,6.389966955566706e-08
1854,5.923057599943604e-08,6.702406807335137e-08
1855,6.42139355022664e-08,6.739810487488285e-08
1856,6.989205303398194e-08,6.367942972929086e-08
1857,7.468708673741276e-08,7.371078680762366e-08
1858,8.563932851757272e-08,8.710743060191817e-08
1859,7.892868580938739e-08,5.601390640208592e-08
1860,8.330474798867726e-08,6.59114505197067e-08
1861,7.121105483065548e-08,1.0233641489776346e-07
1862,6.505900529418795e-08,7.725756745458057e-08
1863,8.840478926686046e-08,7.841554605647616e-08
1864,6.856460998960756e-08,8.918193827867071e-08
1865,7.719224726088214e-08,6.82492427017678e-08
1866,9.682569412916564e-08,1.0363755365006e-07
1867,6.842464017609018e-08,6.69687949539366e-08
1868,6.619431047738544e-08,4.00129813726835e-08
1869,8.301982745706482e-08,9.132180878168583e-08
1870,4.9886224928741285e-08,9.862564098739313e-08
1871,6.691341525311145e-08,6.372706451429622e-08
1872,7.861540751719076e-08,6.22875973022019e-08
1873,7.542365665358375e-08,7.063485440994555e-08
1874,9.43988212043223e-08,6.811054475974743e-08
1875,8.982797794487851e-08,8.410644625200803e-08
1876,6.831997012568536e-08,5.501873445723504e-08
1877,7.421779457672528e-08,7.916564470633602e-08
1878,4.287753085918666e-08,5.978697714681402e-08
1879,4.215434401544371e-08,7.02572435784532e-08
1880,6.032775701214632e-08,8.343199908722454e-08
1881,6.066081681410651e-08,7.181682804002776e-08
1882,7.254369904785563e-08,7.320923600673268e-08
1883,8.278333751832179e-08,7.077659347487497e-08
1884,6.271611852071146e-08,6.931782081665006e-08
1885,5.8655285073427876e-08,5.220964993668531e-08
1886,6.388929563172496e-08,5.6145136539953455e-08
1887,9.336362438716606e-08,4.570247114088488e-08
1888,6.404020780337305e-08,6.02358412038484e-08
1889,5.0121094830046786e-08,6.390439466485986e-08
1890,7.537544632896243e-08,7.472000618236052e-08
1891,4.3344694944380535e-08,5.673055980537356e-08
1892,8.274436424926535e-08,7.522214673372218e-08
1893,4.557228194812524e-08,5.357822274731916e-08
1894,6.994708456886656e-08,6.049477718761409e-08
1895,5.8982422501685505e-08,3.972285611553161e-08
1896,7.725108019940308e-08,3.833068973335685e-08
1897,4.311768009301886e-08,4.486569338268964e-08
1898,5.375436984422777e-08,6.224190229886517e-08
1899,6.743645997175918e-08,5.8039574923896e-08
1900,6.125442553184257e-08,3.5818267463127995e-08
1901,6.091725168744233e-08,4.135666742399735e-08
1902,6.481574388317313e-08,6.727088930347236e-08
1903,6.804277319361063e-08,6.53426681651581e-08
1904,6.71828175313749e-08,7.255744094436523e-08
1905,6.863809431933987e-08,5.470404573770793e-08
1906,9.053764671307363e-08,4.2696733260072506e-08
1907,8.331406320394308e-08,8.382834693065888e-08
1908,6.77771723189835e-08,3.5361999550787004e-08
1909,8.251475236420447e-08,5.886052534265218e-08
1910,8.283433317046729e-08,7.428369741546703e-08
1911,6.650467554436545e-08,5.586392859413536e-08
1912,6.668059171488494e-08,5.2094211611120045e-08
1913,7.954484715355647e-08,6.628737025948794e-08
1914,6.027069332503743e-08,5.357394883276356e-08
1915,6.008188790929125e-08,2.0027295377644805e-08
1916,7.581348882013117e-08,5.16410700868164e-08
1917,6.031533672512523e-08,7.128176093829097e-08
1918,8.729645628591243e-08,4.9391417178412667e-08
1919,8.287063479883727e-08,5.340552178267899e-08
1920,1.0146790430098918e-07,4.997673030970873e-08
1921,8.784387262039672e-08,5.83101567031008e-08
1922,8.853522359686394e-08,9.812654155894052e-08
1923,9.554353397334125e-08,7.325004247604738e-08
1924,7.992807127266133e-08,6.574728672603669e-08
1925,9.128487477028102e-08,7.588742789721437e-08
1926,8.693987751939858e-08,7.913758537370086e-08
1927,1.0257286930936971e-07,1.0257286930936971e-07
1928,9.255093402771308e-08,9.02657291135256e-08
1929,9.803557787790851e-08,9.023729319324048e-08
1930,8.612954616182833e-08,7.982738736700412e-08
1931,9.124285327288817e-08,6.386999729102172e-08
1932,8.110057336807586e-08,6.466126478699152e-08
1933,8.602996359741155e-08,4.473558234963093e-08
1934,8.866369682891673e-08,4.313368862085554e-08
1935,8.976213194955562e-08,7.659701850570855e-08
1936,6.062357016389797e-08,4.364897421282876e-08
1937,9.443338910841703e-08,5.666003133342201e-08
1938,9.983214965814113e-08,6.741911562357927e-08
1939,7.647025057622159e-08,4.435274547631707e-08
1940,7.100192078723921e-08,4.3108308034334186e-08
1941,5.60785480274717e-08,7.969057236323351e-08
1942,7.282108072104165e-08,6.068423630267716e-08
1943,7.258088174921795e-08,9.870999662098257e-08
1944,7.711646787811333e-08,6.105053529381621e-08
1945,1.3942425880486553e-07,1.1546071476686848e-07
1946,1.0023195073927127e-07,1.0162406027802717e-07
1947,1.0251949333905941e-07,1.1563244584067434e-07
1948,1.1850357850562432e-07,8.588791189367839e-08
1949,8.14811684790584e-08,7.559096104614582e-08
1950,1.2337019938968297e-07,1.0529007710147198e-07
1951,7.462980988748313e-08,7.569595084078173e-08
1952,8.857634981040974e-08,7.065018792218325e-08
1953,9.050015137290757e-08,8.295847209183194e-08
1954,1.0652064474925282e-07,9.6748109967848e-08
1955,6.945349895204345e-08,6.476069103200643e-08
1956,9.942101542037562e-08,9.854890237193104e-08
1957,1.0160293584249303e-07,8.746687285565713e-08
1958,8.603133494489157e-08,6.617794667818089e-08
1959,1.007597205671118e-07,6.820658171591276e-08
1960,7.751333441774477e-08,9.481541951572581e-08
1961,7.781938649031872e-08,1.0491720559002715e-07
1962,8.751899827075249e-08,8.625060843314714e-08
1963,8.211887347897573e-08,8.341208967976854e-08
1964,8.395875994438029e-08,8.760914482763837e-08
1965,7.9344630421474e-08,7.606140428606523e-08
1966,8.862519962349324e-08,7.754704967055659e-08
1967,9.762064223650668e-08,8.628087044826316e-08
1968,1.0105685532835196e-07,8.12946296946393e-08
1969,7.811823365955206e-08,7.312230110301243e-08
1970,8.691590380749403e-08,7.587896533323146e-08
1971,7.861748230197918e-08,7.296524273670002e-08
1972,6.463984902893571e-08,5.950970205503836e-08
1973,8.545465846054867e-08,8.380069971281046e-08
