year,nos_DET îles_NOUN,nos_DET iles_NOUN,nos_DET piles_NOUN
1800,3.427139305678395e-07,2.5153315874604232e-08,0.0
1801,5.381472902854512e-07,2.3811825844433088e-08,1.6668277424969347e-08
1802,6.467357707151677e-07,9.398928568771225e-08,0.0
1803,8.503479058674657e-07,5.070881914370773e-08,0.0
1804,5.215605565211945e-07,4.44933170307138e-08,0.0
1805,4.235887711701025e-07,2.55858996212055e-08,0.0
1806,2.7664023605211696e-07,8.645007376628655e-09,0.0
1807,5.096049626729382e-07,1.9928686256776018e-08,3.701041606518629e-08
1808,2.4020383992962024e-07,1.5862518409903714e-08,1.5862518409903714e-08
1809,5.376492628883511e-07,2.4849335034105025e-08,0.0
1810,2.176317881463774e-07,2.574139346123161e-08,0.0
1811,1.0028307251275237e-07,1.7549536934780008e-08,0.0
1812,2.3471432086807908e-07,1.8670457180292033e-08,2.6672082320544632e-09
1813,2.875741671459764e-07,5.176335027279322e-08,0.0
1814,3.618678721117874e-07,2.5173417572688095e-08,0.0
1815,2.9939181445115537e-07,4.045835311217161e-08,0.0
1816,4.1716871201913364e-07,1.622322720606917e-08,2.0858434979231788e-08
1817,3.035903042292176e-07,5.449057050022077e-08,2.0239355080775567e-08
1818,3.6240378609164736e-07,2.98029441125891e-08,0.0
1819,2.266879892687257e-07,5.175525008560555e-09,0.0
1820,2.491960993111775e-07,1.0679833017945839e-08,2.3732962262101864e-09
1821,3.1162304425791376e-07,1.972297702934611e-08,1.7750679148775816e-08
1822,3.0678384632665257e-07,9.023054303725075e-09,6.015369535816717e-09
1823,2.8956273467883875e-07,2.0753642027138142e-08,0.0
1824,1.8358025499765063e-07,1.0947446504872005e-08,1.51580028528997e-08
1825,2.8705744625767693e-07,1.0566531649658373e-08,2.641632912414593e-09
1826,3.10921841162326e-07,2.7304752237000685e-08,0.0
1827,1.778933693685758e-07,1.6591091167583727e-08,0.0
1828,2.614105909515274e-07,2.2013523448549677e-08,9.172301251858528e-10
1829,2.9663189593520656e-07,1.8860986994440054e-08,8.573175946935407e-09
1830,2.9640614229720086e-07,2.400472176589119e-08,0.0
1831,2.46341065768263e-07,1.091384405071949e-08,1.7150327380477393e-08
1832,3.666621650744162e-07,6.764984572527055e-09,0.0
1833,2.1082204249012193e-07,1.6217079235048004e-08,1.0425265983826648e-08
1834,1.6988846263110702e-07,1.0267984240641681e-08,9.334530925997342e-10
1835,3.5546513998951923e-07,3.781543966852041e-08,0.0
1836,2.997454657815979e-07,2.5538850312312178e-08,6.72075017860152e-09
1837,1.8995041584091155e-07,3.3397877241547747e-08,1.3915781860163179e-09
1838,3.3201970639495926e-07,2.4617430982587507e-08,5.680945491803868e-09
1839,2.2232890917184278e-07,4.1249704096912865e-08,1.3982950353153e-09
1840,2.1338456557273844e-07,4.395085273500854e-08,2.5478754661634184e-09
1841,1.9197439904417024e-07,3.017657768111803e-08,3.2102742686390684e-09
1842,2.2539771116214524e-07,3.4882977395511716e-08,4.024959032733477e-09
1843,2.764434321456122e-07,2.7171790650815097e-08,5.906911071384968e-10
1844,2.6399979757840697e-07,2.2503100327586623e-08,1.0428266250528395e-08
1845,8.81675991104558e-08,1.3392546849289033e-08,3.348136878855712e-09
1846,1.5572974154665076e-07,1.5807153808111707e-08,1.1123552745573306e-08
