year,champs_NOUN heureux_ADJ
1800,3.458580977167003e-08
1801,6.905429472681135e-08
1802,2.6854081625060644e-08
1803,3.315576790896557e-08
1804,6.921182338359699e-08
1805,2.2743021466098412e-08
1806,1.2679343619481642e-07
1807,1.7081731584767113e-08
1808,4.305540457494317e-08
1809,4.2921579401777876e-08
1810,4.680253340438867e-08
1811,1.8050953087822563e-07
1812,1.600324850414836e-08
1813,1.2078115219082974e-07
1814,2.8320094713762956e-08
1815,1.8880564667256294e-08
1816,8.111613603034584e-08
1817,1.0898113522728181e-08
1818,3.5763530803478716e-08
1819,2.8982939825894505e-08
1820,4.390598107306687e-08
1821,1.4792232327920374e-08
1822,2.105379337535851e-08
1823,3.9530748008331784e-08
1824,2.5263337199987745e-08
1825,1.584979791857677e-08
1826,3.699353356978463e-08
1827,1.3825909306319772e-08
1828,3.11858245893859e-08
1829,4.115124596637543e-08
1830,3.1310506187764986e-08
1831,4.8332740476553226e-08
1832,1.3529969367098715e-09
1833,9.26690302271993e-09
1834,1.5868701908061666e-08
1835,3.327758690829796e-08
1836,1.5457725766054864e-08
1837,1.2524203896191466e-08
1838,2.5879863585487328e-08
1839,1.538124494437909e-08
1840,1.5924221219432155e-08
1841,1.8619590314017387e-08
1842,1.2074877542289641e-08
1843,3.5441467538532834e-09
1844,2.195424508855126e-09
1845,7.254296274794569e-09
1846,1.1709002656346001e-08
1847,1.0786447290911383e-08
1848,1.126331028444838e-08
1849,3.0165893116773645e-08
1850,1.1541293254424545e-08
1851,5.159551008659946e-09
1852,9.765818376195057e-09
1853,8.360704129017904e-09
1854,8.313063126763609e-09
1855,2.5473298137512757e-08
1856,7.765783571755946e-09
1857,1.3668225662399891e-08
1858,2.348964556198041e-08
1859,1.3239650931140545e-08
1860,1.2816115280145368e-08
1861,1.6034276129062164e-08
1862,5.8733823360412885e-09
1863,1.39849385405455e-08
1864,5.753673426589501e-09
1865,4.706844247692743e-09
1866,1.0704348740731007e-08
1867,5.338092634588065e-09
1868,5.433861693937558e-09
1869,8.790334682373668e-09
1870,1.834895613228582e-08
1871,8.496941816815706e-09
1872,1.4513614310374123e-08
1873,5.9860045809045914e-09
1874,5.377148393215236e-09
1875,2.174180363523348e-08
1876,3.627608879952504e-09
1877,4.947852683123699e-09
1878,1.7513357875031943e-08
1879,9.163987790827832e-09
1880,1.2835692508872398e-08
1881,8.367009307619355e-09
1882,7.986462158271479e-09
1883,4.423537092179686e-09
1884,3.9610181801208455e-09
1885,1.9336907075562237e-09
1886,5.808117320427186e-09
1887,8.48760173255414e-09
1888,1.9021844099853524e-09
1889,3.759081934617825e-09
1890,1.9663159434024635e-09
1891,2.5496880162734215e-09
1892,6.895363835468515e-09
1893,9.23762488724833e-09
1894,8.822155006527055e-09
1895,6.018614495673091e-09
1896,6.486732040400511e-09
1897,1.7480140668268973e-09
1898,3.960848538042683e-09
1899,9.39688327150634e-09
1900,4.15284251431558e-09
1901,5.58873880507349e-09
1902,0.0
1903,3.7801539676252105e-09
1904,5.374625189347171e-10
1905,3.096455536422127e-09
1906,1.5432553568395235e-09
1907,5.142843373384665e-10
1908,5.40252820258047e-09
1909,2.7504918342913243e-09
1910,9.619471441624228e-09
1911,1.0108711201439746e-08
1912,5.2094213387476884e-09
1913,9.015082902408267e-09
1914,1.3393487430235496e-09
1915,0.0
1916,0.0
1917,1.7546279096336548e-08
1918,0.0
1919,1.8415696745321952e-09
1920,1.514446346106979e-09
1921,1.060184651180407e-08
1922,3.6889677978990676e-09
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,7.698724324711748e-09
1926,2.229227691330493e-09
1927,3.3447675740205796e-09
1928,6.8556245125250825e-09
1929,2.2280812750352652e-09
1930,2.100720708497761e-09
1931,4.5621426636444085e-09
1932,2.1919073223131136e-09
1933,4.588264879146209e-09
1934,4.7926320689839486e-09
1935,0.0
1936,8.487299751891442e-09
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,1.1920871401116528e-08
1948,1.195907639583993e-08
1949,9.817008317369869e-10
1950,2.1270722960764488e-09
1951,7.462981344019681e-09
1952,2.1089607837865287e-09
1953,4.3095309543161875e-09
1954,5.863521668203475e-09
1955,9.385607846468247e-10
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,7.445019267748876e-09
1959,2.325224457422337e-09
1960,6.920833350854139e-10
1961,7.642975030641708e-09
1962,3.170978146727066e-09
1963,3.879631726988464e-09
1964,4.867174663303331e-09
1965,1.6416130677043839e-09
1966,1.1078149508847446e-09
1967,6.902469706915326e-09
1968,8.982831367632116e-09
1969,5.904285060864822e-09
1970,4.1388523719376735e-09
1971,1.9012070140433934e-08
1972,3.5911027485013847e-09
1973,2.205281512956958e-09
1974,1.1251143350321513e-09
1975,1.1422960355389478e-09
1976,1.2569759455516305e-08
1977,5.876781838942691e-10
1978,1.7821774056514528e-09
1979,5.851973350345929e-10
1980,1.1370301367108482e-09
1981,2.5302198114474095e-09
1982,4.345251713999687e-09
1983,1.89459470334441e-09
1984,4.059305780401701e-09
1985,0.0
1986,2.3977941854269602e-09
1987,6.110816852533674e-10
1988,5.396898483667201e-09
1989,3.841685636274406e-09
1990,0.0
1991,1.7584396161396398e-09
1992,1.1019888335184191e-09
1993,6.093128224193833e-09
1994,1.0549853213248639e-09
1995,9.760411145975922e-09
1996,2.135236876199542e-09
1997,2.876936688878118e-09
1998,1.9072516899143466e-09
1999,1.3710603763428253e-09
2000,8.836062992401139e-10
2001,3.066848330846028e-09
2002,2.6287327870022636e-09
2003,4.166922806803086e-09
2004,1.3214374039449694e-09
2005,3.1526248278623825e-09
2006,3.294311934354255e-09
2007,2.3966877371606188e-09
2008,4.257439678578834e-10
2009,1.907277002999308e-09
2010,9.447586046817946e-10
2011,3.82397197240536e-10
2012,3.4042526575461807e-09
2013,1.9523875849358774e-09
2014,3.4647122948427977e-09
2015,5.763096222466402e-09
2016,5.799752234025846e-09
2017,3.2702947017071438e-09
2018,2.0651733656507076e-09
2019,3.826481798085979e-09
