year,soyons_VERB à_ADP,soyons_VERB a_ADP,soyons_VERB pas_ADV
1800,1.006132621661493e-07,0.0,4.62192190298083e-07
1801,1.404897762569135e-07,0.0,5.643402687383059e-07
1802,6.265952379180817e-08,2.2378401354217203e-09,4.184761053238617e-07
1803,6.826187504138659e-08,0.0,6.358105792969582e-07
1804,5.6852570651244605e-08,0.0,7.217804522952065e-07
1805,7.96005732439653e-08,0.0,5.373038902689586e-07
1806,1.0374008763136544e-07,0.0,6.916005759194377e-07
1807,8.540865437112188e-08,0.0,5.096049449093698e-07
1808,7.478043961839376e-08,0.0,5.642524456561659e-07
1809,1.8072244145628247e-08,2.259030518203531e-09,3.5466780445858603e-07
1810,1.4040760731859336e-07,0.0,7.675615734115127e-07
1811,6.016984244183732e-08,0.0,3.8107566524558933e-07
1812,6.134578978134186e-08,0.0,4.640942279365845e-07
1813,6.901779880941206e-08,0.0,4.457399427337805e-07
1814,6.608021863030444e-08,0.0,9.062430308404146e-07
1815,1.4565006800637548e-07,0.0,5.826003075526387e-07
1816,1.0892738089296472e-07,0.0,7.509036663577717e-07
1817,9.65261524044081e-08,0.0,6.398749974323437e-07
1818,1.549753108065488e-07,1.1921177378582115e-09,4.947288516632398e-07
1819,1.0144029172209912e-07,0.0,4.761483012316603e-07
1820,1.5545090015223195e-07,0.0,5.197518930799561e-07
1821,1.6172840489048212e-07,0.0,7.603207450301852e-07
1822,1.082766516447009e-07,2.0051231786055723e-09,5.995318588247756e-07
1823,1.1562743651438723e-07,0.0,5.237824325377005e-07
1824,1.4568525230629348e-07,0.0,6.063200999051332e-07
1825,1.496925357002965e-07,0.0,5.697121423509088e-07
1826,1.1362299545680798e-07,0.0,4.668231667892542e-07
1827,8.572063769918259e-08,0.0,5.871402777302137e-07
1828,7.704732729596486e-08,1.8344602503717056e-09,6.89757030158944e-07
1829,9.516225607519857e-08,0.0,5.06674723510514e-07
1830,1.252420318564873e-07,0.0,5.688075361831579e-07
1831,7.951514824355854e-08,0.0,6.719809562127921e-07
